year,county,status,raw_precinct_key,count,suggested_candidate_1,suggested_score,suggested_reason,local_candidate_1,local_candidate_2,local_candidate_3,local_candidate_4,local_candidate_5,approval,approved_canonical_precinct_key,source_reference,notes
2016,COLUMBUS,unmatched,COLUMBUS - P05,12,,0.0000,none,COLUMBUS - P89,COLUMBUS - P82,COLUMBUS - P513,COLUMBUS - P34,COLUMBUS - P26B,,,,
2016,COLUMBUS,unmatched,COLUMBUS - P08,12,,0.0000,none,COLUMBUS - P89,COLUMBUS - P82,COLUMBUS - P513,COLUMBUS - P34,COLUMBUS - P26B,,,,
2016,COLUMBUS,unmatched,COLUMBUS - P09,12,,0.0000,none,COLUMBUS - P89,COLUMBUS - P82,COLUMBUS - P513,COLUMBUS - P34,COLUMBUS - P26B,,,,
2016,COLUMBUS,unmatched,COLUMBUS - P10,12,,0.0000,none,COLUMBUS - P89,COLUMBUS - P82,COLUMBUS - P513,COLUMBUS - P34,COLUMBUS - P26B,,,,
2016,COLUMBUS,unmatched,COLUMBUS - P12,12,,0.0000,none,COLUMBUS - P89,COLUMBUS - P82,COLUMBUS - P513,COLUMBUS - P34,COLUMBUS - P26B,,,,
2016,COLUMBUS,unmatched,COLUMBUS - P13,12,,0.0000,none,COLUMBUS - P89,COLUMBUS - P82,COLUMBUS - P513,COLUMBUS - P34,COLUMBUS - P26B,,,,
2016,COLUMBUS,unmatched,COLUMBUS - P18,12,,0.0000,none,COLUMBUS - P89,COLUMBUS - P82,COLUMBUS - P513,COLUMBUS - P34,COLUMBUS - P26B,,,,
2016,COLUMBUS,unmatched,COLUMBUS - P21,12,,0.0000,none,COLUMBUS - P89,COLUMBUS - P82,COLUMBUS - P513,COLUMBUS - P34,COLUMBUS - P26B,,,,
2016,CRAVEN,unmatched,CRAVEN - 04,12,,0.0000,none,CRAVEN - VE14,CRAVEN - TE13,CRAVEN - N6,CRAVEN - N4,CRAVEN - N3N5,,,,
2016,CRAVEN,unmatched,CRAVEN - 06,12,,0.0000,none,CRAVEN - VE14,CRAVEN - TE13,CRAVEN - N6,CRAVEN - N4,CRAVEN - N3N5,,,,
2016,CRAVEN,unmatched,CRAVEN - 08,12,,0.0000,none,CRAVEN - VE14,CRAVEN - TE13,CRAVEN - N6,CRAVEN - N4,CRAVEN - N3N5,,,,
2016,CRAVEN,unmatched,CRAVEN - 09,12,,0.0000,none,CRAVEN - VE14,CRAVEN - TE13,CRAVEN - N6,CRAVEN - N4,CRAVEN - N3N5,,,,
2016,CRAVEN,unmatched,CRAVEN - 10,12,,0.0000,none,CRAVEN - VE14,CRAVEN - TE13,CRAVEN - N6,CRAVEN - N4,CRAVEN - N3N5,,,,
2016,CRAVEN,unmatched,CRAVEN - 12,12,,0.0000,none,CRAVEN - VE14,CRAVEN - TE13,CRAVEN - N6,CRAVEN - N4,CRAVEN - N3N5,,,,
2016,CRAVEN,unmatched,CRAVEN - 13,12,,0.0000,none,CRAVEN - TE13,CRAVEN - VE14,CRAVEN - N6,CRAVEN - N4,CRAVEN - N3N5,,,,
2016,CRAVEN,unmatched,CRAVEN - 14,12,,0.0000,none,CRAVEN - VE14,CRAVEN - TE13,CRAVEN - N6,CRAVEN - N4,CRAVEN - N3N5,,,,
2016,CRAVEN,unmatched,CRAVEN - 15,12,,0.0000,none,CRAVEN - VE14,CRAVEN - TE13,CRAVEN - N6,CRAVEN - N4,CRAVEN - N3N5,,,,
2016,CRAVEN,unmatched,CRAVEN - N3,12,,0.0000,none,CRAVEN - N3N5,CRAVEN - VE14,CRAVEN - TE13,CRAVEN - N6,CRAVEN - N4,,,,
2016,CRAVEN,unmatched,CRAVEN - N5,12,,0.0000,none,CRAVEN - N3N5,CRAVEN - VE14,CRAVEN - TE13,CRAVEN - N6,CRAVEN - N4,,,,
2016,FORSYTH,unmatched,FORSYTH - 011,12,,0.0000,none,FORSYTH - 124,FORSYTH - 085,FORSYTH - 077,FORSYTH - 076,FORSYTH - 017,,,,
2016,FORSYTH,unmatched,FORSYTH - 072,12,,0.0000,none,FORSYTH - 124,FORSYTH - 085,FORSYTH - 077,FORSYTH - 076,FORSYTH - 017,,,,
2016,FORSYTH,unmatched,FORSYTH - 082,12,,0.0000,none,FORSYTH - 124,FORSYTH - 085,FORSYTH - 077,FORSYTH - 076,FORSYTH - 017,,,,
2016,FORSYTH,unmatched,FORSYTH - 122,12,,0.0000,none,FORSYTH - 124,FORSYTH - 085,FORSYTH - 077,FORSYTH - 076,FORSYTH - 017,,,,
2016,FORSYTH,unmatched,FORSYTH - 201,12,,0.0000,none,FORSYTH - 124,FORSYTH - 085,FORSYTH - 077,FORSYTH - 076,FORSYTH - 017,,,,
2016,FORSYTH,unmatched,FORSYTH - 507,12,,0.0000,none,FORSYTH - 124,FORSYTH - 085,FORSYTH - 077,FORSYTH - 076,FORSYTH - 017,,,,
2016,FORSYTH,unmatched,FORSYTH - ABS/PROV/CURB 1,12,,0.0000,none,FORSYTH - 124,FORSYTH - 085,FORSYTH - 077,FORSYTH - 076,FORSYTH - 017,,,,
2016,FORSYTH,unmatched,FORSYTH - ABS/PROV/CURB 2,12,,0.0000,none,FORSYTH - 124,FORSYTH - 085,FORSYTH - 077,FORSYTH - 076,FORSYTH - 017,,,,
2016,FORSYTH,unmatched,FORSYTH - ABS/PROV/CURB 3,12,,0.0000,none,FORSYTH - 124,FORSYTH - 085,FORSYTH - 077,FORSYTH - 076,FORSYTH - 017,,,,
2016,FORSYTH,unmatched,FORSYTH - ABS/PROV/CURB 4,12,,0.0000,none,FORSYTH - 124,FORSYTH - 085,FORSYTH - 077,FORSYTH - 076,FORSYTH - 017,,,,
2016,NORTHAMPTON,unmatched,NORTHAMPTON - CONWAY,12,,0.0000,none,NORTHAMPTON - COMIPE,,,,,,,,
