file,year,scope,contest_type,district,agg_dem,agg_rep,snap_dem,snap_rep,agg_margin_pct,snap_margin_pct,delta_margin_pp,in_agg_only,in_snap_only,snapshot_untrusted
congressional_agriculture_commissioner_2016.json,2016,congressional,agriculture_commissioner,10,95322,224802,97646,221600,40.45,38.83,1.6200000000000045,False,False,False
congressional_agriculture_commissioner_2016.json,2016,congressional,agriculture_commissioner,11,147459,209887,147457,209884,17.47,17.47,0.0,False,False,False
congressional_agriculture_commissioner_2016.json,2016,congressional,agriculture_commissioner,12,172364,115592,172278,115433,-19.72,-19.76,0.0400000000000027,False,False,False
congressional_agriculture_commissioner_2016.json,2016,congressional,agriculture_commissioner,13,134214,181304,137608,186691,14.92,15.14,-0.22000000000000064,False,False,False
congressional_agriculture_commissioner_2016.json,2016,congressional,agriculture_commissioner,14,144813,159320,142719,162566,4.77,6.5,-1.7300000000000004,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,1,198244,186023,198243,186023,-3.18,-3.18,0.0,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,2,227938,182883,224510,183233,-10.97,-10.12,-0.8500000000000014,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,3,126618,229921,126616,229916,28.97,28.97,0.0,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,4,250169,146178,250169,146178,-26.24,-26.24,0.0,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,5,142702,252553,144845,254462,27.79,27.45,0.33999999999999986,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,6,198993,185348,196604,183078,-3.55,-3.56,0.010000000000000231,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,7,166830,227154,166050,226075,15.31,15.31,0.0,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,8,119056,269829,119338,269152,38.77,38.56,0.21000000000000085,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,9,150462,195969,147311,192094,13.14,13.19,-0.049999999999998934,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,10,111834,274799,115224,270670,42.15,40.28,1.8699999999999974,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,11,181692,243459,181692,243460,14.53,14.53,0.0,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,12,232942,129417,232943,129418,-28.57,-28.57,0.0,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,13,180237,206297,187317,211581,6.74,6.08,0.6600000000000001,False,False,False
congressional_agriculture_commissioner_2020.json,2020,congressional,agriculture_commissioner,14,198006,172018,194862,176506,-7.02,-4.94,-2.079999999999999,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,1,186546,187031,186546,187031,0.13,0.13,0.0,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,2,234246,169889,228469,167617,-15.55,-15.0,-0.5500000000000007,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,3,122675,241062,122675,241062,31.67,31.67,0.0,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,4,254476,141835,254476,141836,-27.83,-27.83,0.0,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,5,139879,253943,139879,253943,28.3,28.3,0.0,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,6,194307,184466,194307,184466,-2.54,-2.54,0.0,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,7,169340,242553,169340,242553,17.32,17.32,0.0,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,8,119610,274023,119148,273095,38.32,38.34,-0.020000000000003126,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,9,146794,198459,142814,192923,14.57,14.54,0.030000000000001137,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,10,112714,280665,115523,275490,41.69,39.94,1.75,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,11,185328,236371,185328,236370,11.8,11.8,0.0,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,12,231139,126419,231139,126419,-28.43,-28.43,0.0,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,13,190728,218122,200947,226857,6.53,5.9,0.6299999999999999,False,False,False
congressional_agriculture_commissioner_2024.json,2024,congressional,agriculture_commissioner,14,208691,167646,205882,172822,-10.6,-8.49,-2.1099999999999994,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,1,255722,93221,255209,93546,-46.57,-46.35,-0.21999999999999886,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,2,198082,95844,192425,92964,-34.78,-34.85,0.07000000000000028,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,3,163189,123111,165678,123187,-14.0,-14.71,0.7100000000000009,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,4,230893,77250,230708,77222,-49.86,-49.84,-0.01999999999999602,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,5,175154,152780,176286,153501,-6.82,-6.91,0.08999999999999986,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,6,203956,118018,202148,116807,-26.69,-26.76,0.07000000000000028,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,7,181126,110557,182680,107619,-24.19,-25.86,1.6699999999999982,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,8,143091,148375,142464,147366,1.81,1.69,0.1200000000000001,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,9,168549,105901,170731,110934,-22.83,-21.23,-1.5999999999999979,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,10,150683,154871,149391,153980,1.37,1.51,-0.1399999999999999,False,False,False
congressional_attorney_general_2008.json,2008,congressional,attorney_general,11,179661,144556,180269,144571,-10.83,-10.99,0.16000000000000014,False,False,False
