year,raw_precinct_key,canonical_precinct_key
2008,ALAMANCE - WEST BOONE SAT,ALAMANCE - 03W
2008,DAVIDSON - ABBOTTS CREEK 1 #86,DAVIDSON - 86A
2008,JACKSON - SCOTTS CREEK 2,JACKSON - SCC
2008,JACKSON - SCOTTS CREEK 3,JACKSON - SCC
2008,MOORE - PHA - PINEHURST A,MOORE - PHA2
2008,NASH - NORTH WHITAKERS NO 1,NASH - P13A
2008,NASH - NORTH WHITAKERS NO 2,NASH - P12A
2008,NASH - ROCKY MOUNT NO 1,NASH - P21A
2008,NASH - ROCKY MOUNT NO 2,NASH - P21A
2008,NASH - ROCKY MOUNT NO 3,NASH - P22A
2008,NASH - ROCKY MOUNT NO 4,NASH - P23A
2008,NASH - ROCKY MOUNT NO 5,NASH - P24A
2008,NASH - ROCKY MOUNT NO 6,NASH - P20A
2008,NASH - ROCKY MOUNT NO 7,NASH - P19A
2008,NASH - ROCKY MOUNT NO 8,NASH - P18A
2008,NASH - ROCKY MOUNT NO 9,NASH - P19A
2008,PITT - GREENVILLE #4,PITT - 1504B
2008,PITT - WINTERVILLE EAST A,PITT - 1513A
2008,PITT - WINTERVILLE EAST B,PITT - 1513A
2008,ROBESON - LUMBERTON #11A,ROBESON - 11
2008,ROWAN - NORTH GRANITE QUARRY,ROWAN - 14A
2008,ROWAN - SOUTH GRANITE QUARRY,ROWAN - 14A
2008,RUTHERFORD - DANIELTOWN-SULPHUR SPRING,RUTHERFORD - 09A
2008,RUTHERFORD - DUNCAN CREEK-GOLDEN VALLE,RUTHERFORD - 10A
