crosswalk_type,county,precincts,districts_all_weights,districts_weight_ge_0_10,districts_weight_ge_0_50,split_precincts,split_precinct_pct
state_house,GRANVILLE,15,2,2,2,1,6.67
state_house,GREENE,10,1,1,1,0,0.0
state_house,GUILFORD,165,6,6,6,2,1.21
state_house,HALIFAX,19,1,1,1,0,0.0
state_house,HARNETT,13,2,2,2,0,0.0
state_house,HAYWOOD,29,1,1,1,0,0.0
state_house,HENDERSON,34,2,2,2,0,0.0
state_house,HERTFORD,13,1,1,1,0,0.0
state_house,HOKE,15,1,1,1,0,0.0
state_house,HYDE,7,1,1,1,0,0.0
state_house,IREDELL,30,3,3,3,1,3.33
state_house,JACKSON,13,1,1,1,0,0.0
state_house,JOHNSTON,36,3,3,3,0,0.0
state_house,JONES,7,1,1,1,0,0.0
state_house,LEE,10,1,1,1,0,0.0
state_house,LENOIR,22,1,1,1,0,0.0
state_house,LINCOLN,23,1,1,1,0,0.0
state_house,MACON,15,1,1,1,0,0.0
state_house,MADISON,12,1,1,1,0,0.0
state_house,MARTIN,9,1,1,1,0,0.0
state_house,MCDOWELL,17,2,2,2,0,0.0
state_house,MECKLENBURG,195,13,13,13,1,0.51
state_house,MITCHELL,9,1,1,1,0,0.0
state_house,MONTGOMERY,14,1,1,1,0,0.0
state_house,MOORE,26,3,3,3,1,3.85
state_house,NASH,24,2,2,2,0,0.0
state_house,NEW HANOVER,41,3,3,3,0,0.0
state_house,NORTHAMPTON,13,1,1,1,0,0.0
state_house,ONSLOW,24,3,3,3,0,0.0
state_house,ORANGE,40,2,2,2,0,0.0
state_house,PAMLICO,6,1,1,1,0,0.0
state_house,PASQUOTANK,9,1,1,1,0,0.0
state_house,PENDER,18,1,1,1,0,0.0
state_house,PERQUIMANS,7,1,1,1,0,0.0
state_house,PERSON,11,1,1,1,0,0.0
state_house,PITT,40,2,2,2,1,2.5
state_house,POLK,7,1,1,1,0,0.0
state_house,RANDOLPH,22,4,3,3,1,4.55
state_house,RICHMOND,16,1,1,1,0,0.0
state_house,ROBESON,39,2,2,2,1,2.56
state_house,ROCKINGHAM,15,1,1,1,0,0.0
state_house,ROWAN,41,3,3,3,0,0.0
state_house,RUTHERFORD,17,2,2,2,0,0.0
state_house,SAMPSON,23,1,1,1,0,0.0
state_house,SCOTLAND,7,1,1,1,0,0.0
state_house,STANLY,22,1,1,1,0,0.0
state_house,STOKES,18,1,1,1,0,0.0
state_house,SURRY,23,1,1,1,0,0.0
state_house,SWAIN,5,1,1,1,0,0.0
state_house,TRANSYLVANIA,15,1,1,1,0,0.0
state_house,TYRRELL,6,1,1,1,0,0.0
state_house,UNION,54,3,3,3,0,0.0
state_house,VANCE,12,1,1,1,0,0.0
state_house,WAKE,210,13,13,13,4,1.9
state_house,WARREN,14,1,1,1,0,0.0
state_house,WASHINGTON,6,1,1,1,0,0.0
state_house,WATAUGA,20,2,2,2,0,0.0
state_house,WAYNE,28,2,2,2,2,7.14
state_house,WILKES,25,2,2,2,0,0.0
state_house,WILSON,24,1,1,1,0,0.0
state_house,YADKIN,12,1,1,1,0,0.0
state_house,YANCEY,11,1,1,1,0,0.0
state_senate,ALAMANCE,39,1,1,1,0,0.0
state_senate,ALEXANDER,10,1,1,1,0,0.0
state_senate,ALLEGHANY,4,1,1,1,0,0.0
state_senate,ANSON,9,1,1,1,0,0.0
state_senate,ASHE,17,1,1,1,0,0.0
state_senate,AVERY,19,1,1,1,0,0.0
state_senate,BEAUFORT,21,1,1,1,0,0.0
state_senate,BERTIE,12,1,1,1,0,0.0
state_senate,BLADEN,17,1,1,1,0,0.0
state_senate,BRUNSWICK,27,1,1,1,0,0.0
state_senate,BUNCOMBE,80,2,2,2,0,0.0
state_senate,BURKE,31,1,1,1,0,0.0
state_senate,CABARRUS,39,2,2,2,0,0.0
