"year","county","total_geo","matched_geo","unmatched_geo","geo_match_pct"
"2000","GASTON","460","460","0","100"
"2000","HAYWOOD","290","290","0","100"
"2000","IREDELL","250","250","0","100"
"2000","PERSON","140","140","0","100"
"2000","SURRY","290","290","0","100"
"2000","UNION","420","420","0","100"
"2002","GASTON","46","46","0","100"
"2002","HAYWOOD","29","29","0","100"
"2002","IREDELL","25","25","0","100"
"2002","PERSON","14","14","0","100"
"2002","SURRY","29","29","0","100"
"2002","UNION","43","43","0","100"
"2004","GASTON","506","506","0","100"
"2004","HAYWOOD","319","319","0","100"
"2004","IREDELL","319","319","0","100"
"2004","PERSON","154","154","0","100"
"2004","SURRY","319","319","0","100"
"2004","UNION","496","485","11","97.78"
"2008","GASTON","506","506","0","100"
"2008","HAYWOOD","319","319","0","100"
"2008","IREDELL","319","319","0","100"
"2008","PERSON","154","143","11","92.86"
"2008","SURRY","319","286","33","89.66"
"2008","UNION","540","540","0","100"
"2010","GASTON","46","46","0","100"
"2010","HAYWOOD","29","29","0","100"
"2010","IREDELL","29","29","0","100"
"2010","PERSON","14","14","0","100"
"2010","SURRY","29","29","0","100"
"2010","UNION","52","52","0","100"
"2012","GASTON","460","460","0","100"
"2012","HAYWOOD","290","290","0","100"
"2012","IREDELL","290","290","0","100"
"2012","PERSON","140","140","0","100"
"2012","SURRY","290","290","0","100"
"2012","UNION","510","510","0","100"
"2014","GASTON","46","46","0","100"
"2014","HAYWOOD","29","29","0","100"
"2014","IREDELL","29","29","0","100"
"2014","PERSON","14","14","0","100"
"2014","SURRY","29","29","0","100"
"2014","UNION","52","52","0","100"
"2016","GASTON","782","782","0","100"
"2016","HAYWOOD","493","493","0","100"
"2016","IREDELL","493","493","0","100"
"2016","PERSON","187","170","17","90.91"
"2016","SURRY","493","493","0","100"
"2016","UNION","884","884","0","100"
"2018","GASTON","184","184","0","100"
"2018","HAYWOOD","116","116","0","100"
"2018","IREDELL","116","116","0","100"
"2018","PERSON","44","40","4","90.91"
"2018","SURRY","116","116","0","100"
"2018","UNION","208","208","0","100"
"2020","GASTON","920","920","0","100"
"2020","HAYWOOD","580","580","0","100"
"2020","IREDELL","580","580","0","100"
"2020","PERSON","220","200","20","90.91"
"2020","SURRY","480","460","20","95.83"
"2020","UNION","1040","1040","0","100"
"2022","GASTON","322","322","0","100"
"2022","HAYWOOD","203","203","0","100"
"2022","IREDELL","203","203","0","100"
"2022","PERSON","77","70","7","90.91"
"2022","SURRY","175","161","14","92"
"2022","UNION","364","364","0","100"
"2024","GASTON","690","690","0","100"
"2024","HAYWOOD","435","435","0","100"
"2024","IREDELL","450","450","0","100"
"2024","PERSON","165","165","0","100"
"2024","SURRY","345","345","0","100"
"2024","UNION","810","810","0","100"
