county,score,bucket,atlas_m,oe_m,d_margin_pp,dmaj,rmaj,rows,unmatched_n,unmatched_votes,unmatched_share,phantom_n,phantom_votes,phantom_share,red_flag,unmatched_keys,phantom_keys
DARE,25.083773142330585,odd_maj_pattern,-16.77138309457988,-16.76300578034682,-0.008377314233058542,2,14,16,0,0.0,0.0,0,0.0,0.0,True,,
JACKSON,25.0,odd_maj_pattern,-8.426027593450137,-8.426027593450137,0.0,1,12,13,0,0.0,0.0,0,0.0,0.0,True,,
ALLEGHANY,0.8249833175597132,margin_off,-50.65625519189234,-50.57375686013637,-0.08249833175597132,0,4,4,0,0.0,0.0,0,0.0,0.0,False,,
TYRRELL,0.6433717610329914,margin_off,-15.935591338145475,-15.871254162042176,-0.06433717610329914,1,5,6,0,0.0,0.0,0,0.0,0.0,False,,
ASHE,0.31537002706215844,e_ok,-46.69820366937288,-46.666666666666664,-0.031537002706215844,0,17,17,0,0.0,0.0,0,0.0,0.0,False,,
HARNETT,0.20288990227690817,e_ok,-22.82587828757919,-22.84616727780688,0.020288990227690817,0,8,8,0,0.0,0.0,0,0.0,0.0,False,,
MARTIN,0.1687276140712335,e_ok,-4.973885094415428,-4.990757855822551,0.01687276140712335,5,4,9,0,0.0,0.0,0,0.0,0.0,False,,
RICHMOND,0.15301153648637822,e_ok,-14.95894670359034,-14.943645549941703,-0.015301153648637822,0,6,6,0,0.0,0.0,0,0.0,0.0,False,,
WASHINGTON,0.14574896493865452,e_ok,9.970864357397216,9.956289460903351,0.014574896493865452,3,3,6,0,0.0,0.0,0,0.0,0.0,False,,
STOKES,0.14095079822411094,e_ok,-58.40968972433049,-58.4237848041529,0.014095079822411094,0,18,18,0,0.0,0.0,0,0.0,0.0,False,,
SCOTLAND,0.13378202688269392,e_ok,-1.944463396329399,-1.9578415990176683,0.013378202688269392,3,4,7,0,0.0,0.0,0,0.0,0.0,False,,
GUILFORD,0.1298238258087281,e_ok,23.478279479378077,23.465297096797205,0.012982382580872809,115,49,165,0,0.0,0.0,0,0.0,0.0,False,,
HYDE,0.12244446551015642,e_ok,-15.085158150851582,-15.097402597402597,0.012244446551015642,2,5,7,0,0.0,0.0,0,0.0,0.0,False,,
DAVIE,0.11720238843970776,e_ok,-46.15723850378864,-46.16895874263261,0.011720238843970776,0,14,14,0,0.0,0.0,0,0.0,0.0,False,,
POLK,0.10319208592797224,e_ok,-25.966579292267365,-25.976898500860162,0.010319208592797224,1,6,7,0,0.0,0.0,0,0.0,0.0,False,,
YADKIN,0.10154346060112118,e_ok,-61.779041429731926,-61.78919577579204,0.010154346060112118,0,12,12,0,0.0,0.0,0,0.0,0.0,False,,
BERTIE,0.0802145386907327,e_ok,21.742696053306,21.75071750717507,-0.00802145386907327,9,3,12,0,0.0,0.0,0,0.0,0.0,False,,
HALIFAX,0.07804878048780495,e_ok,21.319024390243904,21.326829268292684,-0.007804878048780495,11,8,19,0,0.0,0.0,0,0.0,0.0,False,,
SURRY,0.0733618118942303,e_ok,-51.88874479181038,-51.896080972999805,0.00733618118942303,0,23,23,0,0.0,0.0,0,0.0,0.0,False,,
CALDWELL,0.07158937839278678,e_ok,-51.640621311552806,-51.63346237371353,-0.0071589378392786784,0,15,15,0,0.0,0.0,0,0.0,0.0,False,,
LINCOLN,0.06983754349775495,e_ok,-46.49897206433668,-46.4919883099869,-0.006983754349775495,2,21,23,0,0.0,0.0,0,0.0,0.0,False,,
BLADEN,0.06695012252547983,e_ok,-13.82859831774602,-13.821903305493471,-0.006695012252547983,0,17,17,0,0.0,0.0,0,0.0,0.0,False,,
HERTFORD,0.062201445576732795,e_ok,34.215751158173404,34.20953101361573,0.0062201445576732795,13,0,13,0,0.0,0.0,0,0.0,0.0,False,,
NASH,0.0579900288890714,e_ok,0.2375755702779441,0.23177656738903696,0.00579900288890714,12,12,24,0,0.0,0.0,0,0.0,0.0,False,,
EDGECOMBE,0.057547605449421724,e_ok,27.216666007827012,27.21091124728207,0.005754760544942172,16,5,21,0,0.0,0.0,0,0.0,0.0,False,,
AVERY,0.04997996467231758,e_ok,-53.203759077317386,-53.198761080850154,-0.004997996467231758,0,19,19,0,0.0,0.0,0,0.0,0.0,False,,
MOORE,0.04441019236079313,e_ok,-27.774784950907986,-27.779225970144065,0.004441019236079313,3,23,26,0,0.0,0.0,0,0.0,0.0,False,,
WAYNE,0.04072088081558789,e_ok,-11.827682895743054,-11.823610807661495,-0.004072088081558789,14,14,28,0,0.0,0.0,0,0.0,0.0,False,,
WILKES,0.03633901674547246,e_ok,-57.20230291284273,-57.20593681451728,0.0036339016745472463,1,24,25,0,0.0,0.0,0,0.0,0.0,False,,
HENDERSON,0.03541490122067614,e_ok,-19.070210139646925,-19.066668649524857,-0.0035414901220676143,5,28,33,0,0.0,0.0,0,0.0,0.0,False,,
WATAUGA,0.0343509722941171,e_ok,8.456324824222461,8.459759921451873,-0.00343509722941171,11,9,20,0,0.0,0.0,0,0.0,0.0,False,,
CURRITUCK,0.03338615747672691,e_ok,-47.07626316785466,-47.07292455210699,-0.0033386157476726908,0,11,11,0,0.0,0.0,0,0.0,0.0,False,,
DAVIDSON,0.027148294942094253,e_ok,-48.14118940964863,-48.13847458015442,-0.0027148294942094253,8,35,43,0,0.0,0.0,0,0.0,0.0,False,,
