file,year,contest_type,county,total_rows,geo_rows,matched_geo,unmatched_geo,non_geo,geo_match_pct,unmatched_examples
agriculture_commissioner_2000.json,2000,agriculture_commissioner,BURKE,31,31,27,4,0,87.1,BURKE - 0028 LOWER CREEK | BURKE - 0037 MORGANTON 7 | BURKE - 0047 QUAKER MEADOW 1 | BURKE - 0060 SMOKEY CREEK
agriculture_commissioner_2004.json,2004,agriculture_commissioner,BURKE,32,31,27,4,1,87.1,BURKE - 0028 LOWER CREEK | BURKE - 0037 MORGANTON 07 | BURKE - 0047 QUAKER MEADOW 01 | BURKE - 0060 SMOKEY CREEK
agriculture_commissioner_2004.json,2004,agriculture_commissioner,LEE,13,13,9,4,0,69.23,LEE - 01 WEST SANFORD #1 | LEE - 02 WEST SANFORD #2 | LEE - 03 WEST SANFORD #3 | LEE - 13 WEST SANFORD #4
agriculture_commissioner_2008.json,2008,agriculture_commissioner,CHEROKEE,16,16,12,4,0,75.0,CHEROKEE - BEAVERDAM Y | CHEROKEE - BEAVERDAM Z | CHEROKEE - NOTLA Y | CHEROKEE - NOTLA Z
agriculture_commissioner_2020.json,2020,agriculture_commissioner,RICHMOND,20,20,16,4,0,80.0,RICHMOND - BROWDER | RICHMOND - CO OP | RICHMOND - ELLERBE | RICHMOND - HAMLET
attorney_general_2000.json,2000,attorney_general,BURKE,31,31,27,4,0,87.1,BURKE - 0028 LOWER CREEK | BURKE - 0037 MORGANTON 7 | BURKE - 0047 QUAKER MEADOW 1 | BURKE - 0060 SMOKEY CREEK
attorney_general_2004.json,2004,attorney_general,BURKE,32,31,27,4,1,87.1,BURKE - 0028 LOWER CREEK | BURKE - 0037 MORGANTON 07 | BURKE - 0047 QUAKER MEADOW 01 | BURKE - 0060 SMOKEY CREEK
attorney_general_2004.json,2004,attorney_general,LEE,13,13,9,4,0,69.23,LEE - 01 WEST SANFORD #1 | LEE - 02 WEST SANFORD #2 | LEE - 03 WEST SANFORD #3 | LEE - 13 WEST SANFORD #4
attorney_general_2008.json,2008,attorney_general,CHEROKEE,16,16,12,4,0,75.0,CHEROKEE - BEAVERDAM Y | CHEROKEE - BEAVERDAM Z | CHEROKEE - NOTLA Y | CHEROKEE - NOTLA Z
attorney_general_2020.json,2020,attorney_general,RICHMOND,20,20,16,4,0,80.0,RICHMOND - BROWDER | RICHMOND - CO OP | RICHMOND - ELLERBE | RICHMOND - HAMLET
auditor_2000.json,2000,auditor,BURKE,31,31,27,4,0,87.1,BURKE - 0028 LOWER CREEK | BURKE - 0037 MORGANTON 7 | BURKE - 0047 QUAKER MEADOW 1 | BURKE - 0060 SMOKEY CREEK
auditor_2004.json,2004,auditor,BURKE,32,31,27,4,1,87.1,BURKE - 0028 LOWER CREEK | BURKE - 0037 MORGANTON 07 | BURKE - 0047 QUAKER MEADOW 01 | BURKE - 0060 SMOKEY CREEK
