block_geoid00,county_fips_2000,place_fips_2000,cd106_2000,sldu_2000,sldl_2000,vtd_code_2000,vap_count_2000
370010201023006,001,09060,05,21,25,12W,9
370010201023007,001,09060,05,21,25,12W,36
370010201023008,001,09060,05,21,25,12W,32
370010201023009,001,09060,05,21,25,12W,11
370010201023010,001,09060,05,21,25,12W,5
370010201023011,001,09060,05,21,25,12W,9
370010201023012,001,09060,05,21,25,12W,12
370010201023013,001,09060,05,21,25,12W,14
370010201023014,001,09060,05,21,25,128,0
370010201023015,001,09060,05,21,25,128,20
370010201023016,001,09060,05,21,25,128,0
370010201023017,001,09060,05,21,25,128,153
370010201023018,001,09060,05,21,25,1210,0
370010201023019,001,09060,05,21,25,128,0
370010201023020,001,09060,05,21,25,128,0
370010201023021,001,09060,05,21,25,12W,6
370010201023022,001,09060,05,21,25,128,38
370010201023023,001,09060,05,21,25,128,68
370010201023024,001,09060,05,21,25,128,0
370010201023025,001,09060,05,21,25,128,39
370010201023026,001,09060,05,21,25,128,25
370010201023027,001,09060,05,21,25,128,21
370010202001000,001,09060,05,21,25,12N,37
370010202001001,001,09060,05,21,25,12N,12
370010202001002,001,09060,05,21,25,12N,0
370010202001003,001,09060,05,21,25,12N,36
370010202001004,001,09060,05,21,25,12N,190
370010202001005,001,09060,05,21,25,12N,31
370010202001006,001,09060,05,21,25,12N,0
370010202001007,001,09060,05,21,25,12N,0
370010202001008,001,09060,05,21,25,12N,4
370010202001009,001,09060,05,21,25,12N,9
370010202001010,001,09060,05,21,25,12N,55
370010202001011,001,09060,05,21,25,12N,24
370010202001012,001,09060,05,21,25,12N,45
370010202001013,001,09060,05,21,25,12N,39
370010202001014,001,09060,05,21,25,12N,52
370010202001015,001,09060,05,21,25,12N,21
370010202001016,001,09060,05,21,25,12N,62
370010202001017,001,09060,05,21,25,12N,28
370010202001018,001,09060,05,21,25,12N,32
370010202001019,001,09060,05,21,25,12N,36
370010202001020,001,09060,05,21,25,12N,42
370010202001021,001,09060,05,21,25,12N,0
370010202001022,001,09060,05,21,25,12N,12
370010202002000,001,09060,05,21,25,063,0
370010202002001,001,09060,05,21,25,12E,22
370010202002002,001,09060,05,21,25,12E,7
370010202002003,001,09060,05,21,25,12E,31
370010202002004,001,09060,05,21,25,12E,30
370010202002005,001,09060,05,21,25,12E,11
370010202002006,001,09060,05,21,25,12E,0
370010202002007,001,09060,05,21,25,12E,10
370010202002008,001,09060,05,21,25,12E,11
370010202002009,001,09060,05,21,25,12E,20
370010202002010,001,09060,05,21,25,12E,53
370010202002011,001,09060,05,21,25,12E,28
370010202002012,001,09060,05,21,25,12E,39
370010202002013,001,09060,05,21,25,12E,54
370010202002014,001,09060,05,21,25,12E,30
370010202002015,001,09060,05,21,25,12E,41
370010202002016,001,09060,05,21,25,12E,33
370010202002017,001,09060,05,21,25,12E,49
370010202002018,001,09060,05,21,25,12E,30
370010202002019,001,09060,05,21,25,12E,40
370010202002020,001,09060,05,21,25,12E,8
370010202002021,001,09060,05,21,25,12E,5
370010202002022,001,09060,05,21,25,12E,43
370010202002023,001,09060,05,21,25,12E,11
370010202002024,001,09060,05,21,25,12E,34
370010202002025,001,09060,05,21,25,12E,35
370010202002026,001,09060,05,21,25,12E,37
370010202002027,001,09060,05,21,25,12E,29
370010202002028,001,09060,05,21,25,12E,41
370010202002029,001,09060,05,21,25,12E,25
