"year","county","status","raw_precinct_key","count","candidate_1","candidate_1_score","reason","tier","candidate_2","candidate_3","review_decision","approved_canonical","source_reference","notes"
"2016","ALAMANCE","unmatched","ALAMANCE - 03S","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","ANSON","unmatched","ANSON - W1","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","ANSON","unmatched","ANSON - W2","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","ANSON","unmatched","ANSON - W3","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","BRUNSWICK","unmatched","BRUNSWICK - 04A","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","BRUNSWICK","unmatched","BRUNSWICK - 04B1","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","BRUNSWICK","unmatched","BRUNSWICK - 04C1","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","BRUNSWICK","unmatched","BRUNSWICK - 10A","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","BRUNSWICK","unmatched","BRUNSWICK - 10B","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","BURKE","ambiguous","BURKE - 0029-A","12","BURKE - 0047-A","0.5400","fuzzy","MANUAL_REQUIRED","BURKE - 0071","","","","",""
"2016","BURKE","ambiguous","BURKE - 0029-B","12","BURKE - 0047-B","0.5400","fuzzy","MANUAL_REQUIRED","BURKE - 0071","","","","",""
"2016","BURKE","unmatched","BURKE - 0053","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","BURKE","unmatched","BURKE - 0065","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 01-06","12","CABARRUS - 01-07","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 02-06","CABARRUS - 01-04","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 01-09","12","CABARRUS - 01-02","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-09","CABARRUS - 01-04","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 04-02","12","CABARRUS - 04-01","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-03","CABARRUS - 01-02","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 04-04","12","CABARRUS - 04-09","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-01","CABARRUS - 04-08","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 04-05","12","CABARRUS - 04-09","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-01","CABARRUS - 02-05","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 04-06","12","CABARRUS - 04-09","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-01","CABARRUS - 04-08","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 04-07","12","CABARRUS - 02-07","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-09","CABARRUS - 04-01","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 04-10","12","CABARRUS - 04-13","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-09","CABARRUS - 04-01","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 12-01","12","CABARRUS - 12-03","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 12-12","CABARRUS - 12-05","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 12-02","12","CABARRUS - 12-03","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 02-02","CABARRUS - 12-12","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 12-06","12","CABARRUS - 12-03","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 12-05","CABARRUS - 12-08","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 12-07","12","CABARRUS - 01-07","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 02-07","CABARRUS - 12-03","","","",""
"2016","CABARRUS","ambiguous","CABARRUS - 12-10","12","CABARRUS - 12-14","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 12-03","CABARRUS - 01-10","","","",""
"2016","CALDWELL","unmatched","CALDWELL - PR16","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
"2016","CALDWELL","unmatched","CALDWELL - PR17","12","","0.0000","none","MANUAL_REQUIRED","","","","","",""
