year,total_precinct_keys,matched_before,matched_after,matched_delta,matched_pct_before,matched_pct_after,matched_pct_delta,unmatched_before,unmatched_after,ambiguous_before,ambiguous_after
2002,2841,1962,2116,154,69.06,74.48,5.42,561,559,216,64
2004,2996,1993,2147,154,66.52,71.66,5.14,653,651,203,51
2008,3105,2125,2515,390,68.44,81.0,12.56,368,244,277,11
2010,3064,2178,2769,591,71.08,90.37,19.29,299,0,292,0
2012,30540,21980,24170,2190,71.97,79.14,7.17,2710,2690,2990,820
2014,2984,2129,2470,341,71.35,82.77,11.42,280,272,377,44
2016,38508,26304,32148,5844,68.31,83.48,15.17,2532,1212,4560,36
2020,36780,31128,31692,564,84.63,86.17,1.54,2388,1776,0,48
2022,2977,2247,2659,412,75.48,89.32,13.84,110,59,378,17
2024,31988,24849,29205,4356,77.68,91.3,13.62,385,385,4389,33
