modern_precinct,sbe2006_precinct,dominant_share_blocks,sbe2006_parts,modern_block_count,block_count
ALAMANCE - 01,ALAMANCE - PATTERSON,98.98,2,98,97
ALAMANCE - 02,ALAMANCE - COBLE,97.79,3,136,133
ALAMANCE - 035,ALAMANCE - BOONE 5,95.65,4,138,132
ALAMANCE - 03C,ALAMANCE - BOONE CENTRAL,93.42,4,76,71
ALAMANCE - 03N,ALAMANCE - BOONE NORTH,97.87,3,94,92
ALAMANCE - 03N2,ALAMANCE - BOONE NORTH,91.67,2,12,11
ALAMANCE - 03SE,ALAMANCE - BOONE SOUTH,99.18,2,122,121
ALAMANCE - 03SM,ALAMANCE - BOONE SOUTH,100.0,1,70,70
ALAMANCE - 03W,ALAMANCE - BOONE WEST,97.5,3,80,78
ALAMANCE - 04,ALAMANCE - MORTON,97.67,4,129,126
ALAMANCE - 05,ALAMANCE - FAUCETTE,100.0,1,102,102
ALAMANCE - 063,ALAMANCE - GRAHAM 3,93.9,4,82,77
ALAMANCE - 064,ALAMANCE - GRAHAM 4,100.0,1,103,103
ALAMANCE - 06E,ALAMANCE - GRAHAM EAST,98.89,2,90,89
ALAMANCE - 06N,ALAMANCE - GRAHAM NORTH,96.61,2,118,114
ALAMANCE - 06S,ALAMANCE - GRAHAM SOUTH,100.0,1,108,108
ALAMANCE - 06W,ALAMANCE - GRAHAM WEST,100.0,1,36,36
ALAMANCE - 07,ALAMANCE - ALBRIGHT,83.82,5,68,57
ALAMANCE - 08N,ALAMANCE - NEWLIN NORTH,93.22,3,59,55
ALAMANCE - 08S,ALAMANCE - NEWLIN SOUTH,98.44,2,64,63
ALAMANCE - 09N,ALAMANCE - THOMPSON NORTH,98.63,2,73,72
ALAMANCE - 09S,ALAMANCE - THOMPSON SOUTH,87.16,5,109,95
ALAMANCE - 103,ALAMANCE - MELVILLE 3,88.42,5,95,84
ALAMANCE - 104,ALAMANCE - MELVILLE SOUTH,90.36,3,83,75
ALAMANCE - 10N,ALAMANCE - MELVILLE NORTH,92.48,3,133,123
ALAMANCE - 10S1,ALAMANCE - MELVILLE SOUTH,97.52,2,121,118
ALAMANCE - 11,ALAMANCE - PLEASANT GROVE,90.67,3,75,68
ALAMANCE - 1210,ALAMANCE - BURLINGTON 10,100.0,1,38,38
