row_type,county,old_count,new_count,delta,precinct_key
county_count_delta,COLUMBUS,21,16,-5,
county_count_delta,DUPLIN,19,17,-2,
county_count_delta,DURHAM,60,58,-2,
county_count_delta,GASTON,46,40,-6,
county_count_delta,HARNETT,13,15,2,
county_count_delta,MITCHELL,9,8,-1,
county_count_delta,PENDER,18,12,-6,
county_count_delta,RICHMOND,16,11,-5,
county_count_delta,ROCKINGHAM,15,14,-1,
county_count_delta,STANLY,22,21,-1,
county_count_delta,VANCE,12,9,-3,
county_count_delta,WAKE,210,216,6,
removed_precinct,CLEVELAND,,,,CLEVELAND - S 4A
removed_precinct,CLEVELAND,,,,CLEVELAND - S 5
removed_precinct,COLUMBUS,,,,COLUMBUS - P01A
removed_precinct,COLUMBUS,,,,COLUMBUS - P11
removed_precinct,COLUMBUS,,,,COLUMBUS - P112
removed_precinct,COLUMBUS,,,,COLUMBUS - P17
removed_precinct,COLUMBUS,,,,COLUMBUS - P20A
removed_precinct,COLUMBUS,,,,COLUMBUS - P23
removed_precinct,COLUMBUS,,,,COLUMBUS - P24
removed_precinct,COLUMBUS,,,,COLUMBUS - P25B
removed_precinct,COLUMBUS,,,,COLUMBUS - P34
removed_precinct,COLUMBUS,,,,COLUMBUS - P513
removed_precinct,DUPLIN,,,,DUPLIN - LOCK
removed_precinct,DUPLIN,,,,DUPLIN - ROCK
removed_precinct,DUPLIN,,,,DUPLIN - WALL
removed_precinct,DURHAM,,,,DURHAM - 16
removed_precinct,DURHAM,,,,DURHAM - 48
removed_precinct,DURHAM,,,,DURHAM - 53-1
removed_precinct,GASTON,,,,GASTON - 01
removed_precinct,GASTON,,,,GASTON - 02
removed_precinct,GASTON,,,,GASTON - 03
removed_precinct,GASTON,,,,GASTON - 04-1
removed_precinct,GASTON,,,,GASTON - 05
removed_precinct,GASTON,,,,GASTON - 06-1
removed_precinct,GASTON,,,,GASTON - 07
removed_precinct,GASTON,,,,GASTON - 08
removed_precinct,GASTON,,,,GASTON - 09
removed_precinct,GASTON,,,,GASTON - 10
removed_precinct,GASTON,,,,GASTON - 11
removed_precinct,GASTON,,,,GASTON - 12
removed_precinct,GASTON,,,,GASTON - 13
removed_precinct,GASTON,,,,GASTON - 14-1
removed_precinct,GASTON,,,,GASTON - 15
removed_precinct,GASTON,,,,GASTON - 16
removed_precinct,GASTON,,,,GASTON - 17
removed_precinct,GASTON,,,,GASTON - 18-1
removed_precinct,GASTON,,,,GASTON - 19-1
removed_precinct,GASTON,,,,GASTON - 20
removed_precinct,GASTON,,,,GASTON - 21-1
removed_precinct,GASTON,,,,GASTON - 22
removed_precinct,GASTON,,,,GASTON - 23
removed_precinct,GASTON,,,,GASTON - 24
removed_precinct,GASTON,,,,GASTON - 25-1
removed_precinct,GASTON,,,,GASTON - 26-1
removed_precinct,GASTON,,,,GASTON - 27
removed_precinct,GASTON,,,,GASTON - 28-1
removed_precinct,GASTON,,,,GASTON - 29-1
removed_precinct,GASTON,,,,GASTON - 30-1
removed_precinct,GASTON,,,,GASTON - 31
removed_precinct,GASTON,,,,GASTON - 32-1
removed_precinct,GASTON,,,,GASTON - 33
removed_precinct,GASTON,,,,GASTON - 34
removed_precinct,GASTON,,,,GASTON - 35
removed_precinct,GASTON,,,,GASTON - 36
removed_precinct,GASTON,,,,GASTON - 37
removed_precinct,GASTON,,,,GASTON - 38
removed_precinct,GASTON,,,,GASTON - 39
removed_precinct,GASTON,,,,GASTON - 40
removed_precinct,GASTON,,,,GASTON - 41
removed_precinct,GASTON,,,,GASTON - 42
removed_precinct,GASTON,,,,GASTON - 43
removed_precinct,GASTON,,,,GASTON - 44
