"county","total_geo","matched_geo","unmatched_geo","non_geo","geo_match_pct"
"LEE","716","638","78","49","89.11"
"CHEROKEE","1056","946","110","7","89.58"
"CASWELL","624","579","45","46","92.79"
"SCOTLAND","660","616","44","63","93.33"
"BURKE","2134","2046","88","39","95.88"
"MOORE","1649","1583","66","98","96"
"PERSON","861","829","32","14","96.28"
"CHATHAM","1301","1254","47","48","96.39"
"PAMLICO","616","594","22","52","96.43"
"WAYNE","1982","1914","68","139","96.57"
"HENDERSON","2247","2181","66","63","97.06"
"STANLY","1540","1496","44","26","97.14"
"WILSON","1606","1562","44","75","97.26"
"BRUNSWICK","1616","1572","44","48","97.28"
"GRANVILLE","968","944","24","28","97.52"
"ROBESON","2684","2618","66","111","97.54"
"LINCOLN","1680","1646","34","118","97.98"
"FRANKLIN","1144","1122","22","14","98.08"
"ALAMANCE","2442","2397","45","9","98.16"
"RUTHERFORD","1276","1254","22","86","98.28"
"SURRY","1914","1881","33","51","98.28"
"NEW HANOVER","2904","2860","44","110","98.48"
"ROWAN","2832","2797","35","11","98.76"
"WILKES","1870","1848","22","151","98.82"
"NORTHAMPTON","1188","1177","11","99","99.07"
"DAVIDSON","2816","2794","22","99","99.22"
"ALLEGHANY","399","396","3","51","99.25"
"CATAWBA","2651","2640","11","46","99.59"
"ORANGE","2898","2886","12","99","99.59"
"UNION","3205","3194","11","72","99.66"
"DURHAM","3704","3693","11","205","99.7"
"FORSYTH","6626","6606","20","52","99.7"
"JONES","463","462","1","50","99.78"
"GUILFORD","10684","10662","22","54","99.79"
"MECKLENBURG","12729","12708","21","193","99.84"
"ALEXANDER","930","930","0","10","100"
"ANSON","726","726","0","42","100"
"ASHE","1122","1122","0","50","100"
"AVERY","1254","1254","0","49","100"
"BEAUFORT","1386","1386","0","87","100"
"BERTIE","792","792","0","62","100"
"BLADEN","1122","1122","0","99","100"
"BUNCOMBE","5060","5060","0","328","100"
"CABARRUS","2948","2948","0","111","100"
"CALDWELL","1455","1455","0","61","100"
"CAMDEN","198","198","0","63","100"
"CARTERET","1992","1992","0","113","100"
"CHOWAN","396","396","0","76","100"
"CLAY","594","594","0","3","100"
"CLEVELAND","1672","1672","0","28","100"
"COLUMBUS","1716","1716","0","108","100"
"CRAVEN","1738","1738","0","24","100"
"CUMBERLAND","4722","4722","0","361","100"
"CURRITUCK","726","726","0","49","100"
"DARE","1056","1056","0","51","100"
"DAVIE","924","924","0","61","100"
"DUPLIN","1254","1254","0","51","100"
"EDGECOMBE","1386","1386","0","134","100"
"GASTON","3036","3036","0","135","100"
"GATES","374","374","0","62","100"
"GRAHAM","264","264","0","3","100"
"GREENE","660","660","0","74","100"
"HALIFAX","1778","1778","0","75","100"
"HARNETT","1046","1046","0","96","100"
"HAYWOOD","1914","1914","0","60","100"
"HERTFORD","858","858","0","73","100"
"HOKE","924","924","0","3","100"
"HYDE","462","462","0","73","100"
"IREDELL","1870","1870","0","11","100"
"JACKSON","1067","1067","0","97","100"
"JOHNSTON","2393","2393","0","110","100"
"LENOIR","1452","1452","0","51","100"
"MACON","990","990","0","116","100"
"MADISON","762","762","0","12","100"
"MARTIN","858","858","0","51","100"
"MCDOWELL","1122","1122","0","10","100"
"MITCHELL","594","594","0","10","100"
"MONTGOMERY","924","924","0","12","100"
"NASH","1686","1686","0","126","100"
"ONSLOW","1562","1562","0","86","100"
"PASQUOTANK","734","734","0","63","100"
"PENDER","1254","1254","0","48","100"
"PERQUIMANS","462","462","0","45","100"
"PITT","2573","2573","0","312","100"
"POLK","506","506","0","39","100"
"RANDOLPH","2164","2164","0","22","100"
"RICHMOND","1056","1056","0","97","100"
"ROCKINGHAM","1364","1364","0","3","100"
"SAMPSON","1518","1518","0","124","100"
"STOKES","1320","1320","0","72","100"
"SWAIN","330","330","0","3","100"
"TRANSYLVANIA","1092","1092","0","14","100"
"TYRRELL","396","396","0","60","100"
"VANCE","924","924","0","29","100"
"WAKE","12601","12601","0","864","100"
"WARREN","924","924","0","3","100"
"WASHINGTON","396","396","0","60","100"
"WATAUGA","1320","1320","0","163","100"
"YADKIN","792","792","0","48","100"
"YANCEY","726","726","0","11","100"
