"year","status","raw_precinct_key","count","candidate_1","candidate_1_score","reason","tier","candidate_2","candidate_3","review_decision","approved_canonical","notes"
"2016","ambiguous","CUMBERLAND - AL51","12","CUMBERLAND - AL51-3","0.9300","raw_in_code_desc","AUTO_REVIEW","CUMBERLAND - AL51-2","CUMBERLAND - AL51-1","","",""
"2016","ambiguous","CUMBERLAND - G3A-2","12","CUMBERLAND - G3A-2C","0.9300","raw_in_code_desc","AUTO_REVIEW","CUMBERLAND - G5A-2","CUMBERLAND - G3A-1","","",""
"2016","ambiguous","DURHAM - 33","12","DURHAM - 33-2","0.9300","raw_in_code_desc","AUTO_REVIEW","DURHAM - 33-1","","","",""
"2016","ambiguous","WAKE - 01-07A","12","WAKE - 01-07","0.8000","fuzzy","MANUAL_REQUIRED","WAKE - 01-37","WAKE - 01-03","","",""
"2016","ambiguous","WAKE - 07-07A","12","WAKE - 07-07","0.8000","fuzzy","MANUAL_REQUIRED","WAKE - 07-03","WAKE - 07-10","","",""
"2016","ambiguous","DURHAM - 30-1","12","DURHAM - 01","0.7200","fuzzy","MANUAL_REQUIRED","DURHAM - 34-1","DURHAM - 30-3","","",""
"2016","ambiguous","CABARRUS - 01-06","12","CABARRUS - 01-02","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 01-07","CABARRUS - 01-04","","",""
"2016","ambiguous","CABARRUS - 01-09","12","CABARRUS - 01-02","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 01-07","CABARRUS - 01-04","","",""
"2016","ambiguous","CABARRUS - 04-02","12","CABARRUS - 04-01","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-09","CABARRUS - 01-02","","",""
"2016","ambiguous","CABARRUS - 04-04","12","CABARRUS - 04-01","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-08","CABARRUS - 04-03","","",""
"2016","ambiguous","CABARRUS - 04-05","12","CABARRUS - 04-01","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 02-05","CABARRUS - 04-08","","",""
"2016","ambiguous","CABARRUS - 04-06","12","CABARRUS - 04-01","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-08","CABARRUS - 04-03","","",""
"2016","ambiguous","CABARRUS - 04-07","12","CABARRUS - 01-07","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-01","CABARRUS - 04-08","","",""
"2016","ambiguous","CABARRUS - 04-10","12","CABARRUS - 04-12","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 04-01","CABARRUS - 04-08","","",""
"2016","ambiguous","CABARRUS - 12-01","12","CABARRUS - 02-01","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 12-09","CABARRUS - 12-05","","",""
"2016","ambiguous","CABARRUS - 12-02","12","CABARRUS - 12-09","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 12-05","CABARRUS - 12-12","","",""
"2016","ambiguous","CABARRUS - 12-06","12","CABARRUS - 12-08","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 12-09","CABARRUS - 12-05","","",""
"2016","ambiguous","CABARRUS - 12-07","12","CABARRUS - 01-07","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 12-08","CABARRUS - 12-09","","",""
"2016","ambiguous","CABARRUS - 12-10","12","CABARRUS - 12-08","0.6750","fuzzy","MANUAL_REQUIRED","CABARRUS - 12-09","CABARRUS - 12-14","","",""
"2016","ambiguous","WAKE - 03-00","12","WAKE - 03-01","0.6750","fuzzy","MANUAL_REQUIRED","WAKE - 03-02","WAKE - 10-03","","",""
"2016","ambiguous","WAKE - 06-09","12","WAKE - 04-09","0.6750","fuzzy","MANUAL_REQUIRED","WAKE - 06-07","WAKE - 01-09","","",""
"2016","ambiguous","WAKE - 12-05","12","WAKE - 01-05","0.6750","fuzzy","MANUAL_REQUIRED","WAKE - 19-05","WAKE - 12-09","","",""
"2016","ambiguous","WAKE - 16-08","12","WAKE - 16-03","0.6750","fuzzy","MANUAL_REQUIRED","WAKE - 18-08","WAKE - 13-08","","",""
"2016","ambiguous","WAKE - 17-08","12","WAKE - 17-09","0.6750","fuzzy","MANUAL_REQUIRED","WAKE - 18-08","WAKE - 17-02","","",""
"2016","ambiguous","WAKE - 19-10","12","WAKE - 19-05","0.6750","fuzzy","MANUAL_REQUIRED","WAKE - 19-03","WAKE - 13-10","","",""
"2016","ambiguous","WAKE - 19-12","12","WAKE - 19-13","0.6750","fuzzy","MANUAL_REQUIRED","WAKE - 19-15","WAKE - 19-22","","",""
"2016","ambiguous","CUMBERLAND - G11A-1","12","CUMBERLAND - G3A-1","0.6000","fuzzy","MANUAL_REQUIRED","CUMBERLAND - G5A-1","CUMBERLAND - G2C-1","","",""
"2016","ambiguous","DURHAM - 35.3","12","DURHAM - 35-4","0.6000","fuzzy","MANUAL_REQUIRED","DURHAM - 35-5","DURHAM - 30-3","","",""
"2016","ambiguous","BURKE - 0029-A","12","BURKE - 0047-A","0.5400","fuzzy","MANUAL_REQUIRED","BURKE - 0071","","","",""
"2016","ambiguous","BURKE - 0029-B","12","BURKE - 0047-B","0.5400","fuzzy","MANUAL_REQUIRED","BURKE - 0071","","","",""
"2016","unmatched","ALAMANCE - 03S","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","ANSON - W1","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","ANSON - W2","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","ANSON - W3","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","BRUNSWICK - 04A","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","BRUNSWICK - 04B1","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","BRUNSWICK - 04C1","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","BRUNSWICK - 10A","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","BRUNSWICK - 10B","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","BURKE - 0053","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","BURKE - 0065","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","CALDWELL - PR16","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","CALDWELL - PR17","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","CALDWELL - PR18","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","CALDWELL - PR21","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","CALDWELL - PR22","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","CALDWELL - PR24","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","CALDWELL - PR25","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","CALDWELL - PR29","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
"2016","unmatched","CALDWELL - PR30","12","","0.0000","none","MANUAL_REQUIRED","","","","",""
