year,raw_precinct_key,canonical_precinct_key,county,top_profile,top_support,second_support,candidate_count,method
2016,CUMBERLAND - EO61-1,CUMBERLAND - AL51-1,CUMBERLAND,043|019|07,132,48,3,block_profile_county_support
2016,CUMBERLAND - EO61-2,CUMBERLAND - G2E-2,CUMBERLAND,044|021|09,144,132,3,block_profile_county_support
2016,CUMBERLAND - G11A-2,CUMBERLAND - G2E-2,CUMBERLAND,044|021|09,144,36,3,block_profile_county_support
2016,CUMBERLAND - G2C-2,CUMBERLAND - G2E-2,CUMBERLAND,044|021|09,144,36,3,block_profile_county_support
2016,DURHAM - 30-1,DURHAM - 01,DURHAM,030|022|04,156,72,3,block_profile_county_support
