year,total_precinct_keys,matched,matched_pct,unmatched,ambiguous,non_geographic,no_county,bad_key
2002,2841,1962,69.06,561,216,102,0,0
2004,2996,1993,66.52,653,203,147,0,0
2008,3105,2125,68.44,368,277,335,0,0
2010,3064,2178,71.08,299,292,295,0,0
2012,30540,21980,71.97,2710,2990,2860,0,0
2014,2984,2129,71.35,280,377,198,0,0
2016,38508,26304,68.31,2532,4560,5112,0,0
2020,36780,31056,84.44,2388,72,3264,0,0
2022,2977,2247,75.48,110,378,242,0,0
2024,31988,24849,77.68,385,4389,2365,0,0
