"raw_precinct_key","suggested_canonical_precinct_key","score","tier","reason","candidate_2","candidate_3"
"BUNCOMBE - 01.1","BUNCOMBE - 01.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 02.1"
"BUNCOMBE - 02.1","BUNCOMBE - 02.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 05.1"
"BUNCOMBE - 03.1","BUNCOMBE - 03.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 02.1","BUNCOMBE - 53.1"
"BUNCOMBE - 04.1","BUNCOMBE - 04.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 49.1","BUNCOMBE - 02.1"
"BUNCOMBE - 05.1","BUNCOMBE - 05.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 02.1","BUNCOMBE - 53.1"
"BUNCOMBE - 06.1","BUNCOMBE - 06.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 02.1","BUNCOMBE - 65.1"
"BUNCOMBE - 07.1","BUNCOMBE - 07.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 02.1","BUNCOMBE - 17.1"
"BUNCOMBE - 08.2","BUNCOMBE - 08.2","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 38.2","BUNCOMBE - 60.2"
"BUNCOMBE - 08.3","BUNCOMBE - 08.3","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 30.3","BUNCOMBE - 08.2"
"BUNCOMBE - 09.1","BUNCOMBE - 09.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 49.1","BUNCOMBE - 02.1"
"BUNCOMBE - 10.1","BUNCOMBE - 10.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 17.1"
"BUNCOMBE - 11.1","BUNCOMBE - 11.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 17.1"
"BUNCOMBE - 12.1","BUNCOMBE - 12.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 02.1","BUNCOMBE - 17.1"
"BUNCOMBE - 13.1","BUNCOMBE - 13.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 53.1"
"BUNCOMBE - 14.2","BUNCOMBE - 14.2","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 51.2","BUNCOMBE - 14.3"
"BUNCOMBE - 14.3","BUNCOMBE - 14.3","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 14.2","BUNCOMBE - 30.3"
"BUNCOMBE - 15.1","BUNCOMBE - 15.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 17.1"
"BUNCOMBE - 16.2","BUNCOMBE - 16.2","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 51.2","BUNCOMBE - 56.2"
"BUNCOMBE - 17.1","BUNCOMBE - 17.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 67.1"
"BUNCOMBE - 18.2","BUNCOMBE - 18.2","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 51.2","BUNCOMBE - 38.2"
"BUNCOMBE - 19.1","BUNCOMBE - 19.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 49.1","BUNCOMBE - 12.1"
"BUNCOMBE - 20.1","BUNCOMBE - 20.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 02.1"
"BUNCOMBE - 21.1","BUNCOMBE - 21.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 02.1"
"BUNCOMBE - 22.2","BUNCOMBE - 22.2","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 29.2","BUNCOMBE - 23.2"
"BUNCOMBE - 23.2","BUNCOMBE - 23.2","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 23.3","BUNCOMBE - 29.2"
"BUNCOMBE - 23.3","BUNCOMBE - 23.3","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 30.3","BUNCOMBE - 23.2"
"BUNCOMBE - 24.1","BUNCOMBE - 24.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 49.1","BUNCOMBE - 12.1"
"BUNCOMBE - 25.1","BUNCOMBE - 25.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 02.1"
"BUNCOMBE - 26.1","BUNCOMBE - 26.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 02.1"
"BUNCOMBE - 27.2","BUNCOMBE - 27.2","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 29.2","BUNCOMBE - 23.2"
"BUNCOMBE - 28.1","BUNCOMBE - 28.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 02.1"
"BUNCOMBE - 29.2","BUNCOMBE - 29.2","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 39.2","BUNCOMBE - 23.2"
"BUNCOMBE - 30.2","BUNCOMBE - 30.2","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 38.2","BUNCOMBE - 08.2"
"BUNCOMBE - 30.3","BUNCOMBE - 30.3","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 23.3","BUNCOMBE - 39.3"
"BUNCOMBE - 31.1","BUNCOMBE - 31.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 53.1"
"BUNCOMBE - 32.1","BUNCOMBE - 32.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 12.1","BUNCOMBE - 02.1"
"BUNCOMBE - 33.2","BUNCOMBE - 33.2","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 38.2","BUNCOMBE - 33.3"
"BUNCOMBE - 33.3","BUNCOMBE - 33.3","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 30.3","BUNCOMBE - 23.3"
"BUNCOMBE - 34.1","BUNCOMBE - 34.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 49.1","BUNCOMBE - 48.1"
"BUNCOMBE - 35.1","BUNCOMBE - 35.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 53.1","BUNCOMBE - 65.1"
"BUNCOMBE - 36.1","BUNCOMBE - 36.1","1.0000","AUTO_ACCEPT","exact_prec_id","BUNCOMBE - 53.1","BUNCOMBE - 65.1"
