"iter","county","added","top_ratio"
"1","WAKE","198","0.015"
"2","RANDOLPH","27","0.222"
"3","CALDWELL","14","0.357"
"4","BUNCOMBE","15","0.067"
"5","CARTERET","13","0.231"
"6","CABARRUS","13","0.385"
"7","CRAVEN","8","0.25"
"8","HALIFAX","11","0.182"
"9","CUMBERLAND","11","0.182"
"10","DURHAM","11","0.273"
"11","LINCOLN","2","0.5"
"12","SURRY","10","0.3"
"13","JOHNSTON","10","0.3"
"14","NEW HANOVER","8","0.5"
"15","NORTHAMPTON","7","0.429"
