year,status,raw_precinct_key,count,suggested_canonical_precinct_key,score,tier,reason,candidate_2,candidate_3
2016,UNMATCHED,CALDWELL - PR21,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CALDWELL - PR22,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CALDWELL - PR24,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CALDWELL - PR25,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CALDWELL - PR29,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CALDWELL - PR30,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CALDWELL - PR31,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CALDWELL - PR32,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CALDWELL - PR33,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CALDWELL - PR34,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CALDWELL - PR35,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CARTERET - ATSL,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CARTERET - CCCP,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CARTERET - CISL,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CARTERET - IBSP,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CARTERET - OTBE,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CARTERET - PKNL,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CHATHAM - 20,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CHATHAM - 24,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CHATHAM - 45,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CHATHAM - 6,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CHATHAM - MCH110,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CHATHAM - PIT113,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,COLUMBUS - P03,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,COLUMBUS - P04,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,COLUMBUS - P05,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,COLUMBUS - P08,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,COLUMBUS - P09,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,COLUMBUS - P10,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,COLUMBUS - P12,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,COLUMBUS - P13,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,COLUMBUS - P18,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,COLUMBUS - P21,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CRAVEN - 04,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CRAVEN - 06,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CRAVEN - 08,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CRAVEN - 09,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CRAVEN - 10,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CRAVEN - 12,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,CRAVEN - 13,12,,0.0000,MANUAL_REQUIRED,none,,
