"iter","county","added","top_ratio"
"1","HALIFAX","6","0.333"
"2","BRUNSWICK","5","0.4"
"3","CUMBERLAND","5","0.4"
"4","GUILFORD","4","0.25"
"5","DURHAM","3","0.333"
"6","GATES","2","0.5"
