year,raw_precinct_key,expected_canonical_precinct_key,expected_tier,notes
2020,GASTON - 30,GASTON - 30-1,AUTO_ACCEPT,Gaston numeric suffix expansion
2020,WAKE - 01-07A,WAKE - 01-07,MANUAL_REQUIRED,Wake fuzzy-like split requires manual
2020,DURHAM - 33,DURHAM - 33-2,AUTO_REVIEW,Durham has competing 33-* candidates
2020,BRUNSWICK - 01,BRUNSWICK - NB01,AUTO_REVIEW,Prefix expansion should be reviewed
