year,total_precinct_keys,matched,matched_pct,unmatched,ambiguous,non_geographic,no_county,bad_key
2002,2841,2116,74.48,559,64,102,0,0
2004,2996,2147,71.66,651,51,147,0,0
2008,3105,2515,81.0,244,11,335,0,0
2010,3064,2330,76.04,299,140,295,0,0
2012,30540,24170,79.14,2690,820,2860,0,0
2014,2984,2470,82.77,272,44,198,0,0
2016,38508,32148,83.48,1212,36,5112,0,0
2020,36780,31692,86.17,1776,48,3264,0,0
2022,2977,2659,89.32,59,17,242,0,0
2024,31988,29205,91.3,385,33,2365,0,0
