year,total_precinct_keys,matched,matched_pct,unmatched,ambiguous,non_geographic,no_county,bad_key
2002,2841,1962,69.06,561,216,102,0,0
2004,2996,1993,66.52,653,203,147,0,0
2008,3105,2158,69.5,368,244,335,0,0
2010,3064,2404,78.46,299,66,295,0,0
2012,30540,24180,79.17,2710,790,2860,0,0
2014,2984,2466,82.64,280,40,198,0,0
2016,38508,30396,78.93,2532,468,5112,0,0
2020,36780,31128,84.63,2388,0,3264,0,0
2022,2977,2611,87.71,110,14,242,0,0
2024,31988,29238,91.4,385,0,2365,0,0
