lookup_key,count
CABARRUS - 12-12,6
CABARRUS - 12-04,5
DURHAM - 53-1,3
WAKE - 08-08,3
CABARRUS - 11-01,2
CABARRUS - 12-09,2
CABARRUS - 02-02,2
CABARRUS - 12-05,2
CUMBERLAND - SL78-3,2
DURHAM - 53-2,2
HALIFAX - WEL1-2,2
WAKE - 01-07,2
WAKE - 02-02,2
WAKE - 20-03,2
WAKE - 04-05,2
WAKE - 04-10,2
WAKE - 04-17,2
WAKE - 04-19,2
WAKE - 05-05,2
WAKE - 06-06,2
WAKE - 07-07,2
WAKE - 19-19,2
ALAMANCE - SOUTH BOONE,1
ALAMANCE - WEST BOONE SAT,1
ALEXANDER - GWALTNEY #1,1
ALEXANDER - GWALTNEY #2,1
ALEXANDER - LITTLE RIVER,1
ALEXANDER - SHARPES #1,1
ALEXANDER - SHARPES #2,1
ALEXANDER - SUGAR LOAF,1
ALEXANDER - TAYLORSVILLE #1,1
ALEXANDER - TAYLORSVILLE #2,1
ALEXANDER - TAYLORSVILLE #3,1
ALEXANDER - TAYLORSVILLE #4,1
ALEXANDER - TAYLORSVILLE #5,1
ALLEGHANY - CRANBERRY,1
ALLEGHANY - PINEY CREEK,1
ALLEGHANY - WHITEHEAD,1
ANSON - WADESBORO 1,1
ANSON - WADESBORO 2,1
ANSON - WADESBORO 3,1
BRUNSWICK - BELVILLE,1
BRUNSWICK - MOSQUITO,1
BRUNSWICK - SHINGLETREE I,1
BUNCOMBE - 08.2,1
BUNCOMBE - 14.2,1
BUNCOMBE - 14.3,1
BUNCOMBE - 23.3,1
BUNCOMBE - 30.2,1
BUNCOMBE - 30.3,1
BUNCOMBE - 33.2,1
BUNCOMBE - 33.3,1
BUNCOMBE - 38.2,1
BUNCOMBE - 38.3,1
BUNCOMBE - 39.2,1
BUNCOMBE - 39.3,1
BUNCOMBE - 60.2,1
BUNCOMBE - 60.4,1
BUNCOMBE - 681,1
BURKE - 0047-A - QUAKER MEADOWS #1-A,1
BURKE - 0047-B - QUAKER MEADOWS #1-B,1
BURKE - 0053 - SILVER CREEK 03,1
BURKE - 0065 - BURKEMONT,1
CABARRUS - 01-02,1
CABARRUS - 01-04,1
CABARRUS - 01-07,1
CABARRUS - 01-08,1
CABARRUS - 01-10,1
CABARRUS - 02-01,1
CABARRUS - 02-03,1
CABARRUS - 02-05,1
CABARRUS - 02-06,1
CABARRUS - 02-07,1
CABARRUS - 02-08,1
CABARRUS - 02-09,1
CABARRUS - 03-00,1
CABARRUS - 04-01,1
CABARRUS - 04-03,1
CABARRUS - 04-08,1
CABARRUS - 04-09,1
CABARRUS - 05-00,1
CABARRUS - 06-00,1
CABARRUS - 07-00,1
CABARRUS - 08-00,1
CABARRUS - 09-00,1
CABARRUS - 10-00,1
CABARRUS - 11-02,1
CABARRUS - 12-03,1
CABARRUS - 12-08,1
CABARRUS - 12-11,1
CALDWELL - GLOBE/JOHNS RIVER/MULBERRY/WILSON CREEK,1
CALDWELL - LITTLE RIVER,1
CALDWELL - LOVELADY-ONE,1
CALDWELL - LOVELADY-RHODHISS,1
CALDWELL - LOVELADY-TWO,1
CALDWELL - NORTH CATAWBA,1
CALDWELL - YADKIN VALLEY,1
CARTERET - PINE KNOLL SHORES,1
CASWELL - HIGHTOWERS,1
CASWELL - YANCEYVILLE 4,1
CHATHAM - BENNETT,1
CHATHAM - CAROLINA MEADOWS,1
CHATHAM - HARPERS CROSSROADS,1
CHATHAM - MANNS CHAPEL,1
CHATHAM - OAKLAND,1
CHATHAM - PITTSBORO,1
CHATHAM - THREE RIVERS,1
CHEROKEE - BEAVERDAM Y,1
CHEROKEE - BEAVERDAM Z,1
CHEROKEE - NOTLA Y,1
CHEROKEE - NOTLA Z,1
CLEVELAND - BOILING SPRINGS,1
CLEVELAND - HOLLY SPRINGS,1
CLEVELAND - KINGS MOUNTAIN #1,1
CLEVELAND - KINGS MOUNTAIN #2,1
CLEVELAND - KINGS MOUNTAIN #3,1
CLEVELAND - KINGS MOUNTAIN #4,1
CLEVELAND - MOORESBORO-YOUNG,1
CLEVELAND - OAK GROVE,1
CLEVELAND - SHELBY #1,1
CLEVELAND - SHELBY #2,1
CLEVELAND - SHELBY #3,1
CLEVELAND - SHELBY #6,1
CLEVELAND - SHELBY #7,1
CLEVELAND - SHELBY #8,1
COLUMBUS - P02A,1
COLUMBUS - P03,1
COLUMBUS - P04,1
COLUMBUS - P05,1
COLUMBUS - P08,1
COLUMBUS - P09,1
COLUMBUS - P10,1
COLUMBUS - P12,1
COLUMBUS - P13,1
COLUMBUS - P16A,1
COLUMBUS - P18,1
COLUMBUS - P20,1
COLUMBUS - P21,1
COLUMBUS - P22,1
COLUMBUS - P25A,1
COLUMBUS - P26A,1
CRAVEN - COVE CITY,1
CRAVEN - EPWORTH,1
CRAVEN - GLENBURNIE PARK,1
CRAVEN - GROVER C. FIELDS,1
CRAVEN - VANCEBORO,1
CUMBERLAND - AL51-3,1
CUMBERLAND - G5A-2,1
CUMBERLAND - CLIFFDALE WEST,1
CUMBERLAND - G5B-2,1
CUMBERLAND - G9B-2,1
CUMBERLAND - G9A-3,1
CUMBERLAND - G3A-2C,1
CUMBERLAND - G2E-2,1
CURRITUCK - CHURCHS ISLAND,1
CURRITUCK - MOYOCK,1
DAVIDSON - ABBOTTS CREEK 1 #86,1
DAVIDSON - WALLBURG #80,1
DAVIDSON - WARD 4 #36,1
DAVIDSON - WARD 6 #40,1
DURHAM - 30-2,1
DURHAM - 33-2,1
DURHAM - 34-1,1
DURHAM - 55-11,1
DURHAM - 55-49,1
FORSYTH - 011 - GLENN HIGH SCHOOL,1
FORSYTH - 072 - SOUTHWEST ELE,1
FORSYTH - 082 - EAST FORSYTH HIGH,1
FORSYTH - 122 - GRIFFITH FIRE,1
FORSYTH - 201 - BROWN-DOUGLAS REC,1
FORSYTH - 507 - SEDGE GARDEN REC,1
GATES - PRECINCT #4 NORTH,1
GATES - PRECINCT #4 SOUTH,1
GRANVILLE - MT ENERGY,1
GRANVILLE - WEST OXFORD ELEM.,1
GRANVILLE - WILTON,1
GREENE - BEAR GARDEN,1
GUILFORD - FR5,1
GUILFORD - G41,1
GUILFORD - G42,1
GUILFORD - H27,1
HALIFAX - PALMYRA,1
HALIFAX - RR1-2,1
HALIFAX - ROSENEATH,1
HARNETT - EAST AVERASBORO,1
HARNETT - LILLINGTON,1
HARNETT - NEILLS CREEK,1
HENDERSON - CAROLINA VILLAGE,1
IREDELL - DAVIDSON #1-A,1
IREDELL - DAVIDSON #1-B,1
IREDELL - DAVIDSON #2-A,1
JACKSON - DILLSBORO,1
JACKSON - HAMBURG,1
JACKSON - MOUNTAIN,1
JACKSON - SCOTTS CREEK 1,1
JACKSON - SCOTTS CREEK 2,1
JACKSON - SCOTTS CREEK 3,1
JACKSON - SYLVA-NORTH WD,1
JACKSON - SYLVA-SOUTH WD,1
JONES - TRANSERS,1
LINCOLN - CROUSE,1
LINCOLN - HEAVNERS,1
LINCOLN - HICKORY GROVE,1
LINCOLN - LONG SHOALS,1
LINCOLN - LOVE MEMORIAL,1
LINCOLN - NORTH BROOK III,1
LINCOLN - OAK GROVE,1
LINCOLN - TRIANGLE EAST,1
MARTIN - HASSELL,1
MARTIN - POPLAR POINT,1
MARTIN - ROBERSONVILLE 1,1
MARTIN - ROBERSONVILLE 2,1
MARTIN - WILLIAMS,1
MECKLENBURG - PCT 1,1
MOORE - EUR - EUREKA,1
MOORE - PHA - PINEHURST A,1
MOORE - WKWD - WEST KNOLLWOOD,1
NASH - DRYWELLS,1
NASH - FERRELLS,1
NASH - JACKSONS,1
NASH - MANNINGS NO 1,1
NASH - MANNINGS NO 2,1
NASH - NORTH WHITAKERS NO 1,1
NASH - NORTH WHITAKERS NO 2,1
NASH - ROCKY MOUNT NO 1,1
NASH - ROCKY MOUNT NO 10,1
NASH - ROCKY MOUNT NO 2,1
NASH - ROCKY MOUNT NO 3,1
NASH - ROCKY MOUNT NO 4,1
NASH - ROCKY MOUNT NO 5,1
NASH - ROCKY MOUNT NO 6,1
NASH - ROCKY MOUNT NO 7,1
NASH - ROCKY MOUNT NO 8,1
NASH - ROCKY MOUNT NO 9,1
NASH - SOUTH WHITAKERS,1
NASH - STONY CREEK,1
NORTHAMPTON - REHOBETH,1
ORANGE - BATTLE PARK,1
ORANGE - BOOKER CREEK,1
ORANGE - CAMERON PARK,1
ORANGE - COUNTRY CLUB,1
ORANGE - GREENWOOD,1
ORANGE - LINCOLN,1
ORANGE - LIONS CLUB,1
ORANGE - MASON FARM,1
PAMLICO - ALLIANCE,1
PAMLICO - BAYBORO,1
PAMLICO - GRANTSBORO,1
PAMLICO - HOBUCKEN,1
PAMLICO - MESIC,1
PAMLICO - STONEWALL,1
PAMLICO - VANDEMERE,1
PASQUOTANK - 1-A ELIZABETH CITY,1
PASQUOTANK - 1-B ELIZABETH CITY,1
PASQUOTANK - 2-A ELIZABETH CITY,1
PASQUOTANK - 2-B ELIZABETH CITY,1
PASQUOTANK - 3-A ELIZABETH CITY,1
PASQUOTANK - 3-B ELIZABETH CITY,1
PASQUOTANK - 4-A ELIZABETH CITY,1
PASQUOTANK - 4-B ELIZABETH CITY,1
PENDER - MIDDLE HOLLY,1
PENDER - PENDERLEA,1
PERSON - BUSHY FORK,1
PERSON - HURDLE MILLS,1
PERSON - ROXBORO 1,1
PERSON - ROXBORO 1A,1
PERSON - ROXBORO 2,1
PERSON - ROXBORO 3,1
PITT - GREENVILLE #4,1
PITT - WINTERVILLE CENTRAL A,1
PITT - WINTERVILLE CENTRAL B,1
PITT - WINTERVILLE EAST A,1
PITT - WINTERVILLE EAST B,1
RANDOLPH - BROWER,1
RANDOLPH - COLERIDGE,1
RANDOLPH - CONCORD,1
RANDOLPH - FALLS,1
RANDOLPH - NEW HOPE,1
ROBESON - FAIRMONT #1,1
ROBESON - FAIRMONT #2,1
ROBESON - LUMBERTON #11A,1
ROBESON - NORTH ST PAULS,1
