"year","status","precinct_key","count"
"2016","unmatched","ALAMANCE - 03S","12"
"2016","unmatched","ANSON - W1","12"
"2016","unmatched","ANSON - W2","12"
"2016","unmatched","ANSON - W3","12"
"2016","unmatched","BRUNSWICK - 04A","12"
"2016","unmatched","BRUNSWICK - 04B1","12"
"2016","unmatched","BRUNSWICK - 04C1","12"
"2016","unmatched","BRUNSWICK - 10A","12"
"2016","unmatched","BRUNSWICK - 10B","12"
"2016","ambiguous","BURKE - 0029-A","12"
"2016","ambiguous","BURKE - 0029-B","12"
"2016","unmatched","BURKE - 0053","12"
"2016","unmatched","BURKE - 0065","12"
"2016","ambiguous","CABARRUS - 01-06","12"
"2016","ambiguous","CABARRUS - 01-09","12"
"2016","ambiguous","CABARRUS - 04-02","12"
"2016","ambiguous","CABARRUS - 04-04","12"
"2016","ambiguous","CABARRUS - 04-05","12"
"2016","ambiguous","CABARRUS - 04-06","12"
"2016","ambiguous","CABARRUS - 04-07","12"
"2016","ambiguous","CABARRUS - 04-10","12"
"2016","ambiguous","CABARRUS - 12-01","12"
"2016","ambiguous","CABARRUS - 12-02","12"
"2016","ambiguous","CABARRUS - 12-06","12"
"2016","ambiguous","CABARRUS - 12-07","12"
"2016","ambiguous","CABARRUS - 12-10","12"
"2016","unmatched","CALDWELL - PR16","12"
"2016","unmatched","CALDWELL - PR17","12"
"2016","unmatched","CALDWELL - PR18","12"
"2016","unmatched","CALDWELL - PR21","12"
"2016","unmatched","CALDWELL - PR22","12"
"2016","unmatched","CALDWELL - PR24","12"
"2016","unmatched","CALDWELL - PR25","12"
"2016","unmatched","CALDWELL - PR29","12"
"2016","unmatched","CALDWELL - PR30","12"
"2016","unmatched","CALDWELL - PR31","12"
"2016","unmatched","CALDWELL - PR32","12"
"2016","unmatched","CALDWELL - PR33","12"
"2016","unmatched","CALDWELL - PR34","12"
"2016","unmatched","CALDWELL - PR35","12"
"2016","unmatched","CARTERET - ATSL","12"
"2016","unmatched","CARTERET - CCCP","12"
"2016","unmatched","CARTERET - CISL","12"
"2016","unmatched","CARTERET - IBSP","12"
"2016","unmatched","CARTERET - OTBE","12"
"2016","unmatched","CARTERET - PKNL","12"
"2016","unmatched","CHATHAM - 20","12"
"2016","unmatched","CHATHAM - 24","12"
"2016","unmatched","CHATHAM - 45","12"
"2016","unmatched","CHATHAM - 6","12"
"2016","unmatched","CHATHAM - MCH110","12"
"2016","unmatched","CHATHAM - PIT113","12"
"2016","unmatched","COLUMBUS - P03","12"
"2016","unmatched","COLUMBUS - P04","12"
"2016","unmatched","COLUMBUS - P05","12"
"2016","unmatched","COLUMBUS - P08","12"
"2016","unmatched","COLUMBUS - P09","12"
"2016","unmatched","COLUMBUS - P10","12"
"2016","unmatched","COLUMBUS - P12","12"
"2016","unmatched","COLUMBUS - P13","12"
"2016","unmatched","COLUMBUS - P18","12"
"2016","unmatched","COLUMBUS - P21","12"
"2016","unmatched","CRAVEN - 04","12"
