year,county,raw_precinct_key,canonical_precinct_key,method,count,score,token_overlap,risk_flag
2010,COLUMBUS,COLUMBUS - P13_WEST LEES,COLUMBUS - P13_WEST LEES,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
2010,COLUMBUS,COLUMBUS - P03_BUG HILL 1,COLUMBUS - P03_BUG HILL 1,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
2010,CRAVEN,CRAVEN - 06_CLARKS,CRAVEN - 06_CLARKS,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
2010,CRAVEN,CRAVEN - 22_WEST HAVELOCK,CRAVEN - 22_WEST HAVELOCK,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
2010,CUMBERLAND,CUMBERLAND - CC19_CROSS CREEK #19,CUMBERLAND - CC19_CROSS CREEK #19,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
2010,CUMBERLAND,CUMBERLAND - G2D_LONGHILL-G2,CUMBERLAND - G2D_LONGHILL-G2,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
2010,CUMBERLAND,CUMBERLAND - EO61-2_EASTOVER #2,CUMBERLAND - EO61-2_EASTOVER #2,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
2010,CURRITUCK,CURRITUCK - CI_CHURCHS ISLAND,CURRITUCK - CI_CHURCHS ISLAND,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
2010,CURRITUCK,CURRITUCK - MY_MOYOCK,CURRITUCK - MY_MOYOCK,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
2010,DURHAM,DURHAM - 35-2_SOUTHPOINT VILLAGE CLUB HOUSE,DURHAM - 35-2_SOUTHPOINT VILLAGE CLUB HOUSE,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
2010,DURHAM,DURHAM - 55-49_NCCU STUDENT UNION,DURHAM - 55-49_NCCU STUDENT UNION,debug_self_form_fallback,1,1.0,3,LOW_SELF_MAP
