year,method,office_label,hd37_margin_pct,hd59_margin_pct,house_dem_total,house_rep_total,house_total_votes,accuracy_pct,accuracy_benchmark,county_calibration_source
2012,dra_block_direct,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,16.72,7.68,2175066,2267441,4442507,100.0,dra_makecsv_log,data\Election_Data_Block_NC.v07\election_data_block_NC.v07.csv
2020,dra_block_direct,US PRESIDENT,2.81,-1.03,2684292,2758775,5524804,100.0,dra_makecsv_log,data\Election_Data_Block_NC.v07\election_data_block_NC.v07.csv
2024,dra_block_direct,US PRESIDENT,0.09,-1.88,2713609,2896941,5696382,100.0,dra_makecsv_log,data\Election_Data_Block_NC.v07\election_data_block_NC.v07.csv
