county,old_precincts,new_precincts,matched_old_precincts,matched_new_precincts,split_old_precincts,split_new_precincts,overlap_rows
ALAMANCE,37,39,37,39,6,6,46
ALEXANDER,16,10,16,10,0,5,16
ALLEGHANY,7,4,7,4,0,2,7
ANSON,11,9,11,9,0,1,11
ASHE,17,17,17,17,0,0,17
AVERY,19,19,19,19,0,0,19
BEAUFORT,21,21,21,21,0,0,21
BERTIE,12,12,12,12,0,0,12
BLADEN,17,17,17,17,0,0,17
BRUNSWICK,26,27,26,27,14,14,44
BUNCOMBE,79,80,79,80,8,6,88
BURKE,33,31,33,31,0,2,33
CABARRUS,46,39,46,39,1,7,47
CALDWELL,21,15,21,15,3,7,24
CAMDEN,3,3,3,3,0,0,3
CARTERET,27,26,27,26,4,5,31
CASWELL,10,9,10,9,0,1,10
CATAWBA,40,40,40,40,5,4,46
CHATHAM,18,18,18,18,3,3,21
CHEROKEE,16,16,16,16,3,3,19
CHOWAN,6,6,6,6,0,0,6
CLAY,9,9,9,9,0,0,9
CLEVELAND,26,21,26,21,0,4,26
COLUMBUS,26,21,26,21,6,12,35
CRAVEN,27,21,27,21,3,8,30
CUMBERLAND,77,77,77,77,23,22,105
CURRITUCK,11,11,11,11,1,1,12
DARE,16,16,16,16,1,1,17
DAVIDSON,43,43,43,43,1,1,44
DAVIE,14,14,14,14,2,2,16
DUPLIN,19,19,19,19,0,0,19
DURHAM,56,60,56,60,6,2,62
EDGECOMBE,21,21,21,21,0,0,21
FORSYTH,101,108,101,108,8,1,109
FRANKLIN,18,18,18,18,3,3,22
GASTON,46,46,46,46,6,6,53
GATES,6,6,6,6,0,0,6
GRAHAM,4,4,4,4,0,0,4
GRANVILLE,15,15,15,15,5,4,20
GREENE,10,10,10,10,1,1,11
GUILFORD,163,165,163,165,14,10,177
HALIFAX,25,19,25,19,0,5,25
HARNETT,12,13,12,13,1,0,13
HAYWOOD,29,29,29,29,1,1,30
HENDERSON,34,34,34,34,0,0,34
HERTFORD,13,13,13,13,0,0,13
HOKE,14,15,14,15,1,0,15
HYDE,7,7,7,7,0,0,7
IREDELL,29,30,29,30,4,4,36
JACKSON,15,13,15,13,0,1,15
JOHNSTON,36,36,36,36,1,1,37
JONES,7,7,7,7,0,0,7
LEE,10,10,10,10,5,5,15
LENOIR,22,22,22,22,1,2,24
LINCOLN,28,23,28,23,0,5,28
MACON,15,15,15,15,0,0,15
MADISON,12,12,12,12,0,0,12
MARTIN,13,9,13,9,1,6,15
MCDOWELL,17,17,17,17,0,0,17
MECKLENBURG,195,195,195,195,1,1,196
MITCHELL,9,9,9,9,0,0,9
MONTGOMERY,14,14,14,14,0,0,14
MOORE,26,26,26,26,3,4,30
NASH,27,24,27,24,3,5,30
NEW HANOVER,0,41,0,0,0,0,0
NEW_HANOVER,43,0,0,0,0,0,0
NORTHAMPTON,18,13,18,13,0,4,18
ONSLOW,23,24,23,24,1,0,24
ORANGE,43,40,43,40,16,17,67
PAMLICO,10,6,10,6,0,3,10
PASQUOTANK,13,9,13,9,3,5,16
PENDER,20,18,20,18,0,2,20
PERQUIMANS,7,7,7,7,1,1,8
PERSON,14,11,14,11,2,4,16
PITT,40,40,40,40,3,2,43
POLK,7,7,7,7,0,0,7
RANDOLPH,40,22,40,22,0,14,40
RICHMOND,16,16,16,16,0,0,16
ROBESON,42,39,42,39,0,3,42
ROCKINGHAM,15,15,15,15,0,0,15
ROWAN,41,41,41,41,3,3,44
RUTHERFORD,17,17,17,17,0,0,17
SAMPSON,23,23,23,23,1,1,24
SCOTLAND,10,7,10,7,0,3,10
STANLY,23,22,23,22,1,5,27
STOKES,20,18,20,18,2,4,22
SURRY,29,23,29,23,7,12,39
SWAIN,5,5,5,5,0,0,5
TRANSYLVANIA,15,15,15,15,0,0,15
TYRRELL,6,6,6,6,1,1,7
UNION,52,54,52,54,7,6,60
VANCE,12,12,12,12,2,2,14
WAKE,198,210,198,210,14,5,215
WARREN,14,14,14,14,0,0,14
WASHINGTON,6,6,6,6,0,0,6
WATAUGA,20,20,20,20,1,1,21
WAYNE,30,28,30,28,0,2,30
WILKES,28,25,28,25,2,4,30
WILSON,24,24,24,24,0,0,24
YADKIN,12,12,12,12,0,0,12
YANCEY,11,11,11,11,0,0,11
