county,old_precincts,new_precincts,matched_old_precincts,matched_new_precincts,split_old_precincts,split_new_precincts,overlap_rows
ALAMANCE,36,39,36,39,9,8,49
ALEXANDER,16,10,16,10,0,5,16
ALLEGHANY,7,4,7,4,1,2,8
ANSON,11,9,11,9,4,3,15
ASHE,17,17,17,17,17,17,66
AVERY,19,19,19,19,6,7,28
BEAUFORT,21,21,21,21,3,4,25
BERTIE,12,12,12,12,6,4,19
BLADEN,17,17,17,17,7,6,26
BRUNSWICK,23,27,23,27,16,19,49
BUNCOMBE,69,80,69,80,57,51,164
BURKE,30,31,30,31,9,8,40
CABARRUS,43,39,43,39,15,13,58
CALDWELL,23,15,23,15,12,13,37
CAMDEN,3,3,3,3,0,0,3
CARTERET,34,26,34,26,7,11,41
CASWELL,10,9,10,9,2,3,12
CATAWBA,40,40,40,40,10,10,53
CHATHAM,18,18,18,18,6,6,25
CHEROKEE,12,16,12,16,5,3,19
CHOWAN,6,6,6,6,0,0,6
CLAY,9,9,9,9,2,2,11
CLEVELAND,28,21,28,21,2,8,30
COLUMBUS,26,21,26,21,12,15,41
CRAVEN,27,21,27,21,5,10,32
CUMBERLAND,68,77,68,77,53,56,161
CURRITUCK,11,11,11,11,1,1,12
DARE,17,16,17,16,8,10,33
DAVIDSON,42,43,42,43,20,18,67
DAVIE,14,14,14,14,2,2,16
DUPLIN,19,19,19,19,1,1,20
DURHAM,55,60,55,60,48,47,138
EDGECOMBE,21,21,21,21,1,2,23
FORSYTH,101,108,101,108,42,36,154
FRANKLIN,17,18,17,18,8,8,28
GASTON,46,46,46,46,14,16,63
GATES,6,6,6,6,0,0,6
GRAHAM,3,4,3,4,1,0,4
GRANVILLE,14,15,14,15,7,4,21
GREENE,10,10,10,10,1,1,11
GUILFORD,155,165,155,165,128,123,361
HALIFAX,30,19,30,19,8,13,40
HARNETT,13,13,13,13,0,0,13
HAYWOOD,29,29,29,29,12,10,45
HENDERSON,34,34,34,34,20,22,67
HERTFORD,13,13,13,13,1,1,14
HOKE,14,15,14,15,4,5,20
HYDE,8,7,8,7,1,4,11
IREDELL,29,30,29,30,11,12,44
JACKSON,16,13,16,13,11,10,35
JOHNSTON,37,36,37,36,7,6,45
JONES,7,7,7,7,3,3,10
LEE,13,10,13,10,7,7,20
LENOIR,22,22,22,22,3,5,27
LINCOLN,28,23,28,23,7,11,36
MACON,15,15,15,15,4,4,20
MADISON,12,12,12,12,5,6,20
MARTIN,13,9,13,9,1,6,15
MCDOWELL,17,17,17,17,17,15,46
MECKLENBURG,195,195,195,195,80,82,290
MITCHELL,9,9,9,9,7,7,21
MONTGOMERY,14,14,14,14,0,0,14
MOORE,24,26,24,26,13,13,44
NASH,26,24,26,24,8,9,36
NEW HANOVER,45,41,45,41,30,27,90
NORTHAMPTON,18,13,18,13,0,4,18
ONSLOW,25,24,25,24,4,9,34
ORANGE,43,40,43,40,28,27,88
PAMLICO,8,6,8,6,0,2,8
PASQUOTANK,13,9,13,9,8,7,22
PENDER,17,18,17,18,3,2,20
PERQUIMANS,7,7,7,7,1,1,8
PERSON,14,11,14,11,9,7,26
PITT,38,40,38,40,17,14,60
POLK,7,7,7,7,5,4,12
RANDOLPH,40,22,40,22,9,15,49
RICHMOND,16,16,16,16,3,3,19
ROBESON,41,39,41,39,5,8,48
ROCKINGHAM,19,15,19,15,0,4,19
ROWAN,44,41,44,41,17,20,66
RUTHERFORD,24,17,24,17,3,11,28
SAMPSON,23,23,23,23,2,1,25
SCOTLAND,10,7,10,7,0,3,10
STANLY,24,22,24,22,7,8,35
STOKES,20,18,20,18,3,7,25
SURRY,29,23,29,23,10,16,44
SWAIN,2,5,2,5,2,3,8
TRANSYLVANIA,14,15,14,15,4,3,18
TYRRELL,6,6,6,6,1,1,7
UNION,47,54,47,54,21,19,76
VANCE,16,12,16,12,4,9,22
WAKE,186,210,186,210,118,107,403
WARREN,14,14,14,14,0,0,14
WASHINGTON,6,6,6,6,0,0,6
WATAUGA,20,20,20,20,8,10,33
WAYNE,30,28,30,28,8,6,39
WILKES,27,25,27,25,4,6,32
WILSON,25,24,25,24,5,6,32
YADKIN,12,12,12,12,0,0,12
YANCEY,11,11,11,11,8,6,23
