sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
ANSON - ANS,ANSON - ANS,1109,142,1109,1.0
ANSON - BURN,ANSON - BURN,1383,99,1383,1.0
ANSON - GULL,ANSON - GULL,1065,73,1065,1.0
ANSON - LILE,ANSON - LILE,2296,236,2296,1.0
ANSON - MM,ANSON - MM,1194,123,1194,1.0
ANSON - PEAC,ANSON - PEAC,1381,128,1394,0.990674318507891
ANSON - PEAC,UNION - 036,13,4,1394,0.009325681492109038
ANSON - PEAC,ANSON - POLK,0,1,1394,0.0
ANSON - POLK,ANSON - POLK,1130,83,1130,1.0
ANSON - W1,ANSON - WADES,2176,154,2176,1.0
ANSON - W2,ANSON - WADES,3091,93,3091,1.0
ANSON - W3,ANSON - WADES,2656,104,2656,1.0
ANSON - WS,ANSON - WS,364,74,364,1.0
ASHE - 02,ASHE - 02,1357,45,1357,1.0
ASHE - 03,ASHE - 03,482,25,482,1.0
ASHE - 04,ASHE - 04,482,39,482,1.0
ASHE - 04,WATAUGA - 01,0,1,482,0.0
ASHE - 06,ASHE - 06,538,31,538,1.0
ASHE - 07,ASHE - 07,470,31,470,1.0
ASHE - 08,ASHE - 08,226,20,226,1.0
ASHE - 09,ASHE - 09,3920,160,3920,1.0
ASHE - 10,ASHE - 10,304,12,304,1.0
ASHE - 11,ASHE - 11,2321,130,2321,1.0
ASHE - 12,ASHE - 12,736,26,736,1.0
ASHE - 13,ASHE - 13,1078,72,1078,1.0
ASHE - 14,ASHE - 14,2383,89,2383,1.0
ASHE - 15,ASHE - 15,986,68,998,0.9879759519038076
ASHE - 15,ALLEGHANY - 06A,6,8,998,0.006012024048096192
ASHE - 15,WILKES - 125,6,1,998,0.006012024048096192
ASHE - 16,ASHE - 16,1999,106,1999,1.0
ASHE - 16,WILKES - 113A,0,1,1999,0.0
ASHE - 17,ASHE - 17,899,44,899,1.0
ASHE - 18,ASHE - 18,195,19,195,1.0
ASHE - 20,ASHE - 20,3471,207,3471,1.0
AVERY - 01,AVERY - 01,912,62,912,1.0
AVERY - 02,AVERY - 02,2873,221,2873,1.0
AVERY - 02,WATAUGA - 20,0,2,2873,0.0
AVERY - 03,AVERY - 03,495,39,495,1.0
AVERY - 04,AVERY - 04,120,46,124,0.967741935483871
AVERY - 04,CALDWELL - 2,4,2,124,0.03225806451612903
AVERY - 05,AVERY - 05,410,27,410,1.0
AVERY - 06,AVERY - 06,981,67,981,1.0
AVERY - 07,AVERY - 07,223,9,223,1.0
AVERY - 08,AVERY - 08,268,23,268,1.0
AVERY - 09,AVERY - 09,355,17,355,1.0
AVERY - 10,AVERY - 10,2675,34,2675,1.0
AVERY - 11,AVERY - 11,565,73,565,1.0
AVERY - 12,AVERY - 12,309,12,309,1.0
AVERY - 13,AVERY - 13,527,21,527,1.0
AVERY - 14,AVERY - 14,926,52,926,1.0
AVERY - 15,AVERY - 15,837,58,837,1.0
AVERY - 16,AVERY - 16,1371,110,1371,1.0
AVERY - 17,AVERY - 17,527,26,527,1.0
AVERY - 18,AVERY - 18,360,22,360,1.0
AVERY - 19,AVERY - 19,364,20,364,1.0
BEAUFORT - AUROR,BEAUFORT - AUROR,1079,205,1079,1.0
BEAUFORT - BEADM,BEAUFORT - BEADM,1885,57,1885,1.0
BEAUFORT - BELHV,BEAUFORT - BELHV,1639,133,1639,1.0
BEAUFORT - BELHV,HYDE - BM,0,1,1639,0.0
BEAUFORT - BLCK,BEAUFORT - BLCK,861,83,861,1.0
BEAUFORT - BLCK,CRAVEN - TE13,0,1,861,0.0
BEAUFORT - CHOCO,BEAUFORT - CHOCO,4281,205,4289,0.9981347633480998
BEAUFORT - CHOCO,PITT - 1101,8,1,4289,0.0018652366519002097
BEAUFORT - EDWAR,BEAUFORT - EDWAR,1043,137,1049,0.994280266920877
BEAUFORT - EDWAR,CRAVEN - TE13,6,1,1049,0.005719733079122974
BEAUFORT - GILEA,BEAUFORT - GILEA,2035,45,2035,1.0
BEAUFORT - HB,BEAUFORT - HB,854,58,854,1.0
BEAUFORT - HB,BEAUFORT - NCRK,0,1,854,0.0
BEAUFORT - NCRK,BEAUFORT - NCRK,1364,96,1364,1.0
BEAUFORT - OLDF,BEAUFORT - OLDF,1583,62,1583,1.0
BEAUFORT - PANTE,BEAUFORT - PANTE,1246,88,1246,1.0
BEAUFORT - PINET,BEAUFORT - PINET,927,109,927,1.0
BEAUFORT - PSJW3,BEAUFORT - PSJW3,1568,73,1568,1.0
BEAUFORT - RVRD,BEAUFORT - RVRD,2430,43,2430,1.0
BEAUFORT - SURBA,BEAUFORT - SURBA,1862,110,1862,1.0
BEAUFORT - TCRK,BEAUFORT - TCRK,2586,129,2586,1.0
BEAUFORT - WASH1,BEAUFORT - WASH1,1672,98,1672,1.0
BEAUFORT - WASH2,BEAUFORT - WASH2,1672,142,1672,1.0
BEAUFORT - WASH4,BEAUFORT - WASH4,2544,88,2544,1.0
BEAUFORT - WASHP,BEAUFORT - WASHP,1220,54,1220,1.0
BEAUFORT - WDPD,BEAUFORT - WDPD,1654,39,1654,1.0
BERTIE - C1,BERTIE - C1,952,45,952,1.0
