county,old_precincts,new_precincts,matched_old_precincts,matched_new_precincts,split_old_precincts,split_new_precincts,overlap_rows
ALAMANCE,39,39,39,39,0,0,39
ALEXANDER,10,10,10,10,0,0,10
ALLEGHANY,4,4,4,4,0,0,4
ANSON,9,9,9,9,0,0,9
ASHE,17,17,17,17,0,0,17
AVERY,19,19,19,19,0,0,19
BEAUFORT,21,21,21,21,0,0,21
BERTIE,12,12,12,12,0,0,12
BLADEN,17,17,17,17,0,0,17
BRUNSWICK,27,27,27,27,0,0,27
BUNCOMBE,80,80,80,80,0,0,80
BURKE,31,31,31,31,0,0,31
CABARRUS,39,39,39,39,0,0,39
CALDWELL,15,15,15,15,0,0,15
CAMDEN,3,3,3,3,0,0,3
CARTERET,26,26,26,26,0,0,26
CASWELL,9,9,9,9,0,0,9
CATAWBA,40,40,40,40,0,0,40
CHATHAM,18,18,18,18,0,0,18
CHEROKEE,16,16,16,16,0,0,16
CHOWAN,6,6,6,6,0,0,6
CLAY,9,9,9,9,0,0,9
CLEVELAND,21,21,21,21,0,0,21
COLUMBUS,21,16,21,16,0,5,21
CRAVEN,21,21,21,21,0,0,21
CUMBERLAND,77,77,77,77,0,0,77
CURRITUCK,11,11,11,11,0,0,11
DARE,16,16,16,16,0,0,16
DAVIDSON,43,43,43,43,0,0,43
DAVIE,14,14,14,14,0,0,14
DUPLIN,19,17,19,17,0,1,19
DURHAM,60,58,60,58,0,2,60
EDGECOMBE,21,21,21,21,0,0,21
FORSYTH,108,108,108,108,0,0,108
FRANKLIN,18,18,18,18,0,0,18
GASTON,46,40,46,40,0,6,46
GATES,6,6,6,6,0,0,6
GRAHAM,4,4,4,4,0,0,4
GRANVILLE,15,15,15,15,0,0,15
GREENE,10,10,10,10,0,0,10
GUILFORD,165,165,165,165,0,0,165
HALIFAX,19,19,19,19,0,0,19
HARNETT,13,15,13,15,3,1,17
HAYWOOD,29,29,29,29,1,1,30
HENDERSON,34,34,34,34,0,0,34
HERTFORD,13,13,13,13,0,0,13
HOKE,15,15,15,15,0,0,15
HYDE,7,7,7,7,0,0,7
IREDELL,30,30,30,30,0,0,30
JACKSON,13,13,13,13,0,0,13
JOHNSTON,36,36,36,36,0,0,36
JONES,7,7,7,7,0,0,7
LEE,10,10,10,10,0,0,10
LENOIR,22,22,22,22,0,0,22
LINCOLN,23,23,23,23,0,0,23
MACON,15,15,15,15,0,0,15
MADISON,12,12,12,12,0,0,12
MARTIN,9,9,9,9,0,0,9
MCDOWELL,17,17,17,17,0,0,17
MECKLENBURG,195,195,195,195,0,0,195
MITCHELL,9,8,9,8,0,1,9
MONTGOMERY,14,14,14,14,0,0,14
MOORE,26,26,26,26,0,0,26
NASH,24,24,24,24,0,0,24
NEW HANOVER,41,41,41,41,0,0,41
NORTHAMPTON,13,13,13,13,0,0,13
ONSLOW,24,24,24,24,0,0,24
ORANGE,40,40,40,40,0,0,40
PAMLICO,6,6,6,6,0,0,6
PASQUOTANK,9,9,9,9,0,0,9
PENDER,18,12,18,12,0,4,18
PERQUIMANS,7,7,7,7,0,0,7
PERSON,11,11,11,11,0,0,11
PITT,40,40,40,40,0,0,40
POLK,7,7,7,7,0,0,7
RANDOLPH,22,22,22,22,0,0,22
RICHMOND,16,11,16,11,0,5,16
ROBESON,39,39,39,39,0,0,39
ROCKINGHAM,15,14,15,14,4,7,22
ROWAN,41,41,41,41,0,0,41
RUTHERFORD,17,17,17,17,0,0,17
SAMPSON,23,23,23,23,0,0,23
SCOTLAND,7,7,7,7,0,0,7
STANLY,22,21,22,21,1,2,23
STOKES,18,18,18,18,0,0,18
SURRY,23,23,23,23,0,0,23
SWAIN,5,5,5,5,0,0,5
TRANSYLVANIA,15,15,15,15,0,0,15
TYRRELL,6,6,6,6,0,0,6
UNION,54,54,54,54,0,0,54
VANCE,12,9,12,9,0,2,12
WAKE,210,216,210,216,7,1,217
WARREN,14,14,14,14,0,0,14
WASHINGTON,6,6,6,6,0,0,6
WATAUGA,20,20,20,20,0,0,20
WAYNE,28,28,28,28,0,0,28
WILKES,25,25,25,25,0,0,25
WILSON,24,24,24,24,0,0,24
YADKIN,12,12,12,12,0,0,12
YANCEY,11,11,11,11,0,0,11
