precinct_key,district,district_geoid,district_name,intersect_area_m2,precinct_area_m2,area_weight,district_num,district_code,district_label,district_type,target_year,plan_id,plan_label
ALAMANCE - 01,064,37064,State House District 64,131421204.77327397,131421204.88176593,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 02,064,37064,State House District 64,79167632.85300529,79167633.82156546,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 035,064,37064,State House District 64,27465400.528134946,27465402.38950958,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 03C,064,37064,State House District 64,5311652.160067031,5311653.5241863895,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 03N,064,37064,State House District 64,5040541.915274102,5040541.915274098,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 03N2,064,37064,State House District 64,772500.7331825837,772500.7331825837,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 03SE,064,37064,State House District 64,12305424.379606042,12305424.379606038,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 03SM,064,37064,State House District 64,10592514.176062483,10592514.176062485,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 03W,064,37064,State House District 64,6116395.257600971,6116395.257600975,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 04,064,37064,State House District 64,95964237.32892135,95964247.94486216,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 05,063,37063,State House District 63,92295506.14277843,92295506.36218844,1.0,63,063,HD-063,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 063,063,37063,State House District 63,6210767.431348387,6210767.431348395,1.0,63,063,HD-063,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 064,063,37063,State House District 63,17014664.78592717,17014666.02149223,1.0,63,063,HD-063,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 06E,063,37063,State House District 63,6911055.3136131745,6911055.313613185,1.0,63,063,HD-063,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 06N,063,37063,State House District 63,4256899.906928012,4256900.054151075,1.0,63,063,HD-063,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 06S,063,37063,State House District 63,13344621.853937732,13344622.170631027,1.0,63,063,HD-063,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 06W,063,37063,State House District 63,1978938.1392209278,1978938.2752332296,1.0,63,063,HD-063,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 07,064,37064,State House District 64,55613219.82624039,55613223.534681335,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 08N,064,37064,State House District 64,88160829.07277255,88160831.35696253,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 08S,064,37064,State House District 64,84542107.92833689,84542111.56860082,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 09N,063,37063,State House District 63,14857020.515254287,14857026.355679732,1.0,63,063,HD-063,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 09S,064,37064,State House District 64,76415274.7410303,76415288.03768708,1.0,64,064,HD-064,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 103,063,37063,State House District 63,30991187.290198155,30991189.659941405,1.0,63,063,HD-063,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
ALAMANCE - 104,063,37063,State House District 63,3811114.9846698963,3811122.1513567343,1.0,63,063,HD-063,state_house,2022,nc_court_ordered_2022,NC Court-Ordered 2022 Lines (used for 2022 cycle)
