sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
AVERY - 12,AVERY - 12,309,12,309,1.0
AVERY - 13,AVERY - 13,527,21,527,1.0
AVERY - 14,AVERY - 14,926,52,926,1.0
AVERY - 15,AVERY - 15,837,58,837,1.0
AVERY - 16,AVERY - 16,1371,111,1371,1.0
AVERY - 17,AVERY - 17,527,26,527,1.0
AVERY - 18,AVERY - 18,360,22,360,1.0
AVERY - 19,AVERY - 19,364,20,364,1.0
BEAUFORT - AUROR,BEAUFORT - AUROR,1079,205,1079,1.0
BEAUFORT - BEADM,BEAUFORT - BEADM,1885,57,1885,1.0
BEAUFORT - BELHV,BEAUFORT - BELHV,1639,139,1639,1.0
BEAUFORT - BLCK,BEAUFORT - BLCK,861,83,861,1.0
BEAUFORT - CHOCO,BEAUFORT - CHOCO,4281,205,4281,1.0
BEAUFORT - EDWAR,BEAUFORT - EDWAR,1043,137,1043,1.0
BEAUFORT - GILEA,BEAUFORT - GILEA,2035,45,2035,1.0
BEAUFORT - HB,BEAUFORT - HB,854,58,854,1.0
BEAUFORT - NCRK,BEAUFORT - NCRK,1364,97,1364,1.0
BEAUFORT - OLDF,BEAUFORT - OLDF,1583,63,1583,1.0
BEAUFORT - PANTE,BEAUFORT - PANTE,1246,88,1246,1.0
BEAUFORT - PANTE,BEAUFORT - BELHV,0,1,1246,0.0
BEAUFORT - PINET,BEAUFORT - PINET,927,118,927,1.0
BEAUFORT - PSJW3,BEAUFORT - PSJW3,1568,73,1568,1.0
BEAUFORT - RVRD,BEAUFORT - RVRD,2430,43,2430,1.0
BEAUFORT - SURBA,BEAUFORT - SURBA,1862,110,1862,1.0
BEAUFORT - TCRK,BEAUFORT - TCRK,2586,130,2586,1.0
BEAUFORT - WASH1,BEAUFORT - WASH1,1672,98,1672,1.0
BEAUFORT - WASH2,BEAUFORT - WASH2,1672,142,1672,1.0
BEAUFORT - WASH4,BEAUFORT - WASH4,2544,88,2544,1.0
BEAUFORT - WASHP,BEAUFORT - WASHP,1220,54,1220,1.0
BEAUFORT - WDPD,BEAUFORT - WDPD,1654,39,1654,1.0
BERTIE - C1,BERTIE - C1,952,45,952,1.0
BERTIE - C2,BERTIE - C2,1424,48,1424,1.0
BERTIE - IW,BERTIE - IW,340,25,340,1.0
BERTIE - IW,BERTIE - W1,0,1,340,0.0
BERTIE - M1,BERTIE - M1,748,39,748,1.0
BERTIE - M2,BERTIE - M2,860,71,860,1.0
BERTIE - MH,BERTIE - MH,751,71,751,1.0
BERTIE - RX,BERTIE - RX,1081,91,1081,1.0
BERTIE - SN,BERTIE - SN,852,40,852,1.0
BERTIE - W1,BERTIE - W1,5279,217,5279,1.0
BERTIE - W2,BERTIE - W2,707,27,707,1.0
BERTIE - WD,BERTIE - WD,807,72,807,1.0
BERTIE - WH,BERTIE - WH,1095,55,1095,1.0
BLADEN - P10,BLADEN - P10,742,75,742,1.0
BLADEN - P15,BLADEN - P15,2894,136,2894,1.0
BLADEN - P201,BLADEN - P201,1408,116,1408,1.0
BLADEN - P202,BLADEN - P202,2631,101,2631,1.0
BLADEN - P25,BLADEN - P25,1099,121,1099,1.0
BLADEN - P30,BLADEN - P30,1300,120,1300,1.0
BLADEN - P35,BLADEN - P35,763,46,763,1.0
BLADEN - P40,BLADEN - P40,1604,146,1604,1.0
BLADEN - P40,BLADEN - P65,0,1,1604,0.0
BLADEN - P45,BLADEN - P45,594,57,594,1.0
BLADEN - P501,BLADEN - P501,2706,163,2706,1.0
BLADEN - P502,BLADEN - P502,1940,113,1940,1.0
BLADEN - P55,BLADEN - P55,650,89,650,1.0
BLADEN - P60,BLADEN - P60,1598,113,1598,1.0
BLADEN - P65,BLADEN - P65,630,68,630,1.0
BLADEN - P70,BLADEN - P70,454,55,454,1.0
BLADEN - P75,BLADEN - P75,1208,110,1208,1.0
BLADEN - P80,BLADEN - P80,1205,90,1205,1.0
