county,old_precincts,new_precincts,matched_old_precincts,matched_new_precincts,split_old_precincts,split_new_precincts,overlap_rows
ALAMANCE,36,39,36,39,9,10,51
ALEXANDER,16,10,16,10,0,5,16
ALLEGHANY,7,4,7,4,1,2,8
ANSON,11,9,11,9,6,5,20
ASHE,17,17,17,17,17,17,65
AVERY,19,19,19,19,5,6,25
BEAUFORT,21,21,21,21,2,2,23
BERTIE,12,12,12,12,5,4,18
BLADEN,17,17,17,17,8,5,25
BRUNSWICK,23,27,23,27,14,14,44
BUNCOMBE,60,80,60,80,40,29,119
BURKE,31,31,31,31,6,6,37
CABARRUS,40,39,40,39,9,9,49
CALDWELL,25,15,25,15,11,12,38
CAMDEN,3,3,3,3,0,0,3
CARTERET,36,26,36,26,8,12,44
CASWELL,11,9,11,9,2,4,13
CATAWBA,40,40,40,40,5,4,46
CHATHAM,21,18,21,18,6,8,29
CHEROKEE,14,16,14,16,8,8,24
CHOWAN,6,6,6,6,0,0,6
CLAY,9,9,9,9,0,0,9
CLEVELAND,28,21,28,21,2,8,30
COLUMBUS,26,21,26,21,11,15,40
CRAVEN,25,21,25,21,4,7,29
CUMBERLAND,65,77,65,77,35,40,127
CURRITUCK,11,11,11,11,1,1,12
DARE,18,16,18,16,7,11,33
DAVIDSON,42,43,42,43,9,7,52
DAVIE,14,14,14,14,2,2,16
DUPLIN,19,19,19,19,0,0,19
DURHAM,54,60,54,60,10,5,65
EDGECOMBE,21,21,21,21,0,0,21
FORSYTH,101,108,101,108,11,6,114
FRANKLIN,15,18,15,18,8,7,25
GASTON,46,46,46,46,12,13,60
GATES,5,6,5,6,1,0,6
GRAHAM,3,4,3,4,1,0,4
GRANVILLE,14,15,14,15,6,4,20
GREENE,10,10,10,10,1,1,11
GUILFORD,151,165,151,165,63,62,241
HALIFAX,30,19,30,19,4,12,34
HARNETT,22,13,22,13,0,7,22
HAYWOOD,29,29,29,29,9,9,40
HENDERSON,34,34,34,34,11,14,50
HERTFORD,14,13,14,13,2,3,16
HOKE,14,15,14,15,2,2,17
HYDE,8,7,8,7,1,4,11
IREDELL,25,30,25,30,17,14,59
JACKSON,16,13,16,13,11,10,35
JOHNSTON,31,36,31,36,11,6,45
JONES,7,7,7,7,4,4,11
LEE,12,10,12,10,6,7,18
LENOIR,22,22,22,22,1,2,24
LINCOLN,21,23,21,23,9,8,33
MACON,15,15,15,15,7,8,24
MADISON,12,12,12,12,5,6,20
MARTIN,13,9,13,9,1,6,15
MCDOWELL,17,17,17,17,15,14,43
MECKLENBURG,188,195,188,195,41,29,231
MITCHELL,9,9,9,9,7,7,21
MONTGOMERY,14,14,14,14,0,0,14
MOORE,23,26,23,26,10,11,40
NASH,26,24,26,24,7,10,35
NEW HANOVER,46,41,46,41,15,19,65
NORTHAMPTON,18,13,18,13,0,4,18
ONSLOW,24,24,24,24,3,9,34
ORANGE,43,40,43,40,21,23,78
PAMLICO,8,6,8,6,0,2,8
PASQUOTANK,13,9,13,9,8,7,28
PENDER,17,18,17,18,3,2,20
PERQUIMANS,7,7,7,7,1,1,8
PERSON,14,11,14,11,9,7,26
PITT,38,40,38,40,6,4,44
POLK,9,7,9,7,5,4,14
RANDOLPH,40,22,40,22,3,14,43
RICHMOND,16,16,16,16,1,1,17
ROBESON,41,39,41,39,3,6,45
ROCKINGHAM,31,15,31,15,0,9,31
ROWAN,42,41,42,41,16,20,65
RUTHERFORD,24,17,24,17,4,12,29
SAMPSON,23,23,23,23,1,2,25
SCOTLAND,10,7,10,7,0,3,10
STANLY,24,22,24,22,6,9,33
STOKES,20,18,20,18,4,5,24
SURRY,29,23,29,23,10,15,43
SWAIN,2,5,2,5,2,3,8
TRANSYLVANIA,14,15,14,15,4,3,18
TYRRELL,6,6,6,6,0,0,6
UNION,43,54,43,54,16,12,67
VANCE,16,12,16,12,5,8,22
WAKE,139,210,139,210,49,7,217
WARREN,14,14,14,14,0,0,14
WASHINGTON,6,6,6,6,0,0,6
WATAUGA,20,20,20,20,10,12,37
WAYNE,30,28,30,28,1,3,31
WILKES,28,25,28,25,3,5,31
WILSON,25,24,25,24,1,2,26
YADKIN,12,12,12,12,0,0,12
YANCEY,11,11,11,11,8,5,22
