sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
ALAMANCE - 01,ALAMANCE - 01,4066,98,4068,0.9995083579154376
ALAMANCE - 01,ALAMANCE - 02,2,2,4068,0.0004916420845624386
ALAMANCE - 01,RANDOLPH - LB,0,4,4068,0.0
ALAMANCE - 02,ALAMANCE - 02,3764,134,3828,0.9832810867293625
ALAMANCE - 02,ALAMANCE - 07,64,7,3828,0.01671891327063741
ALAMANCE - 035,ALAMANCE - 035,7036,132,7036,1.0
ALAMANCE - 03C,ALAMANCE - 03C,2159,72,2159,1.0
ALAMANCE - 03N,ALAMANCE - 03N,5006,94,5889,0.8500594328408898
ALAMANCE - 03N,ALAMANCE - 03N2,791,12,5889,0.13431822041093563
ALAMANCE - 03N,ALAMANCE - 03C,87,2,5889,0.014773306164034642
ALAMANCE - 03N,ALAMANCE - 03W,5,1,5889,0.0008490405841399219
ALAMANCE - 03S,ALAMANCE - 03SE,4636,121,8160,0.5681372549019608
ALAMANCE - 03S,ALAMANCE - 03SM,3524,70,8160,0.43186274509803924
ALAMANCE - 03S,ALAMANCE - 129,0,3,8160,0.0
ALAMANCE - 03W,ALAMANCE - 03W,3106,79,3112,0.9980719794344473
ALAMANCE - 03W,ALAMANCE - 035,6,2,3112,0.0019280205655526992
ALAMANCE - 03W,GUILFORD - GIB,0,1,3112,0.0
ALAMANCE - 04,ALAMANCE - 04,4302,126,4302,1.0
ALAMANCE - 04,ALAMANCE - 05,0,1,4302,0.0
ALAMANCE - 04,CASWELL - STON,0,8,4302,0.0
ALAMANCE - 04,GUILFORD - SWASH,0,1,4302,0.0
ALAMANCE - 05,ALAMANCE - 05,2756,101,2761,0.9981890619340819
ALAMANCE - 05,ALAMANCE - 04,5,2,2761,0.0018109380659181455
ALAMANCE - 05,ALAMANCE - 11,0,1,2761,0.0
ALAMANCE - 05,CASWELL - ANDE,0,1,2761,0.0
ALAMANCE - 05,CASWELL - STON,0,1,2761,0.0
ALAMANCE - 063,ALAMANCE - 063,3561,78,3561,1.0
ALAMANCE - 064,ALAMANCE - 064,4952,103,4952,1.0
ALAMANCE - 06E,ALAMANCE - 06E,3169,86,3169,1.0
ALAMANCE - 06N,ALAMANCE - 06N,3587,118,3598,0.9969427459699833
ALAMANCE - 06N,ALAMANCE - 13,11,1,3598,0.003057254030016676
ALAMANCE - 06N,ALAMANCE - 063,0,1,3598,0.0
ALAMANCE - 06S,ALAMANCE - 06S,3986,107,3986,1.0
ALAMANCE - 06W,ALAMANCE - 06W,1573,36,1573,1.0
ALAMANCE - 07,ALAMANCE - 07,3411,60,3411,1.0
ALAMANCE - 08N,ALAMANCE - 08N,3284,58,3284,1.0
ALAMANCE - 08N,ALAMANCE - 07,0,1,3284,0.0
ALAMANCE - 08S,ALAMANCE - 08S,1647,64,1647,1.0
ALAMANCE - 09N,ALAMANCE - 09N,2596,73,2596,1.0
ALAMANCE - 09S,ALAMANCE - 09S,5196,100,5204,0.9984627209838586
ALAMANCE - 09S,ORANGE - OG,5,3,5204,0.0009607993850883935
ALAMANCE - 09S,ORANGE - WC,3,4,5204,0.0005764796310530361
ALAMANCE - 103,ALAMANCE - 103,3551,91,3551,1.0
ALAMANCE - 103,ALAMANCE - 06S,0,1,3551,0.0
ALAMANCE - 10N,ALAMANCE - 10N,3699,123,3699,1.0
ALAMANCE - 10N,ALAMANCE - 13,0,3,3699,0.0
ALAMANCE - 10S,ALAMANCE - 10S1,6835,121,9294,0.7354207015278674
ALAMANCE - 10S,ALAMANCE - 104,2459,76,9294,0.2645792984721326
ALAMANCE - 10S,ORANGE - CX,0,5,9294,0.0
ALAMANCE - 11,ALAMANCE - 11,3474,66,3517,0.9877736707421098
ALAMANCE - 11,ORANGE - CA,27,3,3517,0.007676997441000853
ALAMANCE - 11,CASWELL - ANDE,16,9,3517,0.004549331816889394
ALAMANCE - 11,CASWELL - PH,0,1,3517,0.0
ALAMANCE - 1210,ALAMANCE - 1210,2413,38,2413,1.0
ALAMANCE - 124,ALAMANCE - 124,1991,61,1991,1.0
ALAMANCE - 124,ALAMANCE - 03C,0,2,1991,0.0
ALAMANCE - 125,ALAMANCE - 125,2415,61,2415,1.0
ALAMANCE - 126,ALAMANCE - 126,1682,38,1682,1.0
ALAMANCE - 127,ALAMANCE - 127,5610,144,5610,1.0
ALAMANCE - 127,ALAMANCE - 035,0,4,5610,0.0
ALAMANCE - 128,ALAMANCE - 128,2815,84,2815,1.0
ALAMANCE - 129,ALAMANCE - 129,1932,72,1932,1.0
ALAMANCE - 129,ALAMANCE - 03SE,0,1,1932,0.0
ALAMANCE - 12E,ALAMANCE - 12E,2632,98,2632,1.0
ALAMANCE - 12N,ALAMANCE - 12N,4789,127,4789,1.0
ALAMANCE - 12S,ALAMANCE - 12S,1956,68,1956,1.0
ALAMANCE - 12W,ALAMANCE - 12W,2289,98,2289,1.0
