district,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct,other_vap_pct
001,84319,75.0,18.2,3.3,2.0,1.2,0.2,3.2,0.2
002,90751,56.8,30.7,8.9,2.3,1.9,0.1,2.8,0.4
003,82751,69.3,20.6,4.9,2.0,3.4,0.2,3.2,0.3
004,83845,54.0,25.7,18.3,2.1,0.7,0.1,2.1,0.2
005,82953,53.4,38.6,4.8,2.3,1.3,0.2,3.0,0.4
006,84016,58.9,24.6,11.5,3.3,2.5,0.5,4.3,0.5
007,84720,65.9,23.1,7.9,2.4,1.1,0.1,3.0,0.3
008,85094,51.1,38.1,7.5,1.7,2.1,0.2,3.0,0.4
009,85149,57.5,33.2,5.4,1.7,2.7,0.2,2.9,0.4
010,82203,55.2,34.2,6.8,1.9,2.5,0.2,3.3,0.3
011,85987,65.5,13.6,7.9,1.7,11.1,0.1,3.8,0.6
012,84745,52.4,38.5,7.2,1.7,0.7,0.1,2.1,0.2
013,85655,81.5,8.8,5.1,2.4,2.0,0.3,3.5,0.3
014,90506,63.0,14.4,16.0,2.9,3.9,0.9,4.4,0.5
015,89176,63.8,19.1,10.5,3.4,4.0,0.7,5.6,0.5
016,85097,77.8,11.7,6.3,2.7,1.4,0.2,3.7,0.3
017,89763,80.5,10.7,5.1,2.3,1.0,0.1,2.8,0.2
018,90862,69.5,20.3,6.2,2.2,1.9,0.2,3.4,0.4
019,91041,86.4,5.5,4.1,2.3,1.2,0.1,3.2,0.2
020,90729,80.8,8.1,6.4,1.7,2.7,0.2,3.1,0.4
021,88322,41.9,9.6,5.2,1.1,42.2,0.2,2.5,0.5
022,88642,54.7,28.5,13.3,3.9,0.6,0.1,2.3,0.2
023,88865,41.7,53.4,3.6,1.4,0.5,0.1,2.0,0.3
024,83322,50.0,38.5,9.0,2.1,1.4,0.1,2.4,0.3
025,90432,50.9,40.0,6.4,2.1,1.2,0.1,2.3,0.3
026,90540,66.8,18.1,11.4,2.4,1.7,0.2,3.3,0.4
027,84735,41.4,51.9,2.4,4.4,0.7,0.2,2.2,0.3
028,85389,64.3,17.0,16.2,2.4,0.8,0.1,2.6,0.2
029,90900,50.4,31.0,9.8,1.7,7.8,0.1,3.3,0.4
030,91038,47.5,30.8,13.0,2.0,7.8,0.1,3.3,0.4
031,91241,32.1,45.6,15.7,2.3,5.9,0.1,2.8,0.5
032,87423,47.0,43.4,7.9,1.7,0.8,0.1,2.1,0.2
033,86861,48.9,34.0,13.6,2.2,2.3,0.1,2.8,0.5
034,83302,76.4,11.7,6.9,1.3,3.8,0.1,2.8,0.3
035,86780,67.6,18.7,7.5,1.7,4.7,0.2,3.3,0.4
036,89336,70.1,8.6,7.0,1.7,12.4,0.1,3.3,0.6
037,88334,73.4,12.4,9.0,2.1,3.2,0.2,3.2,0.4
038,90561,36.7,43.9,15.2,2.0,3.6,0.1,2.9,0.4
039,87005,47.3,33.7,14.7,2.6,3.1,0.2,3.1,0.5
040,90040,76.0,11.0,5.5,1.6,5.8,0.1,3.3,0.4
041,84637,66.9,8.3,9.3,1.6,13.8,0.1,3.3,0.4
042,84462,36.6,42.0,15.5,3.0,5.0,1.1,4.7,0.5
043,83198,50.7,36.9,6.6,4.4,2.3,0.4,4.4,0.5
044,83751,40.4,43.8,9.3,3.6,4.6,0.7,4.7,0.6
045,83317,42.8,39.2,10.6,5.0,4.2,0.6,5.2,0.6
046,84381,54.6,26.4,7.5,12.0,0.5,0.1,2.6,0.2
047,82772,21.4,25.6,6.3,47.0,1.4,0.2,3.0,0.4
048,86256,42.0,37.1,8.6,11.6,2.0,0.4,4.2,0.4
049,84041,66.9,16.0,7.4,1.5,8.3,0.1,3.3,0.6
050,85345,69.1,18.5,8.2,2.4,2.1,0.1,3.1,0.3
051,83073,65.3,16.7,14.4,2.7,1.5,0.2,2.9,0.3
052,84383,66.2,23.1,5.4,3.8,1.7,0.2,3.5,0.3
053,89622,69.2,16.0,11.3,2.9,1.2,0.2,3.0,0.4
054,83475,73.3,11.6,10.6,2.1,2.4,0.1,2.9,0.3
055,84549,58.6,26.1,12.5,2.1,1.1,0.1,2.4,0.4
056,86087,64.8,10.9,8.1,1.5,14.5,0.1,3.9,0.5
057,91156,61.5,25.1,5.7,1.9,6.3,0.1,3.0,0.4
058,89713,32.6,48.4,11.7,2.3,6.6,0.2,3.2,0.4
059,87559,57.9,32.5,6.0,2.5,1.9,0.1,3.2,0.3
060,90942,46.6,34.7,9.9,2.1,7.4,0.1,2.6,0.7
061,90814,37.6,49.3,8.8,2.0,3.9,0.1,3.1,0.4
062,91154,68.4,16.5,6.1,1.8,7.2,0.2,2.9,0.5
063,83540,53.3,28.2,15.0,3.0,1.8,0.1,3.0,0.3
064,87875,73.1,14.1,8.6,2.2,2.3,0.1,2.8,0.4
065,91096,72.8,19.5,5.2,2.0,0.8,0.1,2.6,0.2
066,84203,41.7,33.5,17.8,2.4,6.4,0.2,3.1,0.5
067,88255,76.6,13.4,6.2,2.1,1.8,0.1,2.5,0.2
068,86978,74.1,9.3,7.1,1.6,7.5,0.1,3.0,0.4
069,88795,73.4,10.6,10.3,2.1,3.5,0.1,3.1,0.4
070,89096,76.3,7.4,11.7,2.7,2.2,0.1,2.7,0.2
071,83748,45.8,34.8,16.0,2.3,2.7,0.1,3.1,0.4
072,83262,43.6,40.5,12.4,1.9,2.6,0.2,2.9,0.4
073,90390,55.9,23.9,11.4,2.2,7.5,0.1,3.3,0.5
074,89692,73.1,13.0,7.1,2.0,5.1,0.1,2.9,0.3
075,84643,64.4,20.5,11.6,2.6,1.8,0.1,2.9,0.3
076,89815,67.0,21.0,8.4,2.4,1.5,0.1,2.9,0.3
077,90628,83.7,5.8,7.5,2.3,0.8,0.1,2.7,0.2
078,86365,83.2,5.8,7.6,2.2,1.2,0.1,2.6,0.2
079,83174,74.7,17.3,5.5,1.8,0.7,0.1,2.3,0.3
080,84864,79.5,9.8,6.9,2.4,1.4,0.1,2.7,0.3
081,84066,79.4,10.0,6.1,2.5,1.9,0.1,3.0,0.2
082,90805,61.8,20.9,10.7,2.2,5.0,0.1,3.1,0.3
083,90967,79.5,8.8,7.9,2.6,1.3,0.1,3.1,0.3
084,85739,71.2,16.7,8.6,2.1,1.7,0.1,2.8,0.3
085,89525,88.7,3.4,4.6,2.3,0.7,0.1,2.7,0.2
086,87570,81.2,6.4,6.4,3.2,3.5,0.1,2.9,0.2
087,85009,86.8,5.3,4.7,2.3,0.9,0.1,2.9,0.2
088,86239,54.9,24.7,15.1,2.1,4.5,0.1,2.8,0.4
089,85577,81.6,7.0,6.0,2.2,3.1,0.1,2.9,0.2
090,82937,85.1,3.8,8.5,2.1,0.7,0.0,2.4,0.1
091,85749,79.8,11.2,5.9,2.4,0.8,0.1,2.9,0.2
092,89640,36.5,34.4,18.9,2.1,9.7,0.2,3.0,0.6
093,87194,86.1,3.5,6.3,1.8,1.7,0.3,2.9,0.5
094,90835,86.4,5.5,5.1,2.0,0.9,0.1,2.4,0.2
095,86400,79.3,8.1,6.2,1.9,4.1,0.1,3.3,0.3
096,89587,72.2,10.5,10.6,2.6,4.6,0.2,3.2,0.2
097,86810,84.4,5.8,6.2,2.2,1.1,0.1,2.9,0.2
098,83568,79.1,8.5,6.7,1.5,4.1,0.1,2.9,0.4
099,82746,24.8,48.7,19.6,2.0,6.7,0.2,2.6,0.6
100,82932,33.0,36.0,22.4,2.3,7.4,0.1,2.9,1.1
101,84391,27.1,53.4,13.7,2.3,5.2,0.1,3.1,0.4
102,87483,49.9,33.0,11.2,1.8,5.1,0.2,3.2,0.4
103,88259,72.0,10.0,6.9,1.4,9.3,0.1,3.1,0.6
104,84647,76.1,9.8,7.9,1.3,5.0,0.1,2.6,0.4
105,89460,59.9,14.1,11.5,1.7,13.0,0.2,3.3,0.5
106,85859,42.2,37.9,8.4,1.7,10.8,0.2,3.2,0.5
107,86497,22.7,59.2,12.9,1.7,5.0,0.1,2.9,0.6
108,84457,73.9,14.7,6.7,2.6,2.1,0.1,3.4,0.3
109,87462,68.5,19.1,8.0,2.2,2.4,0.1,3.0,0.3
110,89588,71.6,19.8,5.6,2.3,0.8,0.1,3.0,0.2
111,90809,76.6,16.7,3.5,2.1,1.1,0.1,2.8,0.2
112,83761,43.3,33.1,17.8,2.5,4.7,0.1,3.1,0.6
113,91102,80.7,7.3,8.4,2.4,1.0,0.4,3.0,0.2
114,89628,82.3,8.6,4.6,2.4,1.4,0.2,3.6,0.5
115,88843,80.8,6.0,8.1,2.4,2.3,0.2,3.6,0.4
116,90981,84.0,4.0,7.3,2.5,1.6,0.3,3.6,0.5
117,90329,84.1,3.6,8.3,2.1,1.6,0.4,2.8,0.3
118,83282,91.2,1.5,3.5,2.6,0.8,0.1,3.0,0.3
119,90212,80.7,2.9,5.1,10.3,1.2,0.2,3.5,0.3
120,84907,89.0,1.3,4.6,4.0,0.8,0.1,3.5,0.2
