"precinct_id","vap_18plus","white_vap","black_vap","native_vap","asian_vap","white_vap_pct","black_vap_pct","native_vap_pct","asian_vap_pct","hispanic_vap","hispanic_vap_pct"
"ALAMANCE - 01","4066","3568","226","16","7","87.75","5.56","0.39","0.17","",""
"ALAMANCE - 02","3766","3430","116","19","11","91.08","3.08","0.5","0.29","",""
"ALAMANCE - 035","7042","5587","733","23","138","79.34","10.41","0.33","1.96","",""
"ALAMANCE - 03C","2246","1891","162","4","63","84.19","7.21","0.18","2.8","",""
"ALAMANCE - 03N","5006","4209","370","8","125","84.08","7.39","0.16","2.5","",""
"ALAMANCE - 03N2","791","769","6","0","3","97.22","0.76","0.0","0.38","",""
"ALAMANCE - 03SE","4636","3000","946","29","246","64.71","20.41","0.63","5.31","",""
"ALAMANCE - 03SM","3524","2362","556","4","254","67.03","15.78","0.11","7.21","",""
"ALAMANCE - 03W","3111","2505","322","14","60","80.52","10.35","0.45","1.93","",""
"ALAMANCE - 04","4307","3668","379","22","8","85.16","8.8","0.51","0.19","",""
"ALAMANCE - 05","2756","2459","133","12","6","89.22","4.83","0.44","0.22","",""
"ALAMANCE - 063","3574","1196","1101","69","47","33.46","30.81","1.93","1.32","",""
"ALAMANCE - 064","4952","3314","695","50","113","66.92","14.03","1.01","2.28","",""
"ALAMANCE - 06E","3183","1783","864","35","38","56.02","27.14","1.1","1.19","",""
"ALAMANCE - 06N","3587","1383","1212","60","33","38.56","33.79","1.67","0.92","",""
"ALAMANCE - 06S","3986","2631","913","29","72","66.01","22.91","0.73","1.81","",""
"ALAMANCE - 06W","1573","742","439","26","16","47.17","27.91","1.65","1.02","",""
"ALAMANCE - 07","3475","3007","195","11","18","86.53","5.61","0.32","0.52","",""
"ALAMANCE - 08N","3284","2605","244","35","12","79.32","7.43","1.07","0.37","",""
"ALAMANCE - 08S","1647","1410","85","8","18","85.61","5.16","0.49","1.09","",""
"ALAMANCE - 09N","2596","1775","504","21","60","68.37","19.41","0.81","2.31","",""
"ALAMANCE - 09S","5208","3910","502","56","89","75.08","9.64","1.08","1.71","",""
"ALAMANCE - 103","3556","2547","398","36","46","71.63","11.19","1.01","1.29","",""
"ALAMANCE - 104","2542","1451","662","24","118","57.08","26.04","0.94","4.64","",""
"ALAMANCE - 10N","3779","2855","527","21","45","75.55","13.95","0.56","1.19","",""
"ALAMANCE - 10S1","6835","4180","1805","27","155","61.16","26.41","0.4","2.27","",""
"ALAMANCE - 11","3743","2041","1249","30","13","54.53","33.37","0.8","0.35","",""
"ALAMANCE - 1210","2413","1315","759","21","48","54.5","31.45","0.87","1.99","",""
"ALAMANCE - 124","1991","1395","342","8","20","70.07","17.18","0.4","1.0","",""
"ALAMANCE - 125","2415","1720","310","16","54","71.22","12.84","0.66","2.24","",""
"ALAMANCE - 126","1682","1501","83","0","19","89.24","4.93","0.0","1.13","",""
"ALAMANCE - 127","5610","1843","2458","63","54","32.85","43.81","1.12","0.96","",""
