"county_name","county_norm","estimate_base_2020_04_01","population_2020","population_2021","population_2022","population_2023","population_2024","population_2025","change_2020_2025","change_2020_2025_pct","change_2024_2025","change_2024_2025_pct"
"Clay","CLAY","11083","11141","11376","11594","11830","11966","12239","1098","9.855","273","2.281"
"Cleveland","CLEVELAND","99511","99926","100478","100773","101606","102506","103325","3399","3.402","819","0.799"
"Columbus","COLUMBUS","50630","50487","50021","50037","50249","50301","50487","0","0","186","0.37"
"Craven","CRAVEN","100726","101514","101696","102413","103370","104173","105025","3511","3.459","852","0.818"
"Cumberland","CUMBERLAND","334724","337000","339459","338521","337635","337248","338473","1473","0.437","1225","0.363"
"Currituck","CURRITUCK","28101","28405","29700","30994","31614","32436","33158","4753","16.733","722","2.226"
"Dare","DARE","36914","37036","37908","38000","38150","38228","38245","1209","3.264","17","0.044"
"Davidson","DAVIDSON","168910","169029","170570","172376","174974","177981","180182","11153","6.598","2201","1.237"
"Davie","DAVIE","42719","42909","43685","44119","44676","45485","45855","2946","6.866","370","0.813"
"Duplin","DUPLIN","48710","48660","48565","49065","49942","51002","51571","2911","5.982","569","1.116"
"Durham","DURHAM","324859","322465","326694","331135","335867","342314","347240","24775","7.683","4926","1.439"
"Edgecombe","EDGECOMBE","48892","48781","48363","48470","48959","49066","49121","340","0.697","55","0.112"
"Forsyth","FORSYTH","382612","382618","385808","389389","393631","397836","401718","19100","4.992","3882","0.976"
"Franklin","FRANKLIN","68625","69029","71697","74294","77039","79930","82037","13008","18.844","2107","2.636"
"Gaston","GASTON","227944","228640","231421","234245","238578","243020","246558","17918","7.837","3538","1.456"
"Gates","GATES","10476","10450","10402","10368","10360","10288","10234","-216","-2.067","-54","-0.525"
"Graham","GRAHAM","8029","8039","8020","8049","8052","8135","8190","151","1.878","55","0.676"
"Granville","GRANVILLE","61000","60178","60502","60878","61411","61628","61421","1243","2.066","-207","-0.336"
"Greene","GREENE","20455","20441","20274","20387","20595","20700","20700","259","1.267","0","0"
"Guilford","GUILFORD","541254","538726","542111","546589","551451","557059","562234","23508","4.364","5175","0.929"
"Halifax","HALIFAX","48613","48401","48268","47587","47075","46993","46534","-1867","-3.857","-459","-0.977"
"Harnett","HARNETT","133563","133716","135553","138514","141772","146456","150137","16421","12.281","3681","2.513"
"Haywood","HAYWOOD","62088","62219","62539","62588","62948","63233","63369","1150","1.848","136","0.215"
"Henderson","HENDERSON","116303","116564","117187","118337","119643","121286","122375","5811","4.985","1089","0.898"
"Hertford","HERTFORD","21548","21414","19810","19492","19194","19099","19015","-2399","-11.203","-84","-0.44"
"Hoke","HOKE","52074","52230","53186","53732","54710","55659","56939","4709","9.016","1280","2.3"
"Hyde","HYDE","4587","4508","4615","4621","4642","4593","4554","46","1.02","-39","-0.849"
"Iredell","IREDELL","186686","187676","192185","196005","200005","206119","211798","24122","12.853","5679","2.755"
"Jackson","JACKSON","43122","42142","42521","43920","45034","44986","45039","2897","6.874","53","0.118"
"Johnston","JOHNSTON","216014","217450","226965","234667","242010","249522","256448","38998","17.934","6926","2.776"
"Jones","JONES","9175","9150","9216","9247","9448","9500","9575","425","4.645","75","0.789"
"Lee","LEE","63283","63388","63997","65613","67346","68819","70258","6870","10.838","1439","2.091"
"Lenoir","LENOIR","55124","55062","54713","54540","54983","55432","55837","775","1.408","405","0.731"
"Lincoln","LINCOLN","86782","87153","89935","93088","95723","97519","98654","11501","13.196","1135","1.164"
"McDowell","MCDOWELL","44584","44554","44541","44745","44946","45298","45198","644","1.445","-100","-0.221"
"Macon","MACON","37004","37085","37457","37964","38433","38820","39232","2147","5.789","412","1.061"
"Madison","MADISON","21201","21292","21739","21908","22044","22466","22553","1261","5.922","87","0.387"
