ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",82812,-0.0481,0.3682,0.6187,0.013,66464,0.7496,0.2504,0.0309,0.1846,0.011,0.0207,0.0021,
"2",90751,0.0432,0.5466,0.4407,0.0127,71471,0.568,0.432,0.0886,0.3069,0.0186,0.0232,0.0009,
"3",84906,-0.024,0.3981,0.5863,0.0156,67137,0.6947,0.3053,0.0491,0.202,0.0345,0.0203,0.0021,
"4",83034,-0.0455,0.409,0.5833,0.0077,62938,0.5204,0.4796,0.1865,0.2749,0.0077,0.0215,0.0015,
"5",82953,-0.0465,0.4949,0.4929,0.0121,65833,0.5343,0.4657,0.0481,0.3859,0.0134,0.0231,0.0022,
"6",90919,0.0451,0.3932,0.5874,0.0194,64871,0.6036,0.3964,0.1133,0.2349,0.0223,0.0345,0.0047,
"7",83541,-0.0397,0.4332,0.5527,0.0142,64664,0.625,0.375,0.0806,0.268,0.0096,0.0217,0.001,
"8",83559,-0.0395,0.6466,0.3373,0.0162,65552,0.446,0.554,0.0673,0.4534,0.0236,0.0168,0.0015,
"9",86684,-0.0036,0.454,0.5314,0.0146,66721,0.637,0.363,0.062,0.2625,0.0246,0.0179,0.0016,
"10",83014,-0.0458,0.4326,0.5557,0.0117,64607,0.5716,0.4284,0.0662,0.324,0.0245,0.019,0.0023,
"11",86381,-0.0071,0.652,0.3272,0.0208,68540,0.6748,0.3252,0.1004,0.1136,0.0937,0.019,0.0015,
"12",84745,-0.0259,0.46,0.5328,0.0072,66970,0.5241,0.4759,0.0719,0.3848,0.0074,0.0172,0.001,
"13",83500,-0.0402,0.2988,0.6863,0.0149,68859,0.8149,0.1851,0.0506,0.0891,0.0185,0.0242,0.003,
"14",88470,0.017,0.3627,0.6092,0.0281,71369,0.6281,0.3719,0.1605,0.1464,0.0391,0.0285,0.0095,
"15",91212,0.0485,0.347,0.6274,0.0256,66962,0.6402,0.3598,0.1057,0.1876,0.0407,0.0345,0.0066,
"16",85097,-0.0218,0.3186,0.6646,0.0168,65744,0.7778,0.2222,0.063,0.1172,0.0135,0.027,0.0022,
"17",90514,0.0405,0.3812,0.6074,0.0114,75860,0.8043,0.1957,0.0514,0.1081,0.0103,0.0228,0.0011,
"18",89413,0.0278,0.62,0.361,0.0191,75047,0.6781,0.3219,0.0756,0.2058,0.0222,0.0202,0.0029,
"19",91288,0.0493,0.3856,0.601,0.0134,77211,0.8844,0.1156,0.028,0.0453,0.0138,0.0218,0.0008,
"20",91180,0.0481,0.4426,0.5394,0.018,72601,0.809,0.191,0.0639,0.0829,0.022,0.0192,0.0016,
"21",87764,0.0088,0.625,0.3558,0.0193,60593,0.5656,0.4344,0.0639,0.09,0.2665,0.0137,0.0015,
"22",88642,0.0189,0.3999,0.5922,0.008,68362,0.5465,0.4535,0.1331,0.2847,0.0057,0.039,0.0011,
"23",88865,0.0215,0.5841,0.4088,0.0071,70700,0.4167,0.5833,0.0357,0.5341,0.0049,0.0139,0.0007,
"24",83322,-0.0422,0.4992,0.4909,0.0099,64630,0.5004,0.4996,0.0895,0.385,0.0141,0.0205,0.0012,
"25",90432,0.0395,0.5047,0.4859,0.0094,70999,0.5088,0.4912,0.0638,0.3997,0.0122,0.0213,0.0014,
"26",89947,0.0339,0.4165,0.5657,0.0179,65902,0.671,0.329,0.1136,0.1778,0.0165,0.0239,0.0017,
"27",84735,-0.026,0.6069,0.3861,0.0071,68639,0.4139,0.5861,0.0236,0.5188,0.0066,0.0445,0.0016,
"28",85389,-0.0185,0.3213,0.6661,0.0126,64169,0.6429,0.3571,0.1618,0.1699,0.0076,0.0239,0.0009,
"29",90900,0.0449,0.838,0.1458,0.0162,72930,0.5035,0.4965,0.0984,0.3103,0.0779,0.0171,0.0009,
"30",91038,0.0465,0.8542,0.1314,0.0145,74671,0.4752,0.5248,0.1305,0.3075,0.0776,0.02,0.0012,
"31",91241,0.0488,0.7982,0.1855,0.0163,71456,0.3212,0.6788,0.157,0.4563,0.059,0.0231,0.0011,
"32",88602,0.0185,0.5205,0.4684,0.011,69546,0.5042,0.4958,0.0772,0.3964,0.0092,0.019,0.0009,
"33",85001,-0.0229,0.7137,0.2676,0.0188,64467,0.3983,0.6017,0.1435,0.4121,0.0357,0.0213,0.0012,
