district,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct,other_vap_pct
01,745649,50.1,41.2,5.9,2.2,1.3,0.1,2.5,0.3
02,743967,60.2,18.1,9.3,1.7,11.1,0.2,3.2,0.5
03,745676,67.4,18.9,9.3,2.5,2.2,0.3,3.4,0.3
04,745563,55.6,26.6,10.9,2.2,5.4,0.1,3.1,0.4
05,745201,75.7,12.5,8.2,2.1,1.8,0.1,2.8,0.3
06,745817,54.7,31.6,8.0,2.1,4.3,0.1,2.9,0.4
07,745945,64.9,19.0,6.3,8.6,1.6,0.2,3.3,0.3
08,746166,72.7,14.4,8.2,2.4,2.3,0.1,2.9,0.3
09,743991,59.0,24.6,10.7,3.8,2.8,0.4,3.7,0.4
10,746121,78.5,10.5,6.3,2.3,2.4,0.1,3.0,0.2
11,745743,84.7,4.0,6.2,3.5,1.3,0.2,3.3,0.3
12,746748,43.7,36.0,13.3,2.0,6.1,0.1,3.0,0.5
13,747065,61.7,22.1,11.2,2.2,3.3,0.1,3.0,0.4
14,745738,60.3,20.7,11.2,1.9,6.3,0.1,3.1,0.5
