district,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct,other_vap_pct
001,199750,75.2,17.5,3.9,2.0,1.2,0.2,2.9,0.3
002,200494,63.6,26.7,6.0,1.9,2.1,0.2,2.8,0.3
003,198430,50.9,42.3,3.2,3.2,0.9,0.2,2.6,0.3
004,216568,52.0,35.0,10.0,2.0,1.7,0.2,2.7,0.3
005,219143,50.6,40.3,6.0,1.7,2.0,0.1,2.7,0.3
006,204576,65.7,15.3,12.5,3.1,3.8,0.8,4.9,0.5
007,208637,77.9,11.7,6.0,2.0,2.3,0.2,3.3,0.4
008,204381,76.7,14.8,4.6,2.8,0.9,0.1,2.8,0.2
009,202791,61.0,23.9,12.0,3.0,0.7,0.1,2.5,0.2
010,215999,66.8,16.7,13.2,2.5,1.3,0.1,3.0,0.3
011,206121,53.8,36.6,7.0,2.0,1.1,0.1,2.4,0.3
012,200794,62.3,20.6,13.2,3.0,1.8,0.3,3.4,0.4
013,198095,62.0,19.9,11.5,1.9,5.6,0.1,3.1,0.4
014,198672,37.9,42.9,15.4,2.3,2.9,0.2,2.9,0.5
015,197980,68.4,14.3,8.4,1.6,7.4,0.1,3.4,0.5
016,198721,55.4,10.7,6.7,1.4,25.8,0.2,3.0,0.5
017,198448,70.8,11.5,8.7,1.9,7.2,0.2,3.2,0.5
018,198486,64.4,23.0,7.5,1.8,3.6,0.1,3.0,0.4
019,216664,44.4,39.2,9.6,4.6,3.8,0.6,4.9,0.6
020,199272,55.0,27.3,10.3,1.9,6.0,0.1,3.1,0.4
021,217791,57.3,28.5,9.3,2.7,3.3,0.5,3.8,0.4
022,201846,44.7,34.4,14.4,2.2,5.5,0.1,3.0,0.5
023,210529,66.8,16.7,7.5,2.0,7.0,0.1,3.3,0.4
024,202786,33.8,29.6,8.3,28.2,1.5,0.3,3.5,0.4
025,217129,67.3,17.9,11.1,2.6,1.8,0.1,2.9,0.3
026,216955,68.2,22.1,5.4,2.1,2.5,0.1,2.9,0.3
027,203464,54.0,29.0,8.2,2.0,7.3,0.1,2.9,0.5
028,212015,39.5,45.6,9.3,2.1,4.9,0.1,3.1,0.4
029,218845,69.1,17.8,9.0,2.8,1.6,0.1,2.6,0.3
030,211642,80.4,9.2,6.4,2.4,1.5,0.1,2.8,0.2
031,216008,63.0,22.2,11.6,2.5,1.5,0.2,2.9,0.3
032,211086,60.4,25.2,9.4,2.0,3.8,0.1,3.0,0.3
033,209379,74.1,14.9,7.2,2.4,1.4,0.1,2.9,0.3
034,217563,62.7,20.1,10.2,2.2,5.4,0.1,3.2,0.4
035,216849,70.7,11.7,11.0,2.0,4.6,0.1,3.0,0.4
036,210986,85.6,4.5,7.2,2.0,0.8,0.1,2.4,0.1
037,215363,76.8,11.4,6.8,1.9,2.9,0.1,3.0,0.3
038,216250,35.6,43.7,12.7,1.8,7.5,0.2,3.1,0.5
039,217710,54.1,23.1,15.3,1.9,6.6,0.1,2.8,0.5
040,218745,34.6,38.7,19.4,2.3,6.6,0.2,2.8,0.7
041,216976,43.8,39.6,11.2,1.9,4.5,0.1,3.0,0.4
042,217131,67.2,12.5,8.6,1.5,10.1,0.1,3.2,0.6
043,211229,69.6,18.6,7.6,2.4,2.0,0.1,3.2,0.3
044,203043,78.8,13.1,4.6,2.1,1.1,0.1,2.9,0.2
045,218526,79.2,7.6,7.7,2.4,3.3,0.1,3.0,0.2
046,200646,84.8,4.9,5.4,2.8,2.1,0.1,3.1,0.3
047,209958,88.1,3.4,4.9,2.2,1.1,0.1,2.9,0.4
048,200053,83.0,5.5,7.9,2.2,1.1,0.4,2.8,0.3
049,200954,80.4,7.3,7.4,2.4,2.0,0.3,3.6,0.4
050,213909,86.0,2.0,4.7,6.3,1.0,0.1,3.4,0.2
