county,year,precinct_abbrv,source_precinct,sbe2006_seims_code,sbe2006_precinct,sbe2006_key,alias_values,confidence,source_file,notes
CUMBERLAND,2000,AH49,ARRAN HILLS,AH49,ARRAN HILLS,CUMBERLAND - ARRAN HILLS,AH49,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,AL51,ALDERMAN,AL51,ALDERMAN,CUMBERLAND - ALDERMAN,AL51,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,AU50,AUMAN,AU50,AUMAN,CUMBERLAND - AUMAN,AU50,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,BR54,BLACK RIVER,BR54,BLACK RIVER,CUMBERLAND - BLACK RIVER,BR54,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,BW55,BRENTWOOD,BW55,BRENTWOOD,CUMBERLAND - BRENTWOOD,BW55,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC01,CROSS CREEK #01,CC01,CROSS CREEK 01,CUMBERLAND - CROSS CREEK 01,CC01,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC02,CROSS CREEK #02,CC02,CROSS CREEK 02,CUMBERLAND - CROSS CREEK 02,CC02,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC03,CROSS CREEK #03,CC03,CROSS CREEK 03,CUMBERLAND - CROSS CREEK 03,CC03,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC04,CROSS CREEK #04,CC04,CROSS CREEK 04,CUMBERLAND - CROSS CREEK 04,CC04,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC05,CROSS CREEK #05,CC05,CROSS CREEK 05,CUMBERLAND - CROSS CREEK 05,CC05,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC06,CROSS CREEK #06,CC06,CROSS CREEK 06,CUMBERLAND - CROSS CREEK 06,CC06,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC07,CROSS CREEK #07,CC07,CROSS CREEK 07,CUMBERLAND - CROSS CREEK 07,CC07,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC08,CROSS CREEK #08,CC08,CROSS CREEK 08,CUMBERLAND - CROSS CREEK 08,CC08,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC09,CROSS CREEK #09,CC09,CROSS CREEK 09,CUMBERLAND - CROSS CREEK 09,CC09,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC10,CROSS CREEK #10,CC10,CROSS CREEK 10,CUMBERLAND - CROSS CREEK 10,CC10,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC11,CROSS CREEK #11,CC11,CROSS CREEK 11,CUMBERLAND - CROSS CREEK 11,CC11,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC12,CROSS CREEK #12,CC12,CROSS CREEK 12,CUMBERLAND - CROSS CREEK 12,CC12,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC13,CROSS CREEK #13,CC13,CROSS CREEK 13,CUMBERLAND - CROSS CREEK 13,CC13,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC14,CROSS CREEK #14,CC14,CROSS CREEK 14,CUMBERLAND - CROSS CREEK 14,CC14,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC15,CROSS CREEK #15,CC15,CROSS CREEK 15,CUMBERLAND - CROSS CREEK 15,CC15,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC16,CROSS CREEK #16,CC16,CROSS CREEK 16,CUMBERLAND - CROSS CREEK 16,CC16,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC17,CROSS CREEK #17,CC17,CROSS CREEK 17,CUMBERLAND - CROSS CREEK 17,CC17,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC18,CROSS CREEK #18,CC18,CROSS CREEK 18,CUMBERLAND - CROSS CREEK 18,CC18,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC19,CROSS CREEK #19,CC19,CROSS CREEK 19,CUMBERLAND - CROSS CREEK 19,CC19,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC20,CROSS CREEK #20,CC20,CROSS CREEK 20,CUMBERLAND - CROSS CREEK 20,CC20,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC21,CROSS CREEK #21,CC21,CROSS CREEK 21,CUMBERLAND - CROSS CREEK 21,CC21,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC22,CROSS CREEK #22,CC22,CROSS CREEK 22,CUMBERLAND - CROSS CREEK 22,CC22,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC23,CROSS CREEK #23,CC23,CROSS CREEK 23,CUMBERLAND - CROSS CREEK 23,CC23,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC24,CROSS CREEK #24,CC24,CROSS CREEK 24,CUMBERLAND - CROSS CREEK 24,CC24,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC25,CROSS CREEK #25,CC25,CROSS CREEK 25,CUMBERLAND - CROSS CREEK 25,CC25,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC26,CROSS CREEK #26,CC26,CROSS CREEK 26,CUMBERLAND - CROSS CREEK 26,CC26,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC27,CROSS CREEK #27,CC27,CROSS CREEK 27,CUMBERLAND - CROSS CREEK 27,CC27,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC28,CROSS CREEK #28,CC28,CROSS CREEK 28,CUMBERLAND - CROSS CREEK 28,CC28,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
CUMBERLAND,2000,CC29,CROSS CREEK #29,CC29,CROSS CREEK 29,CUMBERLAND - CROSS CREEK 29,CC29,high,C:/Users/Shama/Downloads/results_pct_20001107/results_pct_20001107.txt,exact abbreviation and compatible source/SBE2006 name
