district_type,target_year,plan_id,district,district_code,district_label,district_geoid,district_name,CVAP_TOT24
congressional,2022,nc_court_ordered_2022,1,01,CD-01,3701,Congressional District 1,577123
congressional,2022,nc_court_ordered_2022,2,02,CD-02,3702,Congressional District 2,542403
congressional,2022,nc_court_ordered_2022,3,03,CD-03,3703,Congressional District 3,567876
congressional,2022,nc_court_ordered_2022,4,04,CD-04,3704,Congressional District 4,555442
congressional,2022,nc_court_ordered_2022,5,05,CD-05,3705,Congressional District 5,576113
congressional,2022,nc_court_ordered_2022,6,06,CD-06,3706,Congressional District 6,555347
congressional,2022,nc_court_ordered_2022,7,07,CD-07,3707,Congressional District 7,598893
congressional,2022,nc_court_ordered_2022,8,08,CD-08,3708,Congressional District 8,562336
congressional,2022,nc_court_ordered_2022,9,09,CD-09,3709,Congressional District 9,554523
congressional,2022,nc_court_ordered_2022,10,10,CD-10,3710,Congressional District 10,582186
congressional,2022,nc_court_ordered_2022,11,11,CD-11,3711,Congressional District 11,603293
congressional,2022,nc_court_ordered_2022,12,12,CD-12,3712,Congressional District 12,522677
congressional,2022,nc_court_ordered_2022,13,13,CD-13,3713,Congressional District 13,558920
congressional,2022,nc_court_ordered_2022,14,14,CD-14,3714,Congressional District 14,541020
