district,centroid_lon,centroid_lat,sf1_2000_vap_flow,charlotte_2000_share_pct,north_towns_2000_share_pct,south_suburbs_2000_share_pct,remainder_2000_share_pct,top_2000_places,president_2000_margin_pct,president_2000_winner,governor_2000_margin_pct,governor_2000_winner,senate_2002_margin_pct,senate_2002_winner,president_2004_margin_pct,president_2004_winner,governor_2004_margin_pct,governor_2004_winner
37,-80.872711,35.481944,13835.08,0.0,86.46,0.0,13.54,Cornelius:46.9%; Davidson:39.5%; Remainder/unincorporated:13.5%; Huntersville:0.1%,30.38,REP,17.46,REP,28.88,REP,34.21,REP,5.56,REP
38,-80.844131,35.377664,67521.92,49.18,30.87,0.0,19.96,Charlotte:49.2%; Huntersville:26.5%; Remainder/unincorporated:20.0%; Cornelius:4.1%,4.3,REP,1.78,REP,7.69,REP,5.37,REP,-11.39,DEM
39,-80.936376,35.139735,94301.48,82.87,0.0,3.01,14.12,Charlotte:82.9%; Remainder/unincorporated:14.1%; Pineville:3.0%,2.79,REP,4.17,REP,-2.22,DEM,-6.14,DEM,-21.06,DEM
40,-80.719051,35.234453,118611.73,90.42,0.0,0.04,9.55,Charlotte:90.4%; Remainder/unincorporated:9.5%; Mint Hill:0.0%; Matthews:0.0%,-3.39,DEM,-2.98,DEM,-17.62,DEM,-26.13,DEM,-38.52,DEM
41,-80.883646,35.258398,118196.0,95.99,0.0,0.0,4.01,Charlotte:96.0%; Remainder/unincorporated:4.0%,-30.07,DEM,-30.27,DEM,-38.81,DEM,-41.63,DEM,-51.73,DEM
42,-80.732233,35.128538,108738.79,69.1,0.0,24.74,6.16,Charlotte:69.1%; Matthews:14.4%; Mint Hill:10.4%; Remainder/unincorporated:6.2%,30.48,REP,31.11,REP,36.45,REP,32.88,REP,13.22,REP
