district,centroid_lon,centroid_lat,sf1_2000_vap_flow,charlotte_2000_share_pct,north_towns_2000_share_pct,south_suburbs_2000_share_pct,remainder_2000_share_pct,top_2000_places,senate_2002_margin_pct,senate_2002_winner,president_2004_margin_pct,president_2004_winner,governor_2004_margin_pct,governor_2004_winner
88,-80.881351,35.162732,51707.0,99.96,0.0,0.0,0.04,Charlotte:100.0%; Remainder/unincorporated:0.0%,-17.16,DEM,-20.29,DEM,-33.54,DEM
92,-80.975643,35.152811,25797.0,66.04,0.0,0.0,33.96,Charlotte:66.0%; Remainder/unincorporated:34.0%,-0.72,DEM,-6.32,DEM,-22.07,DEM
98,-80.864441,35.457695,29327.45,0.0,90.33,0.0,9.67,Huntersville:39.5%; Cornelius:31.7%; Davidson:19.2%; Remainder/unincorporated:9.7%,31.56,REP,28.69,REP,9.71,REP
99,-80.732282,35.311564,32755.28,84.96,0.0,0.0,15.04,Charlotte:85.0%; Remainder/unincorporated:15.0%,-37.16,DEM,-38.96,DEM,-48.02,DEM
100,-80.732582,35.153411,51858.0,81.69,0.0,15.0,3.31,Charlotte:81.7%; Matthews:11.1%; Mint Hill:3.9%; Remainder/unincorporated:3.3%,9.56,REP,1.72,REP,-15.08,DEM
101,-80.928019,35.327038,27808.0,53.01,16.58,0.0,30.41,Charlotte:53.0%; Remainder/unincorporated:30.4%; Huntersville:16.6%,5.84,REP,4.71,REP,-15.18,DEM
102,-80.808896,35.224837,50363.0,100.0,0.0,0.0,0.0,Charlotte:100.0%,-28.63,DEM,-34.76,DEM,-44.92,DEM
103,-80.835725,35.060584,29967.13,70.87,0.0,9.46,19.67,Charlotte:70.9%; Remainder/unincorporated:19.7%; Pineville:9.5%; Other place:0.0%,33.17,REP,25.3,REP,8.33,REP
104,-80.810191,35.14958,56705.87,99.98,0.0,0.02,0.0,Charlotte:100.0%; Pineville:0.0%; Remainder/unincorporated:0.0%,22.91,REP,18.63,REP,0.93,REP
105,-80.690236,35.144129,44550.0,48.87,0.0,42.99,8.14,Charlotte:48.9%; Matthews:22.2%; Mint Hill:20.8%; Remainder/unincorporated:8.1%,41.2,REP,36.65,REP,16.29,REP
106,-80.796421,35.358728,30725.27,80.12,5.55,0.0,14.33,Charlotte:80.1%; Remainder/unincorporated:14.3%; Huntersville:5.5%,2.43,REP,-5.62,DEM,-20.41,DEM
107,-80.866031,35.275647,43794.0,94.98,0.0,0.0,5.02,Charlotte:95.0%; Remainder/unincorporated:5.0%,-69.29,DEM,-68.56,DEM,-74.41,DEM
112,-80.70127,35.241486,45847.0,81.27,0.0,0.0,18.73,Charlotte:81.3%; Remainder/unincorporated:18.7%,-31.22,DEM,-36.39,DEM,-47.85,DEM
