year,county,raw_precinct,group_id,strategy,synthetic_key,voter_history_code_confirmed
2000,BUNCOMBE,01.1 01,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 01.1 01,False
2000,BUNCOMBE,02.1 02,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 02.1 02,False
2000,BUNCOMBE,03.1 03,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 03.1 03,False
2000,BUNCOMBE,04.1 04,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 04.1 04,False
2000,BUNCOMBE,05.1 05,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 05.1 05,False
2000,BUNCOMBE,06.1 06,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 06.1 06,False
2000,BUNCOMBE,07.1 07,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 07.1 07,False
2000,BUNCOMBE,08.1 08,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 08.1 08,False
2000,BUNCOMBE,09.1 09,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 09.1 09,False
2000,BUNCOMBE,10.1 10,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 10.1 10,False
2000,BUNCOMBE,11.1 11,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 11.1 11,False
2000,BUNCOMBE,12.1 12,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 12.1 12,False
2000,BUNCOMBE,13.1 13,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 13.1 13,False
2000,BUNCOMBE,14.1 14,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 14.1 14,False
2000,BUNCOMBE,15.1 15,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 15.1 15,False
2000,BUNCOMBE,16.1 16,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 16.1 16,False
2000,BUNCOMBE,17.1 17,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 17.1 17,False
2000,BUNCOMBE,18.1 18,BUNCOMBE|HSC|H68|S28|C11,election_district_cell_hsc,BUNCOMBE - 18.1 18,False
2000,BUNCOMBE,19.1 19,BUNCOMBE|HSC|H68|S28|C11,election_district_cell_hsc,BUNCOMBE - 19.1 19,False
2000,BUNCOMBE,20.1 20,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 20.1 20,False
2000,BUNCOMBE,21.1 21,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 21.1 21,False
2000,BUNCOMBE,22.1 22,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 22.1 22,False
2000,BUNCOMBE,23.1 23,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 23.1 23,False
2000,BUNCOMBE,24.1 24,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 24.1 24,False
2000,BUNCOMBE,25.1 25,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 25.1 25,False
2000,BUNCOMBE,26.1 26,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 26.1 26,False
2000,BUNCOMBE,27.1 27,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 27.1 27,False
2000,BUNCOMBE,28.1 28,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 28.1 28,False
2000,BUNCOMBE,29.1 29,BUNCOMBE|HSC|H68|S28|C11,election_district_cell_hsc,BUNCOMBE - 29.1 29,False
2000,BUNCOMBE,30.1 30,BUNCOMBE|SC|S28|C11,election_district_cell_sc,BUNCOMBE - 30.1 30,False
2000,BUNCOMBE,31.1 31,BUNCOMBE|HSC|H68|S28|C11,election_district_cell_hsc,BUNCOMBE - 31.1 31,False
2000,BUNCOMBE,32.1 32,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 32.1 32,False
2000,BUNCOMBE,33.1 33,BUNCOMBE|HSC|H51|S28|C11,election_district_cell_hsc,BUNCOMBE - 33.1 33,False
