line_year,year,contest,file,district,raw_statewide_votes,staged_statewide_votes,staged_minus_raw_votes,candidate_complete,production_statewide_votes,baseline_usable,production_margin_pct,staged_margin_pct,staged_minus_production_pp,production_winner,staged_winner,winner_flip,production_total_votes,staged_total_votes,disposition
2022,2004,governor,congressional_governor_2004.json,9,3486688,3486687,-1,True,3486687,True,-10.04,-10.04,0.0,DEM,DEM,False,230856,230856,pass
2022,2004,governor,congressional_governor_2004.json,10,3486688,3486687,-1,True,3486687,True,3.73,3.73,0.0,REP,REP,False,259734,259734,pass
2022,2004,governor,congressional_governor_2004.json,11,3486688,3486687,-1,True,3486687,True,-7.82,-7.82,0.0,DEM,DEM,False,291790,291790,pass
2022,2004,governor,congressional_governor_2004.json,12,3486688,3486687,-1,True,3486687,True,-21.07,-21.07,0.0,DEM,DEM,False,197064,197064,pass
2022,2004,governor,congressional_governor_2004.json,13,3486688,3486687,-1,True,3486687,True,-11.08,-11.08,0.0,DEM,DEM,False,210715,210715,pass
2022,2004,governor,congressional_governor_2004.json,14,3486688,3486687,-1,True,3486687,True,-6.36,-6.36,0.0,DEM,DEM,False,221729,221729,pass
2022,2004,us_senate,congressional_us_senate_2004.json,1,3472082,3472083,1,True,3472083,True,-11.23,-11.23,0.0,DEM,DEM,False,277061,277061,pass
2022,2004,us_senate,congressional_us_senate_2004.json,2,3472082,3472083,1,True,3472083,True,-3.7,-3.7,0.0,DEM,DEM,False,232718,232718,pass
2022,2004,us_senate,congressional_us_senate_2004.json,3,3472082,3472083,1,True,3472083,True,16.18,16.18,0.0,REP,REP,False,241436,241436,pass
2022,2004,us_senate,congressional_us_senate_2004.json,4,3472082,3472083,1,True,3472083,True,-22.79,-22.79,0.0,DEM,DEM,False,261424,261424,pass
2022,2004,us_senate,congressional_us_senate_2004.json,5,3472082,3472083,1,True,3472083,True,21.26,21.26,0.0,REP,REP,False,293664,293664,pass
2022,2004,us_senate,congressional_us_senate_2004.json,6,3472082,3472083,1,True,3472083,True,-2.2,-2.2,0.0,DEM,DEM,False,277491,277491,pass
2022,2004,us_senate,congressional_us_senate_2004.json,7,3472082,3472083,1,True,3472083,True,0.66,0.66,0.0,REP,REP,False,239779,239779,pass
2022,2004,us_senate,congressional_us_senate_2004.json,8,3472082,3472083,1,True,3472083,True,25.84,25.84,0.0,REP,REP,False,242966,242966,pass
2022,2004,us_senate,congressional_us_senate_2004.json,9,3472082,3472083,1,True,3472083,True,7.17,7.17,0.0,REP,REP,False,230813,230813,pass
2022,2004,us_senate,congressional_us_senate_2004.json,10,3472082,3472083,1,True,3472083,True,23.21,23.21,0.0,REP,REP,False,259417,259417,pass
2022,2004,us_senate,congressional_us_senate_2004.json,11,3472082,3472083,1,True,3472083,True,6.52,6.52,0.0,REP,REP,False,287652,287652,pass
2022,2004,us_senate,congressional_us_senate_2004.json,12,3472082,3472083,1,True,3472083,True,-9.25,-9.25,0.0,DEM,DEM,False,197519,197519,pass
2022,2004,us_senate,congressional_us_senate_2004.json,13,3472082,3472083,1,True,3472083,True,5.72,5.72,0.0,REP,REP,False,208357,208357,pass
2022,2004,us_senate,congressional_us_senate_2004.json,14,3472082,3472083,1,True,3472083,True,4.2,4.2,0.0,REP,REP,False,221786,221786,pass
2024,2000,president,congressional_president_2000.json,1,2892671,2892666,-5,True,2892674,True,-1.27,-0.86,0.41,DEM,DEM,False,247348,245798,pass
2024,2000,president,congressional_president_2000.json,2,2892671,2892666,-5,True,2892674,True,4.92,1.4,-3.52,REP,REP,False,214233,196313,review
2024,2000,president,congressional_president_2000.json,3,2892671,2892666,-5,True,2892674,True,17.53,18.44,0.91,REP,REP,False,200265,200061,pass
2024,2000,president,congressional_president_2000.json,4,2892671,2892666,-5,True,2892674,True,-20.74,-16.63,4.11,DEM,DEM,False,150062,168220,review
2024,2000,president,congressional_president_2000.json,5,2892671,2892666,-5,True,2892674,True,16.75,20.15,3.4,REP,REP,False,257447,249999,review
2024,2000,president,congressional_president_2000.json,6,2892671,2892666,-5,True,2892674,True,23.15,26.61,3.46,REP,REP,False,208322,216440,review
2024,2000,president,congressional_president_2000.json,7,2892671,2892666,-5,True,2892674,True,6.17,7.2,1.03,REP,REP,False,190472,196522,pass
2024,2000,president,congressional_president_2000.json,8,2892671,2892666,-5,True,2892674,True,9.96,18.76,8.8,REP,REP,False,200593,196075,map_review
2024,2000,president,congressional_president_2000.json,9,2892671,2892666,-5,True,2892674,True,21.89,16.64,-5.25,REP,REP,False,206484,204443,map_review
2024,2000,president,congressional_president_2000.json,10,2892671,2892666,-5,True,2892674,True,27.03,22.91,-4.12,REP,REP,False,227440,224054,review
2024,2000,president,congressional_president_2000.json,11,2892671,2892666,-5,True,2892674,True,19.85,19.85,0.0,REP,REP,False,251681,251667,pass
2024,2000,president,congressional_president_2000.json,12,2892671,2892666,-5,True,2892674,True,5.12,-7.45,-12.57,REP,DEM,True,154132,186107,map_review
2024,2000,president,congressional_president_2000.json,13,2892671,2892666,-5,True,2892674,True,18.29,20.29,2.0,REP,REP,False,167015,166558,review
2024,2000,president,congressional_president_2000.json,14,2892671,2892666,-5,True,2892674,True,19.91,25.77,5.86,REP,REP,False,217180,190409,map_review
