line_year,scope,contest_type,file,district,raw_statewide_votes,staged_statewide_votes,staged_minus_raw_votes,production_exists,production_margin_pct,staged_margin_pct,staged_minus_production_pp,production_winner,staged_winner,winner_flip,production_total_votes,staged_total_votes
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,1,2782687,2782689,2,True,-20.77,-20.77,0.0,DEM,DEM,False,223661,223661
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,2,2782687,2782689,2,True,-11.76,-11.76,0.0,DEM,DEM,False,181347,181347
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,3,2782687,2782689,2,True,5.23,5.23,0.0,REP,REP,False,199194,199194
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,4,2782687,2782689,2,True,-29.3,-29.3,0.0,DEM,DEM,False,193609,193609
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,5,2782687,2782689,2,True,14.84,14.84,0.0,REP,REP,False,245189,245189
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,6,2782687,2782689,2,True,3.15,3.15,0.0,REP,REP,False,226437,226437
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,7,2782687,2782689,2,True,-9.08,-9.08,0.0,DEM,DEM,False,189512,189512
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,8,2782687,2782689,2,True,12.69,12.69,0.0,REP,REP,False,197179,197179
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,9,2782687,2782689,2,True,-2.37,-2.37,0.0,DEM,DEM,False,185760,185760
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,10,2782687,2782689,2,True,8.85,8.85,0.0,REP,REP,False,217564,217564
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,11,2782687,2782689,2,True,10.42,10.42,0.0,REP,REP,False,235642,235642
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,12,2782687,2782689,2,True,-6.29,-6.29,0.0,DEM,DEM,False,147172,147172
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,13,2782687,2782689,2,True,-4.11,-4.11,0.0,DEM,DEM,False,157361,157361
2022,congressional,agriculture_commissioner,congressional_agriculture_commissioner_2000.json,14,2782687,2782689,2,True,4.98,4.98,0.0,REP,REP,False,183062,183062
2022,congressional,attorney_general,congressional_attorney_general_2000.json,1,2803456,2803455,-1,True,-35.49,-35.49,0.0,DEM,DEM,False,227948,227948
