district,centroid_lon,centroid_lat,sf1_2000_vap_flow,charlotte_2000_share_pct,north_towns_2000_share_pct,south_suburbs_2000_share_pct,remainder_2000_share_pct,top_2000_places,senate_2002_margin_pct,senate_2002_winner,president_2004_margin_pct,president_2004_winner,governor_2004_margin_pct,governor_2004_winner
88,-80.91876,35.19817,50369.24,96.19,0.0,0.0,3.81,Charlotte:96.2%; Remainder/unincorporated:3.8%,-23.48,DEM,-25.37,DEM,-37.33,DEM
92,-80.969131,35.120749,24039.76,64.62,0.0,6.39,28.99,Charlotte:64.6%; Remainder/unincorporated:29.0%; Pineville:6.4%,-3.39,DEM,-6.83,DEM,-22.83,DEM
98,-80.868943,35.455366,28640.72,0.0,90.7,0.0,9.3,Huntersville:38.6%; Cornelius:32.4%; Davidson:19.7%; Remainder/unincorporated:9.3%,31.2,REP,27.97,REP,9.18,REP
99,-80.724599,35.285153,40097.0,88.71,0.0,0.0,11.29,Charlotte:88.7%; Remainder/unincorporated:11.3%,-46.25,DEM,-47.43,DEM,-56.18,DEM
100,-80.754331,35.187807,53674.5,100.0,0.0,0.0,0.0,Charlotte:100.0%; Matthews:0.0%,-20.08,DEM,-28.85,DEM,-41.72,DEM
101,-80.93827,35.281619,37619.91,86.41,0.0,0.0,13.59,Charlotte:86.4%; Remainder/unincorporated:13.6%,-18.13,DEM,-22.82,DEM,-37.94,DEM
102,-80.811359,35.238086,52653.0,100.0,0.0,0.0,0.0,Charlotte:100.0%,-46.19,DEM,-48.87,DEM,-57.09,DEM
103,-80.743489,35.099318,43911.5,60.1,0.0,35.62,4.27,Charlotte:60.1%; Matthews:35.6%; Remainder/unincorporated:4.3%; Other place:0.0%,37.73,REP,31.42,REP,11.98,REP
104,-80.816465,35.14068,54211.0,100.0,0.0,0.0,0.0,Charlotte:100.0%,26.67,REP,23.37,REP,5.07,REP
105,-80.845473,35.065302,38433.0,84.8,0.0,3.41,11.79,Charlotte:84.8%; Remainder/unincorporated:11.8%; Pineville:3.4%,30.5,REP,22.51,REP,5.98,REP
106,-80.785135,35.370685,25904.28,52.07,22.21,0.0,25.72,Charlotte:52.1%; Remainder/unincorporated:25.7%; Huntersville:22.2%,12.21,REP,4.49,REP,-11.93,DEM
107,-80.868039,35.337193,33078.09,79.68,3.25,0.0,17.07,Charlotte:79.7%; Remainder/unincorporated:17.1%; Huntersville:3.2%,-37.41,DEM,-35.01,DEM,-46.16,DEM
112,-80.655295,35.201469,38573.0,40.87,0.0,29.27,29.86,Charlotte:40.9%; Remainder/unincorporated:29.9%; Mint Hill:29.3%,11.7,REP,7.62,REP,-9.99,DEM
