year,county,house,senate,congressional,returned_absentee_voters,county_share
2002,ALAMANCE,64,24,6,2585,0.55855661
2002,ALAMANCE,63,24,6,1352,0.29213483
2002,ALAMANCE,63,24,13,691,0.14930856
2002,ALEXANDER,87,41,5,2540,1.0
2002,ALLEGHANY,90,45,5,855,1.0
2002,ANSON,69,25,8,855,1.0
2002,ASHE,82,45,5,1173,1.0
2002,AVERY,84,47,10,522,1.0
2002,BEAUFORT,6,1,3,1480,0.71705426
2002,BEAUFORT,6,1,1,584,0.28294574
2002,BERTIE,5,3,1,646,1.0
2002,BLADEN,22,19,7,1715,1.0
2002,BRUNSWICK,17,8,7,2120,0.48601559
2002,BRUNSWICK,20,8,7,2032,0.46584136
2002,BRUNSWICK,18,8,7,210,0.04814305
2002,BUNCOMBE,115,49,11,2290,0.30060383
2002,BUNCOMBE,114,49,11,2157,0.28314518
2002,BUNCOMBE,116,49,11,1265,0.16605408
2002,BUNCOMBE,116,48,11,1086,0.1425571
2002,BUNCOMBE,115,48,11,607,0.07967971
2002,BUNCOMBE,114,48,11,213,0.02796009
2002,BURKE,86,44,10,2270,0.86410354
2002,BURKE,85,44,10,357,0.13589646
2002,CABARRUS,75,36,8,2504,0.52827004
2002,CABARRUS,74,36,8,1985,0.41877637
2002,CABARRUS,74,36,12,251,0.05295359
2002,CALDWELL,87,45,10,2595,0.49353366
2002,CALDWELL,84,45,10,2509,0.47717763
2002,CALDWELL,85,45,10,154,0.0292887
2002,CAMDEN,1,1,3,354,1.0
2002,CARTERET,13,2,3,2997,1.0
2002,CASWELL,65,24,13,425,1.0
2002,CATAWBA,89,42,10,2392,0.49802207
2002,CATAWBA,88,44,10,1506,0.31355403
2002,CATAWBA,95,42,10,561,0.116802
2002,CATAWBA,89,44,10,173,0.03601915
2002,CATAWBA,88,42,10,171,0.03560275
2002,CHATHAM,54,23,2,1538,0.65363366
2002,CHATHAM,54,23,4,815,0.34636634
2002,CHEROKEE,120,50,11,1479,1.0
2002,CHOWAN,2,1,1,329,1.0
2002,CLAY,120,50,11,721,1.0
2002,CLEVELAND,111,46,10,1936,0.82382979
2002,CLEVELAND,110,46,10,315,0.13404255
2002,CLEVELAND,112,46,10,99,0.04212766
2002,CRAVEN,3,2,3,3286,0.66626115
2002,CRAVEN,12,2,1,714,0.14476886
2002,CRAVEN,3,2,1,444,0.09002433
2002,CRAVEN,12,2,3,167,0.0338605
2002,CRAVEN,4,2,3,161,0.03264396
2002,CRAVEN,4,2,1,160,0.0324412
2002,CUMBERLAND,43,21,2,877,0.16027047
2002,CUMBERLAND,41,19,7,770,0.14071637
2002,CUMBERLAND,44,19,8,733,0.13395468
2002,CUMBERLAND,45,19,7,657,0.12006579
2002,CUMBERLAND,44,21,8,610,0.11147661
2002,CUMBERLAND,45,19,8,436,0.07967836
2002,CUMBERLAND,42,21,2,372,0.06798246
2002,CUMBERLAND,41,19,8,332,0.06067251
2002,CUMBERLAND,42,21,8,243,0.04440789
2002,CUMBERLAND,41,21,2,128,0.02339181
2002,CUMBERLAND,43,21,7,90,0.01644737
2002,CUMBERLAND,44,21,2,88,0.01608187
2002,CUMBERLAND,41,21,7,62,0.01133041
2002,CUMBERLAND,41,21,8,46,0.00840643
2002,CUMBERLAND,44,19,7,15,0.00274123
2002,CUMBERLAND,43,19,7,9,0.00164474
2002,CUMBERLAND,42,21,7,4,0.00073099
2002,CURRITUCK,1,1,3,291,1.0
2002,DARE,2,1,3,953,1.0
2002,DAVIDSON,80,33,6,1574,0.31914031
2002,DAVIDSON,81,33,12,1110,0.22506083
2002,DAVIDSON,81,33,6,918,0.18613139
2002,DAVIDSON,79,33,12,720,0.1459854
2002,DAVIDSON,80,33,12,514,0.10421736
2002,DAVIDSON,79,33,6,96,0.01946472
2002,DAVIE,79,34,5,1115,1.0
2002,DUPLIN,10,10,7,677,0.46593255
2002,DUPLIN,21,10,7,563,0.38747419
2002,DUPLIN,10,10,3,194,0.13351686
2002,DUPLIN,21,10,3,19,0.01307639
2002,DURHAM,30,18,4,1219,0.18653405
2002,DURHAM,31,20,4,1168,0.17872992
2002,DURHAM,32,18,4,1107,0.16939556
2002,DURHAM,29,20,4,1025,0.15684774
2002,DURHAM,30,20,4,768,0.11752104
2002,DURHAM,29,18,4,707,0.10818669
2002,DURHAM,31,18,4,321,0.04912012
2002,DURHAM,32,20,4,220,0.03366488
2002,EDGECOMBE,23,3,1,508,0.55337691
2002,EDGECOMBE,24,3,1,410,0.44662309
2002,FRANKLIN,49,11,2,1368,1.0
2002,GASTON,109,43,9,844,0.2734932
2002,GASTON,108,43,9,816,0.26441996
2002,GASTON,110,43,9,694,0.22488658
2002,GASTON,108,42,9,423,0.13707064
2002,GASTON,109,43,10,176,0.05703176
2002,GASTON,110,43,10,133,0.04309786
2002,GATES,2,4,1,96,0.71111111
2002,GATES,1,4,1,39,0.28888889
2002,GRAHAM,120,50,11,1043,1.0
2002,GRANVILLE,32,18,13,423,0.42900609
2002,GRANVILLE,27,18,1,322,0.32657201
2002,GRANVILLE,27,18,13,166,0.168357
2002,GRANVILLE,32,18,1,75,0.07606491
2002,GREENE,8,7,1,390,1.0
2002,HALIFAX,7,4,1,295,0.53636364
2002,HALIFAX,49,4,1,255,0.46363636
2002,HARNETT,53,10,2,867,0.47927032
2002,HARNETT,53,22,2,565,0.31232725
2002,HARNETT,41,10,2,249,0.13764511
2002,HARNETT,42,22,2,84,0.04643449
2002,HARNETT,51,22,2,44,0.02432283
2002,HAYWOOD,118,47,11,1238,0.57261795
2002,HAYWOOD,119,47,11,624,0.28862165
2002,HAYWOOD,119,50,11,254,0.11748381
2002,HAYWOOD,118,50,11,46,0.0212766
2002,HENDERSON,117,48,11,3961,0.71536933
2002,HENDERSON,113,48,11,1576,0.28463067
2002,HERTFORD,5,4,1,316,1.0
2002,HOKE,48,13,8,936,0.64640884
2002,HOKE,46,13,8,411,0.28383978
2002,HOKE,47,13,8,101,0.06975138
2002,HYDE,6,1,3,110,1.0
2002,IREDELL,96,41,5,1749,0.50651607
2002,IREDELL,95,41,10,1241,0.35939763
2002,IREDELL,96,41,10,218,0.06313351
2002,IREDELL,79,41,5,180,0.05212858
2002,IREDELL,95,41,5,65,0.01882421
2002,JACKSON,119,50,11,1303,1.0
2002,JOHNSTON,28,12,2,1613,0.60822021
2002,JOHNSTON,26,12,2,1039,0.39177979
