line_year,year,chamber,contest,file,district,baseline_usable,baseline_statewide_vote_ratio,candidate_statewide_complete,production_margin_pct,staged_margin_pct,staged_minus_production_pp,production_winner,staged_winner,winner_flip,production_total_votes,staged_total_votes,staged_minus_production_votes,linked_urban_votes,linked_urban_share_of_staged_pct,direct_vtd_linked_votes,historical_plan_cell_linked_votes,historical_plan_cell_share_pct,top_linked_urban_counties,linkage_method_mix,disposition,reason,rank_score
2022,2004,state_house,governor,state_house_governor_2004.json,26,True,1.000003,True,2.86,2.86,0.0,REP,REP,False,16894,16894,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,27,True,1.000003,True,-49.69,-49.69,0.0,DEM,DEM,False,36531,36531,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,28,True,1.000003,True,-0.76,-0.76,0.0,DEM,DEM,False,29963,29963,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,29,True,1.000003,True,-49.08,-49.08,0.0,DEM,DEM,False,30348,30348,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,30,True,1.000003,True,-53.29,-53.29,0.0,DEM,DEM,False,36460,36460,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,32,True,1.000003,True,-34.6,-34.6,0.0,DEM,DEM,False,29191,29191,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,46,True,1.000003,True,-27.82,-27.82,0.0,DEM,DEM,False,30745,30745,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,47,True,1.000003,True,-47.87,-47.87,0.0,DEM,DEM,False,25090,25090,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,48,True,1.000003,True,-30.1,-30.1,0.0,DEM,DEM,False,21640,21640,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,50,True,1.000003,True,-39.61,-39.61,0.0,DEM,DEM,False,35371,35371,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,51,True,1.000003,True,-10.65,-10.65,0.0,DEM,DEM,False,26040,26040,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,52,True,1.000003,True,-17.09,-17.09,0.0,DEM,DEM,False,30671,30671,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,54,True,1.000003,True,-8.94,-8.94,0.0,DEM,DEM,False,18791,18791,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,55,True,1.000003,True,-9.71,-9.71,0.0,DEM,DEM,False,29918,29918,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,56,True,1.000003,True,-45.36,-45.36,0.0,DEM,DEM,False,37633,37633,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,63,True,1.000003,True,-16.37,-16.37,0.0,DEM,DEM,False,24995,24995,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,64,True,1.000003,True,8.22,8.22,0.0,REP,REP,False,29017,29017,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,65,True,1.000003,True,-15.58,-15.58,0.0,DEM,DEM,False,37314,37314,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,67,True,1.000003,True,1.55,1.55,0.0,REP,REP,False,35246,35246,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,68,True,1.000003,True,24.58,24.58,0.0,REP,REP,False,14192,14192,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,71,True,1.000003,True,-33.0,-33.0,0.0,DEM,DEM,False,28973,28973,0,22170,76.52,22170,0,0.0,FORSYTH:22170 (100.0%),direct_sf1_vtd:22170 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,76,True,1.000003,True,-3.91,-3.91,0.0,DEM,DEM,False,29266,29266,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
