line_year,year,chamber,contest,file,district,baseline_usable,baseline_statewide_vote_ratio,candidate_statewide_complete,production_margin_pct,staged_margin_pct,staged_minus_production_pp,production_winner,staged_winner,winner_flip,production_total_votes,staged_total_votes,staged_minus_production_votes,linked_urban_votes,linked_urban_share_of_staged_pct,direct_vtd_linked_votes,historical_plan_cell_linked_votes,historical_plan_cell_share_pct,top_linked_urban_counties,linkage_method_mix,disposition,reason,rank_score
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,110,True,1.0,True,-28.96,14.36,43.32,DEM,REP,True,18623,19544,921,9942,50.87,9942,0,0.0,GASTON:9942 (100.0%),direct_sf1_vtd:9942 (100.0%),production_calibration_review,Production margin was manually calibrated; this is not a clean geometry comparison.,64.3091
2024,2004,state_house,president,state_house_president_2004.json,66,True,0.999897,True,8.61,-8.42,-17.03,REP,DEM,True,9255,28682,19427,8645,30.14,6517,2129,24.62,WAKE:8645 (100.0%),direct_sf1_vtd:6517 (75.4%); historical_plan_cell:2129 (24.6%),map_inspection,Winner changes relative to the complete production baseline.,57.03
2024,2004,state_house,president,state_house_president_2004.json,50,True,0.999897,True,2.65,-24.57,-27.22,REP,DEM,True,43786,36125,-7661,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",50.7193
2024,2004,state_house,governor,state_house_governor_2004.json,84,True,0.999996,True,2.91,-2.82,-5.73,REP,DEM,True,36149,21383,-14766,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",33.8995
2024,2004,state_house,governor,state_house_governor_2004.json,66,True,0.999996,True,-14.33,-25.56,-11.23,DEM,DEM,False,9279,28246,18967,8702,30.81,6563,2139,24.58,WAKE:8702 (100.0%),direct_sf1_vtd:6563 (75.4%); historical_plan_cell:2139 (24.6%),map_inspection,Margin changes by at least five percentage points.,31.23
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,45,True,1.0,True,-2.07,3.98,6.05,DEM,REP,True,7815,9834,2019,8010,81.45,2927,5084,63.46,CUMBERLAND:8010 (100.0%),historical_plan_cell:5084 (63.5%); direct_sf1_vtd:2927 (36.5%),map_inspection,Winner changes relative to the complete production baseline.,31.217
2022,2004,state_house,president,state_house_president_2004.json,116,True,1.000002,True,3.78,-5.12,-8.9,REP,DEM,True,37278,35910,-1368,18500,51.52,0,18500,100.0,BUNCOMBE:18500 (100.0%),historical_plan_cell:18500 (100.0%),map_inspection,Winner changes relative to the complete production baseline.,29.6339
2024,2004,state_house,governor,state_house_governor_2004.json,20,True,0.999996,True,-4.7,3.57,8.27,DEM,REP,True,33671,33174,-497,24639,74.27,24639,0,0.0,NEW HANOVER:24639 (100.0%),direct_sf1_vtd:24639 (100.0%); historical_plan_cell:0 (0.0%),map_inspection,Winner changes relative to the complete production baseline.,28.5652
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,108,True,1.0,True,7.55,34.05,26.5,REP,REP,False,15690,14225,-1465,13122,92.25,13122,0,0.0,GASTON:13122 (100.0%),direct_sf1_vtd:13122 (100.0%),production_calibration_review,Production margin was manually calibrated; this is not a clean geometry comparison.,28.3674
2022,2004,state_house,governor,state_house_governor_2004.json,37,True,1.000003,True,0.22,-1.49,-1.71,REP,DEM,True,15941,21142,5201,14551,68.83,10912,3639,25.01,WAKE:14551 (100.0%),direct_sf1_vtd:10912 (75.0%); historical_plan_cell:3639 (25.0%),map_inspection,Winner changes relative to the complete production baseline.,28.2353
2022,2004,state_house,governor,state_house_governor_2004.json,35,True,1.000003,True,0.08,-1.03,-1.11,REP,DEM,True,13195,17535,4340,10313,58.82,7972,2341,22.7,WAKE:10313 (100.0%),direct_sf1_vtd:7972 (77.3%); historical_plan_cell:2341 (22.7%),map_inspection,Winner changes relative to the complete production baseline.,27.6882
2022,2004,state_senate,president,state_senate_president_2004.json,49,True,0.999997,True,-3.51,2.89,6.4,DEM,REP,True,79488,78261,-1227,41524,53.06,0,41524,100.0,BUNCOMBE:41524 (100.0%),historical_plan_cell:41524 (100.0%),map_inspection,Winner changes relative to the complete production baseline.,26.7087
2024,2004,state_house,president,state_house_president_2004.json,34,True,0.999897,True,1.81,-2.94,-4.75,REP,DEM,True,47850,43507,-4343,29065,66.81,26343,2722,9.36,WAKE:29065 (100.0%),direct_sf1_vtd:26343 (90.6%); historical_plan_cell:2722 (9.4%),map_inspection,Winner changes relative to the complete production baseline.,26.5653
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,92,True,1.0,True,0.91,-3.39,-4.3,REP,DEM,True,8246,9166,920,7559,82.47,7559,0,0.0,MECKLENBURG:7559 (100.0%),direct_sf1_vtd:7559 (100.0%),map_inspection,Winner changes relative to the complete production baseline.,26.5314
2024,2004,state_house,president,state_house_president_2004.json,115,True,0.999897,True,26.42,0.14,-26.28,REP,REP,False,34080,33951,-129,18477,54.42,0,18477,100.0,BUNCOMBE:18477 (100.0%),historical_plan_cell:18477 (100.0%),map_inspection,Margin changes by at least five percentage points.,26.3557
2022,2004,state_house,president,state_house_president_2004.json,44,True,1.000002,True,1.9,-3.5,-5.4,REP,DEM,True,35301,33905,-1396,23983,70.74,18125,5859,24.43,CUMBERLAND:23983 (100.0%),direct_sf1_vtd:18125 (75.6%); historical_plan_cell:5859 (24.4%),map_inspection,Winner changes relative to the complete production baseline.,26.1909
2022,2004,state_house,president,state_house_president_2004.json,60,True,1.000002,True,2.91,-1.71,-4.62,REP,DEM,True,31575,29136,-2439,17091,58.66,14578,2513,14.7,GUILFORD:17091 (100.0%),direct_sf1_vtd:14578 (85.3%); historical_plan_cell:2513 (14.7%),map_inspection,Winner changes relative to the complete production baseline.,26.1649
2024,2004,state_house,governor,state_house_governor_2004.json,35,True,0.999996,True,-0.37,0.53,0.9,DEM,REP,True,25287,30893,5606,20339,65.84,15766,4573,22.48,WAKE:20339 (100.0%),direct_sf1_vtd:15766 (77.5%); historical_plan_cell:4573 (22.5%),map_inspection,Winner changes relative to the complete production baseline.,25.3339
2024,2004,state_house,governor,state_house_governor_2004.json,113,True,0.999996,True,1.63,-0.83,-2.46,REP,DEM,True,38756,33842,-4914,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",24.9959
2024,2004,state_house,governor,state_house_governor_2004.json,73,True,0.999996,True,2.05,-0.79,-2.84,REP,DEM,True,24592,26764,2172,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",24.6064
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,109,True,1.0,True,7.56,30.54,22.98,REP,REP,False,17314,17868,554,16486,92.27,16486,0,0.0,GASTON:16486 (100.0%),direct_sf1_vtd:16486 (100.0%),production_calibration_review,Production margin was manually calibrated; this is not a clean geometry comparison.,23.6199
2024,2004,state_house,governor,state_house_governor_2004.json,81,True,0.999996,True,1.24,-0.75,-1.99,REP,DEM,True,32101,29854,-2247,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",23.39
2024,2004,state_senate,president,state_senate_president_2004.json,49,True,0.999999,True,-2.79,0.3,3.09,DEM,REP,True,79065,78029,-1036,42508,54.48,0,42508,100.0,BUNCOMBE:42508 (100.0%),historical_plan_cell:42508 (100.0%),map_inspection,Winner changes relative to the complete production baseline.,23.3521
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,44,True,1.0,True,0.11,-2.22,-2.33,REP,DEM,True,23428,22258,-1170,19938,89.58,15185,4753,23.84,CUMBERLAND:19938 (100.0%),direct_sf1_vtd:15185 (76.2%); historical_plan_cell:4753 (23.8%),map_inspection,Winner changes relative to the complete production baseline.,23.3288
2024,2004,state_house,governor,state_house_governor_2004.json,37,True,0.999996,True,2.23,-0.07,-2.3,REP,DEM,True,21861,22697,836,15625,68.84,11570,4055,25.95,WAKE:15625 (100.0%),direct_sf1_vtd:11570 (74.0%); historical_plan_cell:4055 (26.0%),map_inspection,Winner changes relative to the complete production baseline.,23.0648
2024,2004,state_house,governor,state_house_governor_2004.json,95,True,0.999996,True,7.66,10.19,2.53,REP,REP,False,14191,33393,19202,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",22.53
2022,2002,state_senate,us_senate,state_senate_us_senate_2002.json,15,True,1.000001,True,0.91,-0.03,-0.94,REP,DEM,True,53475,53812,337,47676,88.6,41620,6057,12.7,WAKE:47676 (100.0%),direct_sf1_vtd:41620 (87.3%); historical_plan_cell:6057 (12.7%),map_inspection,Winner changes relative to the complete production baseline.,21.066
2024,2004,state_house,president,state_house_president_2004.json,95,True,0.999897,True,41.07,40.97,-0.1,REP,REP,False,14299,33548,19249,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",20.1
2024,2004,state_house,president,state_house_president_2004.json,116,True,0.999897,True,-26.61,-8.46,18.15,DEM,DEM,False,35435,37918,2483,20691,54.57,0,20691,100.0,BUNCOMBE:20691 (100.0%),historical_plan_cell:20691 (100.0%),map_inspection,Margin changes by at least five percentage points.,19.5514
2024,2004,state_house,governor,state_house_governor_2004.json,21,True,0.999996,True,-11.71,-5.95,5.76,DEM,DEM,False,10276,16611,6335,8528,51.34,6293,2235,26.21,WAKE:8528 (100.0%),direct_sf1_vtd:6293 (73.8%); historical_plan_cell:2235 (26.2%),map_inspection,Margin changes by at least five percentage points.,18.0897
2024,2004,state_house,governor,state_house_governor_2004.json,43,True,0.999996,True,-19.35,-14.29,5.06,DEM,DEM,False,17883,28992,11109,20128,69.42,17020,3108,15.44,CUMBERLAND:20128 (100.0%),direct_sf1_vtd:17020 (84.6%); historical_plan_cell:3108 (15.4%),map_inspection,Margin changes by at least five percentage points.,17.4841
2024,2004,state_house,governor,state_house_governor_2004.json,38,True,0.999996,True,-52.1,-65.07,-12.97,DEM,DEM,False,30955,24810,-6145,16859,67.95,14442,2417,14.34,WAKE:16859 (100.0%),direct_sf1_vtd:14442 (85.7%); historical_plan_cell:2417 (14.3%),map_inspection,Margin changes by at least five percentage points.,16.9403
2024,2004,state_house,president,state_house_president_2004.json,21,True,0.999897,True,22.37,18.89,-3.48,REP,REP,False,10253,16588,6335,8534,51.45,6298,2236,26.2,WAKE:8534 (100.0%),direct_sf1_vtd:6298 (73.8%); historical_plan_cell:2236 (26.2%),map_inspection,District vote placement changes by at least 25 percent.,15.8374
2024,2004,state_house,governor,state_house_governor_2004.json,56,True,0.999996,True,-55.3,-45.36,9.94,DEM,DEM,False,29172,37119,7947,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",15.3884
2024,2004,state_house,president,state_house_president_2004.json,43,True,0.999897,True,19.85,22.03,2.18,REP,REP,False,17729,28687,10958,19956,69.56,16869,3086,15.47,CUMBERLAND:19956 (100.0%),direct_sf1_vtd:16869 (84.5%); historical_plan_cell:3086 (15.5%),map_inspection,District vote placement changes by at least 25 percent.,14.5417
2024,2004,state_house,governor,state_house_governor_2004.json,54,True,0.999996,True,-16.72,-8.94,7.78,DEM,DEM,False,27679,18791,-8888,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",14.2022
2024,2004,state_house,governor,state_house_governor_2004.json,42,True,0.999996,True,-29.88,-40.91,-11.03,DEM,DEM,False,19328,16876,-2452,12242,72.54,10089,2153,17.59,CUMBERLAND:12242 (100.0%),direct_sf1_vtd:10089 (82.4%); historical_plan_cell:2153 (17.6%),map_inspection,Margin changes by at least five percentage points.,13.5673
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,35,True,1.0,True,31.72,28.44,-3.28,REP,REP,False,7510,11233,3723,9931,88.41,6567,3364,33.88,WAKE:9931 (100.0%),direct_sf1_vtd:6567 (66.1%); historical_plan_cell:3364 (33.9%),map_inspection,District vote placement changes by at least 25 percent.,13.1948
2024,2004,state_house,president,state_house_president_2004.json,84,True,0.999897,True,32.82,28.06,-4.76,REP,REP,False,36213,21406,-14807,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",12.9377
2024,2004,state_house,governor,state_house_governor_2004.json,18,True,0.999996,True,-14.13,-26.23,-12.1,DEM,DEM,False,32275,31361,-914,23340,74.42,23340,1,0.0,NEW HANOVER:23340 (100.0%),direct_sf1_vtd:23340 (100.0%); historical_plan_cell:1 (0.0%),map_inspection,Margin changes by at least five percentage points.,12.6664
2022,2004,state_house,president,state_house_president_2004.json,45,True,1.000002,True,7.3,16.0,8.7,REP,REP,False,13932,16410,2478,6350,38.69,3747,2603,40.99,CUMBERLAND:6350 (100.0%),direct_sf1_vtd:3747 (59.0%); historical_plan_cell:2603 (41.0%),map_inspection,Margin changes by at least five percentage points.,12.2573
2024,2004,state_house,governor,state_house_governor_2004.json,82,True,0.999996,True,2.04,9.98,7.94,REP,REP,False,24137,19029,-5108,0,0.0,0,0,3.6,MECKLENBURG:0 (100.0%),direct_sf1_vtd:0 (96.4%); historical_plan_cell:0 (3.6%),map_inspection,Margin changes by at least five percentage points.,12.1725
2024,2004,state_senate,president,state_senate_president_2004.json,46,True,0.999999,True,28.91,17.4,-11.51,REP,REP,False,72685,73714,1029,14463,19.62,0,14463,100.0,BUNCOMBE:14463 (100.0%),historical_plan_cell:14463 (100.0%),map_inspection,Margin changes by at least five percentage points.,11.7931
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,37,True,1.0,True,32.11,29.89,-2.22,REP,REP,False,9637,14204,4567,12556,88.4,8269,4288,34.15,WAKE:12556 (100.0%),direct_sf1_vtd:8269 (65.9%); historical_plan_cell:4288 (34.1%),map_inspection,District vote placement changes by at least 25 percent.,11.6981
2024,2004,state_house,president,state_house_president_2004.json,38,True,0.999897,True,-51.39,-59.01,-7.62,DEM,DEM,False,31070,24972,-6098,16662,66.72,14263,2398,14.39,WAKE:16662 (100.0%),direct_sf1_vtd:14263 (85.6%); historical_plan_cell:2398 (14.4%),map_inspection,Margin changes by at least five percentage points.,11.5453
2024,2004,state_senate,president,state_senate_president_2004.json,23,True,0.999999,True,-10.11,-21.41,-11.3,DEM,DEM,False,88804,88725,-79,0,0.0,0,0,0.0,,,map_inspection,Margin changes by at least five percentage points.,11.3178
2024,2004,state_house,president,state_house_president_2004.json,35,True,0.999897,True,35.41,28.59,-6.82,REP,REP,False,25062,30604,5542,20316,66.38,15751,4565,22.47,WAKE:20316 (100.0%),direct_sf1_vtd:15751 (77.5%); historical_plan_cell:4565 (22.5%),map_inspection,Margin changes by at least five percentage points.,11.2426
2022,2004,state_house,governor,state_house_governor_2004.json,45,True,1.000003,True,-22.99,-15.68,7.31,DEM,DEM,False,14018,16580,2562,6399,38.59,3778,2621,40.96,CUMBERLAND:6399 (100.0%),direct_sf1_vtd:3778 (59.0%); historical_plan_cell:2621 (41.0%),map_inspection,Margin changes by at least five percentage points.,10.9653
2022,2004,state_house,president,state_house_president_2004.json,37,True,1.000002,True,29.88,25.5,-4.38,REP,REP,False,15727,20859,5132,14456,69.31,10830,3627,25.09,WAKE:14456 (100.0%),direct_sf1_vtd:10830 (74.9%); historical_plan_cell:3627 (25.1%),map_inspection,District vote placement changes by at least 25 percent.,10.9064
2024,2004,state_house,president,state_house_president_2004.json,10,True,0.999897,True,16.71,26.7,9.99,REP,REP,False,30624,29248,-1376,0,0.0,0,0,0.0,,,map_inspection,Margin changes by at least five percentage points.,10.8886
2024,2004,state_house,president,state_house_president_2004.json,54,True,0.999897,True,11.66,15.93,4.27,REP,REP,False,28440,19107,-9333,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",10.8333
2022,2004,state_house,president,state_house_president_2004.json,61,True,1.000002,True,-33.0,-41.63,-8.63,DEM,DEM,False,40216,36206,-4010,22040,60.88,21714,326,1.48,GUILFORD:22040 (100.0%),direct_sf1_vtd:21714 (98.5%); historical_plan_cell:326 (1.5%),map_inspection,Margin changes by at least five percentage points.,10.6242
2024,2004,state_house,president,state_house_president_2004.json,39,True,0.999897,True,8.1,1.49,-6.61,REP,REP,False,16821,19997,3176,12816,64.09,8274,4543,35.44,WAKE:12816 (100.0%),direct_sf1_vtd:8274 (64.6%); historical_plan_cell:4543 (35.4%),map_inspection,Margin changes by at least five percentage points.,10.3862
2024,2004,state_house,governor,state_house_governor_2004.json,114,True,0.999996,True,-17.96,-8.98,8.98,DEM,DEM,False,34442,32398,-2044,17310,53.43,0,17310,100.0,BUNCOMBE:17310 (100.0%),historical_plan_cell:17310 (100.0%),map_inspection,Margin changes by at least five percentage points.,10.1669
2022,2004,state_house,president,state_house_president_2004.json,114,True,1.000002,True,-17.3,-8.0,9.3,DEM,DEM,False,36172,37563,1391,21647,57.63,0,21647,100.0,BUNCOMBE:21647 (100.0%),historical_plan_cell:21647 (100.0%),map_inspection,Margin changes by at least five percentage points.,10.0691
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,42,True,1.0,True,-13.98,-21.55,-7.57,DEM,DEM,False,10528,9255,-1273,8302,89.71,6969,1333,16.06,CUMBERLAND:8302 (100.0%),direct_sf1_vtd:6969 (83.9%); historical_plan_cell:1333 (16.1%),map_inspection,Margin changes by at least five percentage points.,9.9883
2024,2004,state_house,governor,state_house_governor_2004.json,62,True,0.999996,True,1.03,3.91,2.88,REP,REP,False,24622,33147,8525,19831,59.83,16418,3414,17.21,GUILFORD:19831 (100.0%),direct_sf1_vtd:16418 (82.8%); historical_plan_cell:3414 (17.2%),map_inspection,District vote placement changes by at least 25 percent.,9.8047
2024,2004,state_house,governor,state_house_governor_2004.json,58,True,0.999996,True,-37.23,-44.08,-6.85,DEM,DEM,False,37036,31589,-5447,19251,60.94,19121,129,0.67,GUILFORD:19251 (100.0%),direct_sf1_vtd:19121 (99.3%); historical_plan_cell:129 (0.7%),map_inspection,Margin changes by at least five percentage points.,9.7915
2022,2004,state_senate,president,state_senate_president_2004.json,28,True,0.999997,True,-24.27,-31.8,-7.53,DEM,DEM,False,92413,82668,-9745,50232,60.76,48052,2180,4.34,GUILFORD:50232 (100.0%),direct_sf1_vtd:48052 (95.7%); historical_plan_cell:2180 (4.3%),map_inspection,Margin changes by at least five percentage points.,9.639
2024,2004,state_house,governor,state_house_governor_2004.json,61,True,0.999996,True,-40.61,-47.52,-6.91,DEM,DEM,False,41684,36500,-5184,22295,61.08,21752,542,2.43,GUILFORD:22295 (100.0%),direct_sf1_vtd:21752 (97.6%); historical_plan_cell:542 (2.4%),map_inspection,Margin changes by at least five percentage points.,9.3973
2022,2004,state_house,president,state_house_president_2004.json,42,True,1.000002,True,-5.46,-12.53,-7.07,DEM,DEM,False,18666,16564,-2102,11931,72.03,10137,1794,15.04,CUMBERLAND:11931 (100.0%),direct_sf1_vtd:10137 (85.0%); historical_plan_cell:1794 (15.0%),map_inspection,Margin changes by at least five percentage points.,9.3222
2024,2004,state_house,governor,state_house_governor_2004.json,53,True,0.999996,True,1.29,8.07,6.78,REP,REP,False,19723,17235,-2488,0,0.0,0,0,0.0,,,map_inspection,Margin changes by at least five percentage points.,9.3029
2024,2004,state_house,governor,state_house_governor_2004.json,50,True,0.999996,True,-34.14,-39.69,-5.55,DEM,DEM,False,43914,35885,-8029,0,0.0,0,0,0.0,,,map_inspection,Margin changes by at least five percentage points.,9.2067
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,61,True,1.0,True,-28.24,-35.34,-7.1,DEM,DEM,False,24598,22086,-2512,20018,90.64,19830,188,0.94,GUILFORD:20018 (100.0%),direct_sf1_vtd:19830 (99.1%); historical_plan_cell:188 (0.9%),map_inspection,Margin changes by at least five percentage points.,9.1424
2024,2004,state_house,president,state_house_president_2004.json,33,True,0.999897,True,-10.45,-4.14,6.31,DEM,DEM,False,27265,23408,-3857,16002,68.36,12479,3524,22.02,WAKE:16002 (100.0%),direct_sf1_vtd:12479 (78.0%); historical_plan_cell:3524 (22.0%),map_inspection,Margin changes by at least five percentage points.,9.1393
2024,2004,state_house,president,state_house_president_2004.json,111,True,0.999897,True,37.37,29.41,-7.96,REP,REP,False,30278,31951,1673,0,0.0,0,0,0.0,,,map_inspection,Margin changes by at least five percentage points.,9.0651
2024,2004,state_house,president,state_house_president_2004.json,41,True,0.999897,True,12.51,6.51,-6.0,REP,REP,False,19047,16155,-2892,11106,68.74,5299,5806,52.28,WAKE:11106 (100.0%),historical_plan_cell:5806 (52.3%); direct_sf1_vtd:5299 (47.7%),map_inspection,Margin changes by at least five percentage points.,9.0367
2024,2004,state_house,president,state_house_president_2004.json,114,True,0.999897,True,18.97,11.42,-7.55,REP,REP,False,35471,33160,-2311,17804,53.69,0,17804,100.0,BUNCOMBE:17804 (100.0%),historical_plan_cell:17804 (100.0%),map_inspection,Margin changes by at least five percentage points.,8.853
2024,2004,state_house,governor,state_house_governor_2004.json,44,True,0.999996,True,-25.89,-30.53,-4.64,DEM,DEM,False,42023,33385,-8638,23706,71.01,17432,6274,26.47,CUMBERLAND:23706 (100.0%),direct_sf1_vtd:17432 (73.5%); historical_plan_cell:6274 (26.5%),review,Margin changes by two to five percentage points.,8.7511
2022,2004,state_house,governor,state_house_governor_2004.json,61,True,1.000003,True,-46.19,-52.8,-6.61,DEM,DEM,False,39796,35789,-4007,21903,61.2,21581,322,1.47,GUILFORD:21903 (100.0%),direct_sf1_vtd:21581 (98.5%); historical_plan_cell:322 (1.5%),map_inspection,Margin changes by at least five percentage points.,8.6238
2022,2002,state_senate,us_senate,state_senate_us_senate_2002.json,28,True,1.000001,True,-19.63,-25.96,-6.33,DEM,DEM,False,60907,54179,-6728,49023,90.48,47770,1253,2.56,GUILFORD:49023 (100.0%),direct_sf1_vtd:47770 (97.4%); historical_plan_cell:1253 (2.6%),map_inspection,Margin changes by at least five percentage points.,8.5393
2024,2004,state_house,president,state_house_president_2004.json,93,True,0.999897,True,21.3,12.8,-8.5,REP,REP,False,38839,38912,73,0,0.0,0,0,0.0,,,map_inspection,Margin changes by at least five percentage points.,8.5376
2024,2004,state_house,president,state_house_president_2004.json,62,True,0.999897,True,30.71,32.08,1.37,REP,REP,False,24657,33212,8555,19942,60.04,16493,3449,17.3,GUILFORD:19942 (100.0%),direct_sf1_vtd:16493 (82.7%); historical_plan_cell:3449 (17.3%),map_inspection,District vote placement changes by at least 25 percent.,8.3092
2024,2004,state_house,president,state_house_president_2004.json,56,True,0.999897,True,-37.61,-34.5,3.11,DEM,DEM,False,29803,37380,7577,0,0.0,0,0,0.0,,,fallback_allocation_review,"Large change occurs outside the linked urban vote; inspect fallback redistribution, not precinct geometry.",8.1947
2022,2004,state_house,governor,state_house_governor_2004.json,114,True,1.000003,True,-30.14,-22.91,7.23,DEM,DEM,False,34810,36327,1517,20953,57.68,0,20953,100.0,BUNCOMBE:20953 (100.0%),historical_plan_cell:20953 (100.0%),map_inspection,Margin changes by at least five percentage points.,8.1016
2024,2004,state_senate,president,state_senate_president_2004.json,15,True,0.999999,True,-4.88,-11.61,-6.73,DEM,DEM,False,79376,73952,-5424,47328,64.0,42407,4921,10.4,WAKE:47328 (100.0%),direct_sf1_vtd:42407 (89.6%); historical_plan_cell:4921 (10.4%),map_inspection,Margin changes by at least five percentage points.,8.0967
2022,2004,state_house,governor,state_house_governor_2004.json,116,True,1.000003,True,-16.12,-23.38,-7.26,DEM,DEM,False,36219,34719,-1500,17915,51.6,0,17915,100.0,BUNCOMBE:17915 (100.0%),historical_plan_cell:17915 (100.0%),map_inspection,Margin changes by at least five percentage points.,8.0883
2024,2004,state_house,president,state_house_president_2004.json,113,True,0.999897,True,30.75,25.24,-5.51,REP,REP,False,39094,34151,-4943,0,0.0,0,0,0.0,,,map_inspection,Margin changes by at least five percentage points.,8.0388
2024,2004,state_house,governor,state_house_governor_2004.json,116,True,0.999996,True,-17.96,-24.67,-6.71,DEM,DEM,False,34408,36630,2222,20028,54.68,0,20028,100.0,BUNCOMBE:20028 (100.0%),historical_plan_cell:20028 (100.0%),map_inspection,Margin changes by at least five percentage points.,8.0016
2022,2004,state_senate,governor,state_senate_governor_2004.json,28,True,0.999999,True,-39.99,-45.75,-5.76,DEM,DEM,False,91544,81823,-9721,49915,61.0,47761,2153,4.31,GUILFORD:49915 (100.0%),direct_sf1_vtd:47761 (95.7%); historical_plan_cell:2153 (4.3%),map_inspection,Margin changes by at least five percentage points.,7.8838
2024,2004,state_house,governor,state_house_governor_2004.json,39,True,0.999996,True,-17.27,-21.27,-4.0,DEM,DEM,False,17013,20216,3203,12960,64.11,8373,4588,35.4,WAKE:12960 (100.0%),direct_sf1_vtd:8373 (64.6%); historical_plan_cell:4588 (35.4%),review,Margin changes by two to five percentage points.,7.7654
2022,2004,state_house,president,state_house_president_2004.json,108,True,1.000002,True,36.07,43.8,7.73,REP,REP,False,22008,22004,-4,16767,76.2,16767,0,0.0,GASTON:16767 (100.0%),direct_sf1_vtd:16767 (100.0%),production_calibration_review,Production margin was manually calibrated; this is not a clean geometry comparison.,7.7336
2022,2004,state_house,president,state_house_president_2004.json,58,True,1.000002,True,-14.46,-20.22,-5.76,DEM,DEM,False,37458,33802,-3656,20494,60.63,20050,444,2.16,GUILFORD:20494 (100.0%),direct_sf1_vtd:20050 (97.8%); historical_plan_cell:444 (2.2%),map_inspection,Margin changes by at least five percentage points.,7.7121
2024,2004,state_senate,president,state_senate_president_2004.json,47,True,0.999999,True,26.11,20.05,-6.06,REP,REP,False,87502,94472,6970,0,0.0,0,0,0.0,,,map_inspection,Margin changes by at least five percentage points.,7.6531
2022,2004,state_senate,president,state_senate_president_2004.json,46,True,0.999997,True,21.94,14.7,-7.24,REP,REP,False,72247,73506,1259,15447,21.02,0,15447,100.0,BUNCOMBE:15447 (100.0%),historical_plan_cell:15447 (100.0%),map_inspection,Margin changes by at least five percentage points.,7.5885
2024,2004,state_senate,governor,state_senate_governor_2004.json,28,True,0.999999,True,-41.8,-47.45,-5.65,DEM,DEM,False,83022,75489,-7533,46071,61.03,44540,1530,3.32,GUILFORD:46071 (100.0%),direct_sf1_vtd:44540 (96.7%); historical_plan_cell:1530 (3.3%),map_inspection,Margin changes by at least five percentage points.,7.4647
2022,2004,state_house,president,state_house_president_2004.json,92,True,1.000002,True,-2.23,-6.83,-4.6,DEM,DEM,False,13407,15291,1884,10193,66.66,10193,0,0.0,MECKLENBURG:10193 (100.0%),direct_sf1_vtd:10193 (100.0%),review,Margin changes by two to five percentage points.,7.4105
2022,2004,state_house,president,state_house_president_2004.json,38,True,1.000002,True,-56.61,-62.51,-5.9,DEM,DEM,False,27527,25565,-1962,17030,66.61,14582,2448,14.38,WAKE:17030 (100.0%),direct_sf1_vtd:14582 (85.6%); historical_plan_cell:2448 (14.4%),map_inspection,Margin changes by at least five percentage points.,7.3255
2024,2004,state_house,president,state_house_president_2004.json,78,True,0.999897,True,47.91,40.66,-7.25,REP,REP,False,33716,33751,35,0,0.0,0,0,0.0,,,map_inspection,Margin changes by at least five percentage points.,7.2708
2022,2004,state_house,president,state_house_president_2004.json,35,True,1.000002,True,25.88,25.27,-0.61,REP,REP,False,13086,17365,4279,10288,59.25,7950,2338,22.72,WAKE:10288 (100.0%),direct_sf1_vtd:7950 (77.3%); historical_plan_cell:2338 (22.7%),map_inspection,District vote placement changes by at least 25 percent.,7.1498
