line_year,file,year,scope,contest_type,district,production_margin_pct,pilot_margin_pct,pilot_minus_production_pp,production_winner,pilot_winner,winner_flip,production_total_votes,pilot_total_votes
2022,state_house_president_2000.json,2000,state_house,president,2,9.13,-6.7,-15.83,REP,DEM,True,26682,23867
2022,state_house_president_2000.json,2000,state_house,president,6,20.83,20.77,-0.06,REP,REP,False,16451,16391
2022,state_house_president_2000.json,2000,state_house,president,11,1.65,3.08,1.43,REP,REP,False,17502,21567
2022,state_house_president_2000.json,2000,state_house,president,18,-9.24,10.89,20.13,DEM,REP,True,22111,25345
2022,state_house_president_2000.json,2000,state_house,president,19,16.83,12.29,-4.54,REP,REP,False,23929,22360
2022,state_house_president_2000.json,2000,state_house,president,20,21.35,10.87,-10.48,REP,REP,False,31909,30246
2022,state_house_president_2000.json,2000,state_house,president,21,5.93,22.38,16.45,REP,REP,False,4889,6756
2022,state_house_president_2000.json,2000,state_house,president,29,-33.52,-28.97,4.55,DEM,DEM,False,21663,20141
2022,state_house_president_2000.json,2000,state_house,president,30,-35.63,-29.2,6.43,DEM,DEM,False,24578,27040
2022,state_house_president_2000.json,2000,state_house,president,31,-42.8,-25.21,17.59,DEM,DEM,False,12585,14449
2022,state_house_president_2000.json,2000,state_house,president,33,7.22,13.51,6.29,REP,REP,False,26051,19759
2022,state_house_president_2000.json,2000,state_house,president,34,-3.14,5.39,8.53,DEM,REP,True,40138,36082
2022,state_house_president_2000.json,2000,state_house,president,35,20.99,21.61,0.62,REP,REP,False,10918,11298
2022,state_house_president_2000.json,2000,state_house,president,36,23.58,18.34,-5.24,REP,REP,False,7990,13466
2022,state_house_president_2000.json,2000,state_house,president,37,18.7,23.11,4.41,REP,REP,False,14414,16458
2022,state_house_president_2000.json,2000,state_house,president,38,-10.25,-39.94,-29.69,DEM,DEM,False,28074,23513
2022,state_house_president_2000.json,2000,state_house,president,39,12.66,8.7,-3.96,REP,REP,False,20499,18635
2022,state_house_president_2000.json,2000,state_house,president,40,11.52,24.24,12.72,REP,REP,False,27949,26300
2022,state_house_president_2000.json,2000,state_house,president,41,18.18,16.3,-1.88,REP,REP,False,25195,32113
2022,state_house_president_2000.json,2000,state_house,president,42,-10.17,-23.38,-13.21,DEM,DEM,False,15240,17897
