year,county,raw_precinct,canonical_precinct_key,evidence
2004,CUMBERLAND,CU01 CUMBERLAND #1,CUMBERLAND - CUMBERLAND 1A,SBE2006 CU01A / CUMBERLAND #1A; no competing CU01B
2004,CUMBERLAND,HM01 HOPE MILLS #1,CUMBERLAND - HOPE MILLS 1A,SBE2006 HM01A / HOPE MILLS #1A; no competing HM01B
