raw_precinct,vtd_code,raw_house,vtd_plan_house,house_equal,house_overlap,raw_senate,vtd_plan_senate,senate_equal,senate_overlap,raw_congressional,vtd_plan_congressional,congressional_equal,congressional_overlap,all_observed_chambers_equal,any_observed_chamber_overlap
001 001,1,102,102,True,True,37,37,True,True,,9,,False,True,True
002 002,2,102,102,True,True,37,37,True,True,,8,,False,True,True
003 003,3,102,102,True,True,40,40,True,True,,12,,False,True,True
004 004,4,99,99,True,True,37,37,True,True,,8,,False,True,True
005 005,5,100,100,True,True,37,37,True,True,,8,,False,True,True
006 006,6,100,100,True,True,37,37,True,True,,8,,False,True,True
007 007,7,100,100,True,True,37,37,True,True,,8,,False,True,True
008 008,8,104;106,104;106,True,True,37,37,True,True,,9,,False,True,True
009 009,9,106,106,True,True,37,37,True,True,,9,,False,True,True
010 010,10,106,106,True,True,37,37,True,True,,9,,False,True,True
011 011,11,101,101,True,True,38,38,True,True,,12,,False,True,True
012 012,12,101,101,True,True,38,38,True,True,,12,,False,True,True
013 013,13,102,102,True,True,38,38,True,True,,12,,False,True,True
014 014,14,102,102,True,True,40,40,True,True,,12,,False,True,True
015 015,15,102,102,True,True,37,37,True,True,,8,,False,True,True
016 016,16,107,107,True,True,38,38,True,True,,12,,False,True,True
017 017,17,102,102,True,True,37,37,True,True,,8,,False,True,True
018 018,18,106,106,True,True,37,37,True,True,,9,,False,True,True
019 019,19,104,104,True,True,39,39,True,True,,9,,False,True,True
020 020,20,106,106,True,True,37,37,True,True,,9,,False,True,True
021 021,21,106,106,True,True,37,37,True,True,,9,,False,True,True
022 022,22,107,107,True,True,38,38,True,True,,12,,False,True,True
023 023,23,107,107,True,True,38,38,True,True,,12,,False,True,True
024 024,24,107,107,True,True,38,38,True,True,,12,,False,True,True
025 025,25,107,107,True,True,38,38,True,True,,12,,False,True,True
026 026,26,101,101,True,True,40,40,True,True,,12,,False,True,True
027 027,27,101,101,True,True,38;40,38;40,True,True,,12,,False,True,True
028 028,28,102,102,True,True,40,40,True,True,,12,,False,True,True
029 029,29,102,102,True,True,37,37,True,True,,8,,False,True,True
030 030,30,102,102,True,True,40,40,True,True,,12,,False,True,True
031 031,31,107,107,True,True,38,38,True,True,,12,,False,True,True
032 032,32,106,106,True,True,37,37,True,True,,9,,False,True,True
033 033,33,100,100,True,True,37,37,True,True,,8,,False,True,True
034 034,34,100,100,True,True,37,37,True,True,,8,,False,True,True
035 035,35,102;104,102;104,True,True,37,37,True,True,,9,,False,True,True
036 036,36,104,104,True,True,39,39,True,True,,9,,False,True,True
037 037,37,106,106,True,True,37,37,True,True,,9,,False,True,True
038 038,38,106,106,True,True,37,37,True,True,,9,,False,True,True
039 039,39,107,107,True,True,38,38,True,True,,12,,False,True,True
040 040,40,107,107,True,True,38,38,True,True,,12,,False,True,True
041 041,41,107,107,True,True,38,38,True,True,,12,,False,True,True
042 042,42,101;102,101;102,True,True,40,40,True,True,,12,,False,True,True
