year,county,raw_precinct,group_id,strategy
2004,CUMBERLAND,CU02 CUMBERLAND #2,CUMBERLAND|PLANHS|H44|S19,historical_plan_cell_hs
2004,CUMBERLAND,CU03 CUMBERLAND #3,CUMBERLAND|PLANHS|H45|S19,historical_plan_cell_hs
2004,CUMBERLAND,HM03 HOPE MILLS #3,CUMBERLAND|PLANHS|H45|S19,historical_plan_cell_hs
2004,CUMBERLAND,MR02 MORGANTON RD #2,CUMBERLAND|PLANHS|H44|S21,historical_plan_cell_hs
2004,CUMBERLAND,PM02 PEARCES MILL #2,CUMBERLAND|PLANHS|H45|S19,historical_plan_cell_hs
2004,CUMBERLAND,PM03 PEARCES MILL #3,CUMBERLAND|PLANHS|H45|S19,historical_plan_cell_hs
2004,CUMBERLAND,PM04 PEARCES MILL #4,CUMBERLAND|PLANHS|H45|S19,historical_plan_cell_hs
2004,GUILFORD,FR5-1 FR5-1,GUILFORD|PLANHS|H62|S26,historical_plan_cell_hs
2004,GUILFORD,FR5-2 FR5-2,GUILFORD|PLANHS|H62|S26,historical_plan_cell_hs
2004,GUILFORD,G08 G08,GUILFORD|PLANHS|H59|S27,historical_plan_cell_hs
2004,GUILFORD,G40A G40A,GUILFORD|PLANHS|H62|S26,historical_plan_cell_hs
2004,GUILFORD,G40B G40B,GUILFORD|PLANHS|H62|S27,historical_plan_cell_hs
2004,GUILFORD,G41-1 G41-1,GUILFORD|PLANHS|H62|S26,historical_plan_cell_hs
2004,GUILFORD,G41-2 G41-2,GUILFORD|PLANHS|H62|S26,historical_plan_cell_hs
2004,GUILFORD,G42-1 G42-1,GUILFORD|PLANHS|H62|S27,historical_plan_cell_hs
2004,GUILFORD,G42-2 G42-2,GUILFORD|PLANHS|H62|S27,historical_plan_cell_hs
2004,GUILFORD,H19B H19B,GUILFORD|PLANHS|H61|S28,historical_plan_cell_hs
2004,GUILFORD,H20A H20A,GUILFORD|PLANHS|H61|S28,historical_plan_cell_hs
2004,GUILFORD,H20B H20B,GUILFORD|PLANHS|H61|S28,historical_plan_cell_hs
2004,GUILFORD,H28 H28,GUILFORD|PLANHS|H61|S28,historical_plan_cell_hs
2004,GUILFORD,H29 H29,GUILFORD|PLANHS|H61|S28,historical_plan_cell_hs
2004,GUILFORD,NCLAY1 NCLAY1,GUILFORD|PLANHS|H58|S26,historical_plan_cell_hs
2004,GUILFORD,NCLAY2 NCLAY2,GUILFORD|PLANHS|H58|S26,historical_plan_cell_hs
2004,MECKLENBURG,145 145,MECKLENBURG|PLANHS|H98|S40,historical_plan_cell_hs
2004,MECKLENBURG,146 146,MECKLENBURG|PLANHS|H99|S40,historical_plan_cell_hs
2004,NEW HANOVER,T TRANSFER,NEW HANOVER|PLANHS|H18|S9,historical_plan_cell_hs
2004,WAKE,01-07A 01-07A,WAKE|PLANHS|H38|S16,historical_plan_cell_hs
2004,WAKE,01-49 01-49,WAKE|PLANHS|H35|S16,historical_plan_cell_hs
2004,WAKE,01-50 01-50,WAKE|PLANHS|H38|S14,historical_plan_cell_hs
2004,WAKE,01-51 01-51,WAKE|PLANHS|H34|S15,historical_plan_cell_hs
2004,WAKE,04-20 04-20,WAKE|PLANHS|H36|S16,historical_plan_cell_hs
2004,WAKE,04-21 04-21,WAKE|PLANHS|H35|S16,historical_plan_cell_hs
2004,WAKE,05-01 05-01,WAKE|PLANHS|H41|S16,historical_plan_cell_hs
2004,WAKE,05-02 05-02,WAKE|PLANHS|H41|S16,historical_plan_cell_hs
2004,WAKE,05-02A 05-02A,WAKE|PLANHS|H41|S16,historical_plan_cell_hs
2004,WAKE,05-03 05-03,WAKE|PLANHS|H41|S16,historical_plan_cell_hs
2004,WAKE,07-07A 07-07A,WAKE|PLANHS|H41|S15,historical_plan_cell_hs
2004,WAKE,07-11 07-11,WAKE|PLANHS|H34|S15,historical_plan_cell_hs
2004,WAKE,07-12 07-12,WAKE|PLANHS|H41|S15,historical_plan_cell_hs
2004,WAKE,07-13 07-13,WAKE|PLANHS|H34|S15,historical_plan_cell_hs
2004,WAKE,08-07 08-07,WAKE|PLANHS|H40|S15,historical_plan_cell_hs
2004,WAKE,08-08 08-08,WAKE|PLANHS|H40|S15,historical_plan_cell_hs
2004,WAKE,08-09 08-09,WAKE|PLANHS|H41|S15,historical_plan_cell_hs
2004,WAKE,09-03 09-03,WAKE|PLANHS|H39|S14,historical_plan_cell_hs
2004,WAKE,10-03 10-03,WAKE|PLANHS|H39|S14,historical_plan_cell_hs
2004,WAKE,10-04 10-04,WAKE|PLANHS|H39|S14,historical_plan_cell_hs
2004,WAKE,12-05 12-05,WAKE|PLANHS|H37|S17,historical_plan_cell_hs
2004,WAKE,12-06 12-06,WAKE|PLANHS|H37|S17,historical_plan_cell_hs
2004,WAKE,12-07 12-07,WAKE|PLANHS|H37|S17,historical_plan_cell_hs
2004,WAKE,13-04 13-04,WAKE|PLANHS|H40|S15,historical_plan_cell_hs
2004,WAKE,15-03 15-03,WAKE|PLANHS|H37|S17,historical_plan_cell_hs
2004,WAKE,15-04 15-04,WAKE|PLANHS|H38|S17,historical_plan_cell_hs
2004,WAKE,16-08 16-08,WAKE|PLANHS|H39|S14,historical_plan_cell_hs
2004,WAKE,16-09 16-09,WAKE|PLANHS|H39|S17,historical_plan_cell_hs
2004,WAKE,17-08 17-08,WAKE|PLANHS|H39|S14,historical_plan_cell_hs
2004,WAKE,17-09 17-09,WAKE|PLANHS|H33|S14,historical_plan_cell_hs
2004,WAKE,17-10 17-10,WAKE|PLANHS|H33|S14,historical_plan_cell_hs
2004,WAKE,17-11 17-11,WAKE|PLANHS|H33|S14,historical_plan_cell_hs
2004,WAKE,18-07 18-07,WAKE|PLANHS|H36|S17,historical_plan_cell_hs
2004,WAKE,19-06 19-06,WAKE|PLANHS|H40|S15,historical_plan_cell_hs
2004,WAKE,20-08 20-08,WAKE|PLANHS|H37|S17,historical_plan_cell_hs
2004,WAKE,20-09 20-09,WAKE|PLANHS|H36|S17,historical_plan_cell_hs
2004,WAKE,20-10 20-10,WAKE|PLANHS|H41|S17,historical_plan_cell_hs
